bgc_id,gbk_path,genome_id,source
BGC0000085,data/region_gbks_v2/Trans_AT_network_all/BGC0000085_lankamycin_7.0.0_reference.gbk,unknown,MIBIG
BGC0000171,data/region_gbks_v2/Trans_AT_network_all/BGC0000171_9-methylstreptimidone_7.0.0_reference.gbk,unknown,MIBIG
BGC0000175,data/region_gbks_v2/Trans_AT_network_all/BGC0000175_cycloheximide_7.0.0_reference.gbk,unknown,MIBIG
BGC0000177,data/region_gbks_v2/Trans_AT_network_all/BGC0000177_isomigrastatin_7.0.0_reference.gbk,unknown,MIBIG
BGC0001031,data/region_gbks_v2/Trans_AT_network_all/BGC0001031_oocydinA_7.0.0_reference.gbk,unknown,MIBIG
BGC0001032,data/region_gbks_v2/Trans_AT_network_all/BGC0001032_oocydinA_7.0.0_reference.gbk,unknown,MIBIG
BGC0001070,data/region_gbks_v2/Trans_AT_network_all/BGC0001070_kirromycin_7.0.0_reference.gbk,unknown,MIBIG
BGC0001099,data/region_gbks_v2/Trans_AT_network_all/BGC0001099_kalimantacin_7.0.0.gbk,unknown,MIBIG
BGC0001101,data/region_gbks_v2/Trans_AT_network_all/BGC0001101_leinamycin_7.0.0_reference.gbk,unknown,MIBIG
BGC0001106,data/region_gbks_v2/Trans_AT_network_all/BGC0001106_oxalomycin_7.0.0_reference.gbk,unknown,MIBIG
BGC0001116,data/region_gbks_v2/Trans_AT_network_all/BGC0001116_virginiamycin_7.0.0_reference.gbk,unknown,MIBIG
BGC0001470,data/region_gbks_v2/Trans_AT_network_all/BGC0001470_macrobrevin_7.0.0_reference.gbk,unknown,MIBIG
BGC0001611,data/region_gbks_v2/Trans_AT_network_all/BGC0001611_guangnanmycin_7.0.0_reference.gbk,unknown,MIBIG
BGC0001646,data/region_gbks_v2/Trans_AT_network_all/BGC0001646_lagriamide_7.0.0_reference.gbk,unknown,MIBIG
BGC0001740,data/region_gbks_v2/Trans_AT_network_all/BGC0001740_phthoxazolin_7.0.0_reference.gbk,unknown,MIBIG
BGC0001823,data/region_gbks_v2/Trans_AT_network_all/BGC0001823_weishanmycin_7.0.0_reference.gbk,unknown,MIBIG
BGC0001853,data/region_gbks_v2/Trans_AT_network_all/BGC0001853_largimycin_7.0.0_reference.gbk,unknown,MIBIG
BGC0002083,data/region_gbks_v2/Trans_AT_network_all/BGC0002083_gladiofungin_7.0.0_reference.gbk,unknown,MIBIG
BGC0002385,data/region_gbks_v2/Trans_AT_network_all/BGC0002385_dumulmycin_7.0.0_reference.gbk,unknown,MIBIG
BGC0002451,data/region_gbks_v2/Trans_AT_network_all/BGC0002451_inthomycin_7.0.0.gbk,unknown,MIBIG
BGC0002455,data/region_gbks_v2/Trans_AT_network_all/BGC0002455_lagriene_7.0.0_ref.gbk,unknown,MIBIG
CP107780.region028,data/region_gbks_v2/Trans_AT_network_all/CP107780.region028.gbk,unknown,bgcflow
CP107782.region017,data/region_gbks_v2/Trans_AT_network_all/CP107782.region017.gbk,unknown,bgcflow
CP107823.region002,data/region_gbks_v2/Trans_AT_network_all/CP107823.region002.gbk,unknown,bgcflow
CP107840.region012,data/region_gbks_v2/Trans_AT_network_all/CP107840.region012.gbk,unknown,bgcflow
CP107857.region002,data/region_gbks_v2/Trans_AT_network_all/CP107857.region002.gbk,unknown,bgcflow
CP107858.region028,data/region_gbks_v2/Trans_AT_network_all/CP107858.region028.gbk,unknown,bgcflow
CP107872.region001,data/region_gbks_v2/Trans_AT_network_all/CP107872.region001.gbk,unknown,bgcflow
CP107893.region012,data/region_gbks_v2/Trans_AT_network_all/CP107893.region012.gbk,unknown,bgcflow
CP107903.region001,data/region_gbks_v2/Trans_AT_network_all/CP107903.region001.gbk,unknown,bgcflow
CP107919.region010,data/region_gbks_v2/Trans_AT_network_all/CP107919.region010.gbk,unknown,bgcflow
CP107923.region026,data/region_gbks_v2/Trans_AT_network_all/CP107923.region026.gbk,unknown,bgcflow
CP107963.region022,data/region_gbks_v2/Trans_AT_network_all/CP107963.region022.gbk,unknown,bgcflow
CP107982.region036,data/region_gbks_v2/Trans_AT_network_all/CP107982.region036.gbk,unknown,bgcflow
CP107994.region007,data/region_gbks_v2/Trans_AT_network_all/CP107994.region007.gbk,unknown,bgcflow
CP108025.region012,data/region_gbks_v2/Trans_AT_network_all/CP108025.region012.gbk,unknown,bgcflow
CP108025.region028,data/region_gbks_v2/Trans_AT_network_all/CP108025.region028.gbk,unknown,bgcflow
CP108038.region030,data/region_gbks_v2/Trans_AT_network_all/CP108038.region030.gbk,unknown,bgcflow
CP108039.region010,data/region_gbks_v2/Trans_AT_network_all/CP108039.region010.gbk,unknown,bgcflow
CP108057.region022,data/region_gbks_v2/Trans_AT_network_all/CP108057.region022.gbk,unknown,bgcflow
CP108059.region001,data/region_gbks_v2/Trans_AT_network_all/CP108059.region001.gbk,unknown,bgcflow
CP108082.region022,data/region_gbks_v2/Trans_AT_network_all/CP108082.region022.gbk,unknown,bgcflow
CP108085.region009,data/region_gbks_v2/Trans_AT_network_all/CP108085.region009.gbk,unknown,bgcflow
CP108086.region023,data/region_gbks_v2/Trans_AT_network_all/CP108086.region023.gbk,unknown,bgcflow
CP108106.region004,data/region_gbks_v2/Trans_AT_network_all/CP108106.region004.gbk,unknown,bgcflow
CP108121.region007,data/region_gbks_v2/Trans_AT_network_all/CP108121.region007.gbk,unknown,bgcflow
CP108129.region021,data/region_gbks_v2/Trans_AT_network_all/CP108129.region021.gbk,unknown,bgcflow
CP108229.region001,data/region_gbks_v2/Trans_AT_network_all/CP108229.region001.gbk,unknown,bgcflow
CP108229.region028,data/region_gbks_v2/Trans_AT_network_all/CP108229.region028.gbk,unknown,bgcflow
CP108253.region034,data/region_gbks_v2/Trans_AT_network_all/CP108253.region034.gbk,unknown,bgcflow
CP108261.region004,data/region_gbks_v2/Trans_AT_network_all/CP108261.region004.gbk,unknown,bgcflow
CP108289.region008,data/region_gbks_v2/Trans_AT_network_all/CP108289.region008.gbk,unknown,bgcflow
CP108290.region005,data/region_gbks_v2/Trans_AT_network_all/CP108290.region005.gbk,unknown,bgcflow
CP108295.region004,data/region_gbks_v2/Trans_AT_network_all/CP108295.region004.gbk,unknown,bgcflow
CP108365.region001,data/region_gbks_v2/Trans_AT_network_all/CP108365.region001.gbk,unknown,bgcflow
CP108365.region031,data/region_gbks_v2/Trans_AT_network_all/CP108365.region031.gbk,unknown,bgcflow
CP108368.region015,data/region_gbks_v2/Trans_AT_network_all/CP108368.region015.gbk,unknown,bgcflow
CP108376.region028,data/region_gbks_v2/Trans_AT_network_all/CP108376.region028.gbk,unknown,bgcflow
CP108390.region004,data/region_gbks_v2/Trans_AT_network_all/CP108390.region004.gbk,unknown,bgcflow
CP108403.region025,data/region_gbks_v2/Trans_AT_network_all/CP108403.region025.gbk,unknown,bgcflow
CP108404.region040,data/region_gbks_v2/Trans_AT_network_all/CP108404.region040.gbk,unknown,bgcflow
CP108408.region004,data/region_gbks_v2/Trans_AT_network_all/CP108408.region004.gbk,unknown,bgcflow
CP108424.region001,data/region_gbks_v2/Trans_AT_network_all/CP108424.region001.gbk,unknown,bgcflow
CP108428.region014,data/region_gbks_v2/Trans_AT_network_all/CP108428.region014.gbk,unknown,bgcflow
CP108455.region027,data/region_gbks_v2/Trans_AT_network_all/CP108455.region027.gbk,unknown,bgcflow
CP108476.region044,data/region_gbks_v2/Trans_AT_network_all/CP108476.region044.gbk,unknown,bgcflow
CP108491.region023,data/region_gbks_v2/Trans_AT_network_all/CP108491.region023.gbk,unknown,bgcflow
CP108509.region005,data/region_gbks_v2/Trans_AT_network_all/CP108509.region005.gbk,unknown,bgcflow
CP108513.region001,data/region_gbks_v2/Trans_AT_network_all/CP108513.region001.gbk,unknown,bgcflow
CP108513.region027,data/region_gbks_v2/Trans_AT_network_all/CP108513.region027.gbk,unknown,bgcflow
CP108513.region031,data/region_gbks_v2/Trans_AT_network_all/CP108513.region031.gbk,unknown,bgcflow
CP108514.region033,data/region_gbks_v2/Trans_AT_network_all/CP108514.region033.gbk,unknown,bgcflow
CP108530.region001,data/region_gbks_v2/Trans_AT_network_all/CP108530.region001.gbk,unknown,bgcflow
CP108571.region033,data/region_gbks_v2/Trans_AT_network_all/CP108571.region033.gbk,unknown,bgcflow
CP108577.region004,data/region_gbks_v2/Trans_AT_network_all/CP108577.region004.gbk,unknown,bgcflow
CP108577.region016,data/region_gbks_v2/Trans_AT_network_all/CP108577.region016.gbk,unknown,bgcflow
CP108613.region008,data/region_gbks_v2/Trans_AT_network_all/CP108613.region008.gbk,unknown,bgcflow
CP108613.region027,data/region_gbks_v2/Trans_AT_network_all/CP108613.region027.gbk,unknown,bgcflow
CP108640.region003,data/region_gbks_v2/Trans_AT_network_all/CP108640.region003.gbk,unknown,bgcflow
CP108644.region007,data/region_gbks_v2/Trans_AT_network_all/CP108644.region007.gbk,unknown,bgcflow
CP108651.region004,data/region_gbks_v2/Trans_AT_network_all/CP108651.region004.gbk,unknown,bgcflow
CP108653.region002,data/region_gbks_v2/Trans_AT_network_all/CP108653.region002.gbk,unknown,bgcflow
CP108661.region029,data/region_gbks_v2/Trans_AT_network_all/CP108661.region029.gbk,unknown,bgcflow
CP108670.region033,data/region_gbks_v2/Trans_AT_network_all/CP108670.region033.gbk,unknown,bgcflow
CP108685.region001,data/region_gbks_v2/Trans_AT_network_all/CP108685.region001.gbk,unknown,bgcflow
CP108692.region034,data/region_gbks_v2/Trans_AT_network_all/CP108692.region034.gbk,unknown,bgcflow
CP108703.region021,data/region_gbks_v2/Trans_AT_network_all/CP108703.region021.gbk,unknown,bgcflow
CP108726.region003,data/region_gbks_v2/Trans_AT_network_all/CP108726.region003.gbk,unknown,bgcflow
CP108731.region004,data/region_gbks_v2/Trans_AT_network_all/CP108731.region004.gbk,unknown,bgcflow
CP108734.region004,data/region_gbks_v2/Trans_AT_network_all/CP108734.region004.gbk,unknown,bgcflow
CP108768.region020,data/region_gbks_v2/Trans_AT_network_all/CP108768.region020.gbk,unknown,bgcflow
CP108826.region010,data/region_gbks_v2/Trans_AT_network_all/CP108826.region010.gbk,unknown,bgcflow
CP108849.region024,data/region_gbks_v2/Trans_AT_network_all/CP108849.region024.gbk,unknown,bgcflow
CP108853.region019,data/region_gbks_v2/Trans_AT_network_all/CP108853.region019.gbk,unknown,bgcflow
CP108873.region005,data/region_gbks_v2/Trans_AT_network_all/CP108873.region005.gbk,unknown,bgcflow
CP108876.region023,data/region_gbks_v2/Trans_AT_network_all/CP108876.region023.gbk,unknown,bgcflow
CP108878.region023,data/region_gbks_v2/Trans_AT_network_all/CP108878.region023.gbk,unknown,bgcflow
CP108974.region019,data/region_gbks_v2/Trans_AT_network_all/CP108974.region019.gbk,unknown,bgcflow
CP109009.region025,data/region_gbks_v2/Trans_AT_network_all/CP109009.region025.gbk,unknown,bgcflow
CP109019.region004,data/region_gbks_v2/Trans_AT_network_all/CP109019.region004.gbk,unknown,bgcflow
CP109038.region033,data/region_gbks_v2/Trans_AT_network_all/CP109038.region033.gbk,unknown,bgcflow
CP109068.region019,data/region_gbks_v2/Trans_AT_network_all/CP109068.region019.gbk,unknown,bgcflow
CP109078.region011,data/region_gbks_v2/Trans_AT_network_all/CP109078.region011.gbk,unknown,bgcflow
CP109090.region020,data/region_gbks_v2/Trans_AT_network_all/CP109090.region020.gbk,unknown,bgcflow
CP109115.region004,data/region_gbks_v2/Trans_AT_network_all/CP109115.region004.gbk,unknown,bgcflow
CP109118.region001,data/region_gbks_v2/Trans_AT_network_all/CP109118.region001.gbk,unknown,bgcflow
CP109125.region032,data/region_gbks_v2/Trans_AT_network_all/CP109125.region032.gbk,unknown,bgcflow
CP109126.region002,data/region_gbks_v2/Trans_AT_network_all/CP109126.region002.gbk,unknown,bgcflow
CP109157.region004,data/region_gbks_v2/Trans_AT_network_all/CP109157.region004.gbk,unknown,bgcflow
CP109199.region008,data/region_gbks_v2/Trans_AT_network_all/CP109199.region008.gbk,unknown,bgcflow
CP109252.region002,data/region_gbks_v2/Trans_AT_network_all/CP109252.region002.gbk,unknown,bgcflow
CP109256.region032,data/region_gbks_v2/Trans_AT_network_all/CP109256.region032.gbk,unknown,bgcflow
