genome_id,gtdb_release,Domain,Phylum,Class,Order,Family,Genus,Species,Organism,genome_id.1
NBC_00193,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,sp.,s__Streptomyces sp.,NBC_00193
NBC_00120,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,sp.,s__Streptomyces sp.,NBC_00120
NBC_01306,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,sp.,s__Streptomyces sp.,NBC_01306
NBC_01681,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,cellulosae,s__Streptomyces cellulosae,NBC_01681
NBC_01571,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,sp.,s__Streptomyces sp.,NBC_01571
NBC_00201,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,sp.,s__Streptomyces sp.,NBC_00201
NBC_00227,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,virginiae_A,s__Streptomyces virginiae_A,NBC_00227
NBC_01379,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,uncialis,s__Streptomyces uncialis,NBC_01379
NBC_01142,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,sp.,s__Streptomyces sp.,NBC_01142
NBC_00086,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,sp.,s__Streptomyces sp.,NBC_00086
NBC_00347,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,sp.,s__Streptomyces sp.,NBC_00347
NBC_01334,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,sp001298545,s__Streptomyces sp001298545,NBC_01334
NBC_01381,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,sp.,s__Streptomyces sp.,NBC_01381
