genome_id,gtdb_release,Domain,Phylum,Class,Order,Family,Genus,Species,Organism,genome_id
NBC_01728,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__,s__,NBC_01728
NBC_01719,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__,s__,NBC_01719
NBC_00365,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__,s__,NBC_00365
NBC_01450,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__,s__,NBC_01450
NBC_01455,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,sp012273515,s__Streptomyces sp012273515,NBC_01455
NBC_00859,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__,s__,NBC_00859
NBC_01235,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__,s__,NBC_01235
NBC_01340,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__,s__,NBC_01340
NBC_01419,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,anulatus,s__Streptomyces anulatus,NBC_01419
NBC_01523,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,anulatus,s__Streptomyces anulatus,NBC_01523
NBC_00990,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,anulatus,s__Streptomyces anulatus,NBC_00990
NBC_01069,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,anulatus,s__Streptomyces anulatus,NBC_01069
NBC_01106,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,anulatus,s__Streptomyces anulatus,NBC_01106
NBC_01134,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,anulatus,s__Streptomyces anulatus,NBC_01134
NBC_01767,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,sp003846175,s__Streptomyces sp003846175,NBC_01767
NBC_01645,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,anulatus,s__Streptomyces anulatus,NBC_01645
NBC_01634,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,anulatus,s__Streptomyces anulatus,NBC_01634
NBC_01623,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,anulatus,s__Streptomyces anulatus,NBC_01623
NBC_01500,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,sp940670765,s__Streptomyces sp940670765,NBC_01500
NBC_01464,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,anulatus,s__Streptomyces anulatus,NBC_01464
NBC_01433,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,sp001905125,s__Streptomyces sp001905125,NBC_01433
NBC_01363,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__,s__,NBC_01363
NBC_00906,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,sp003846175,s__Streptomyces sp003846175,NBC_00906
NBC_00893,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,sp003846175,s__Streptomyces sp003846175,NBC_00893
NBC_00892,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,sp003846175,s__Streptomyces sp003846175,NBC_00892
NBC_00654,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__,s__,NBC_00654
NBC_00439,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,sp003846175,s__Streptomyces sp003846175,NBC_00439
NBC_00305,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,sp003846175,s__Streptomyces sp003846175,NBC_00305
