seq_id,seq_id2,locus_tag,locus_tag2,identity,similarity
CP107893.region012,CP109078.region011,PRJNA747871_OHN18_19490,PRJNA747871_OIE47_27675,0.84,0.90
CP107893.region012,CP109078.region011,PRJNA747871_OHN18_19495,PRJNA747871_OIE47_27670,0.91,0.95
CP107893.region012,CP109078.region011,PRJNA747871_OHN18_19500,PRJNA747871_OIE47_27665,0.77,0.87
CP107893.region012,CP109078.region011,PRJNA747871_OHN18_19505,PRJNA747871_OIE47_27660,0.91,0.97
CP107893.region012,CP109078.region011,PRJNA747871_OHN18_19510,PRJNA747871_OIE47_27655,0.82,0.89
CP107893.region012,CP109078.region011,PRJNA747871_OHN18_19515,PRJNA747871_OIE47_27650,0.91,0.97
CP107893.region012,CP109078.region011,PRJNA747871_OHN18_19520,PRJNA747871_OIE47_27645,0.91,0.97
CP107893.region012,CP109078.region011,PRJNA747871_OHN18_19525,PRJNA747871_OIE47_27640,0.86,0.92
CP107893.region012,CP109078.region011,PRJNA747871_OHN18_19530,PRJNA747871_OIE47_27635,0.89,0.93
CP107893.region012,CP109078.region011,PRJNA747871_OHN18_19535,PRJNA747871_OIE47_27630,0.86,0.92
CP107893.region012,CP109078.region011,PRJNA747871_OHN18_19540,PRJNA747871_OIE47_27625,0.89,0.93
CP107893.region012,CP109078.region011,PRJNA747871_OHN18_19545,PRJNA747871_OIE47_27620,0.88,0.93
CP107893.region012,CP109078.region011,PRJNA747871_OHN18_19550,PRJNA747871_OIE47_27615,0.79,0.85
CP107893.region012,CP109078.region011,PRJNA747871_OHN18_19555,PRJNA747871_OIE47_27610,0.92,0.95
CP107893.region012,CP109078.region011,PRJNA747871_OHN18_19560,PRJNA747871_OIE47_27605,0.84,0.89
CP107893.region012,CP109078.region011,PRJNA747871_OHN18_19565,PRJNA747871_OIE47_27600,0.79,0.85
CP107893.region012,CP109078.region011,PRJNA747871_OHN18_19570,PRJNA747871_OIE47_27595,0.79,0.85
CP107893.region012,CP109078.region011,PRJNA747871_OHN18_19575,PRJNA747871_OIE47_27590,0.95,0.96
CP107893.region012,CP109078.region011,PRJNA747871_OHN18_19580,PRJNA747871_OIE47_27585,0.9,0.93
CP107893.region012,CP109078.region011,PRJNA747871_OHN18_19585,PRJNA747871_OIE47_27580,0.81,0.89
CP107893.region012,CP109078.region011,PRJNA747871_OHN18_19590,PRJNA747871_OIE47_27575,0.88,0.96
CP107893.region012,CP109078.region011,PRJNA747871_OHN18_19595,PRJNA747871_OIE47_27570,0.75,0.87
CP107893.region012,CP109078.region011,PRJNA747871_OHN18_19600,PRJNA747871_OIE47_27565,0.71,0.80
CP107893.region012,CP109078.region011,PRJNA747871_OHN18_19605,PRJNA747871_OIE47_27560,0.87,0.92
CP107893.region012,CP109078.region011,PRJNA747871_OHN18_19610,PRJNA747871_OIE47_27555,0.73,0.83
CP107893.region012,CP109078.region011,PRJNA747871_OHN18_19615,PRJNA747871_OIE47_27550,0.86,0.91
CP107893.region012,CP109078.region011,PRJNA747871_OHN18_19620,PRJNA747871_OIE47_27545,0.73,0.80
CP107893.region012,CP109078.region011,PRJNA747871_OHN18_19625,PRJNA747871_OIE47_27540,0.77,0.83
CP107893.region012,CP109078.region011,PRJNA747871_OHN18_19630,PRJNA747871_OIE47_27535,0.88,0.92
CP107893.region012,CP109078.region011,PRJNA747871_OHN18_19635,PRJNA747871_OIE47_27530,0.86,0.91
CP107893.region012,CP109078.region011,PRJNA747871_OHN18_19640,PRJNA747871_OIE47_27525,0.73,0.82
CP107893.region012,CP109078.region011,PRJNA747871_OHN18_19645,PRJNA747871_OIE47_27520,0.7,0.76
CP107893.region012,CP109078.region011,PRJNA747871_OHN18_19650,PRJNA747871_OIE47_27515,0.78,0.88
CP107893.region012,CP109078.region011,PRJNA747871_OHN18_19655,PRJNA747871_OIE47_27510,0.82,0.89
CP107893.region012,CP109078.region011,PRJNA747871_OHN18_19660,PRJNA747871_OIE47_27505,0.89,0.93
CP107893.region012,CP109078.region011,PRJNA747871_OHN18_19665,PRJNA747871_OIE47_27500,0.87,0.93
