seq_id,seq_id2,locus_tag,locus_tag2,identity,similarity,start,end
BGC0001740.0_reference,CP108404.region040,BBA21067.1,PRJNA747871_OG294_36320,0.76,0.83,20913.0,17715.0
BGC0001740.0_reference,CP108404.region040,BBA21068.1,PRJNA747871_OG294_36315,0.78,0.85,38729.0,20909.0
BGC0001740.0_reference,CP108404.region040,BBA21069.1,PRJNA747871_OG294_36310,0.81,0.88,41413.0,38779.0
BGC0001740.0_reference,CP108404.region040,BBA21070.1,PRJNA747871_OG294_36305,0.89,0.92,42522.0,41433.0
BGC0001740.0_reference,CP108404.region040,BBA21071.1,PRJNA747871_OG294_36300,0.76,0.84,46088.0,42623.0
BGC0001740.0_reference,CP108404.region040,BBA21072.1,PRJNA747871_OG294_36295,0.75,0.83,60742.0,46084.0
BGC0001740.0_reference,CP108404.region040,BBA21075.1,PRJNA747871_OG294_36290,0.77,0.89,81457.0,81925.0
BGC0001740.0_reference,CP108404.region040,BBA21077.1,PRJNA747871_OG294_36280,0.82,0.88,82973.0,84017.0
BGC0001740.0_reference,CP108404.region040,BBA21078.1,PRJNA747871_OG294_36275,0.82,0.87,84134.0,85688.0
BGC0001740.0_reference,CP108404.region040,BBA21079.1,PRJNA747871_OG294_36270,0.71,0.80,85720.0,86608.0
BGC0001740.0_reference,CP108404.region040,BBA21080.1,PRJNA747871_OG294_36265,0.84,0.91,87936.0,86703.0
BGC0001740.0_reference,CP108404.region040,BBA21083.1,PRJNA747871_OG294_36255,0.81,0.89,90146.0,91376.0
BGC0001740.0_reference,CP108404.region040,BBA21084.1,PRJNA747871_OG294_36250,0.79,0.86,91423.0,92953.0
BGC0001740.0_reference,CP108404.region040,BBA21085.1,PRJNA747871_OG294_36245,0.78,0.86,93730.0,93052.0
BGC0001740.0_reference,CP108476.region044,BBA21067.1,PRJNA747871_OG500_34850,0.76,0.83,20913.0,17715.0
BGC0001740.0_reference,CP108476.region044,BBA21068.1,PRJNA747871_OG500_34845,0.78,0.85,38729.0,20909.0
BGC0001740.0_reference,CP108476.region044,BBA21069.1,PRJNA747871_OG500_34840,0.81,0.88,41413.0,38779.0
BGC0001740.0_reference,CP108476.region044,BBA21070.1,PRJNA747871_OG500_34835,0.89,0.92,42522.0,41433.0
BGC0001740.0_reference,CP108476.region044,BBA21071.1,PRJNA747871_OG500_34830,0.76,0.84,46088.0,42623.0
BGC0001740.0_reference,CP108476.region044,BBA21072.1,PRJNA747871_OG500_34825,0.75,0.83,60742.0,46084.0
BGC0001740.0_reference,CP108476.region044,BBA21075.1,PRJNA747871_OG500_34820,0.78,0.90,81457.0,81925.0
BGC0001740.0_reference,CP108476.region044,BBA21077.1,PRJNA747871_OG500_34810,0.82,0.88,82973.0,84017.0
BGC0001740.0_reference,CP108476.region044,BBA21078.1,PRJNA747871_OG500_34805,0.81,0.87,84134.0,85688.0
BGC0001740.0_reference,CP108476.region044,BBA21079.1,PRJNA747871_OG500_34800,0.71,0.80,85720.0,86608.0
BGC0001740.0_reference,CP108476.region044,BBA21080.1,PRJNA747871_OG500_34795,0.84,0.91,87936.0,86703.0
BGC0001740.0_reference,CP108476.region044,BBA21083.1,PRJNA747871_OG500_34785,0.81,0.89,90146.0,91376.0
BGC0001740.0_reference,CP108476.region044,BBA21084.1,PRJNA747871_OG500_34780,0.79,0.87,91423.0,92953.0
BGC0001740.0_reference,CP108476.region044,BBA21085.1,PRJNA747871_OG500_34775,0.78,0.86,93730.0,93052.0
CP108404.region040,CP108476.region044,PRJNA747871_OG294_36190,PRJNA747871_OG500_34735,1.0,1.00,,
CP108404.region040,CP108476.region044,PRJNA747871_OG294_36195,PRJNA747871_OG500_34740,0.96,0.96,,
