bgc_id,genome_id,region,accession,start_pos,end_pos,contig_edge,region_length,most_similar_known_cluster_id,most_similar_known_cluster_description,manual_assessment,most_similar_known_cluster_type,similarity,source,gbk_path,product,bigscape_class,gcf_0.30,gcf_0.40,gcf_0.50,Clan Number,fam_id_0.30,fam_type_0.30,fam_known_compounds_0.30,project_name
CP107823.region002,NBC_00535,1.2,CP107823,315972.0,387917.0,False,71945.0,BGC0000175,cycloheximide,cycloheximide,Polyketide:Trans-AT type I polyketide,0.6666666666666666,bgcflow,data/external/G1034_20230801/antismash/7.0.0/NBC_00535/CP107823.region002.gbk,transAT-PKS.NRPS-like.lanthipeptide-class-iv,Others,24111.0,24583.0,24583.0,12413.0,1.0,known_family,tubercidin,cycloheximide
CP107857.region002,NBC_00502,1.2,CP107857,323948.0,395768.0,False,71820.0,BGC0000175,cycloheximide,cycloheximide,Polyketide:Trans-AT type I polyketide,0.6666666666666666,bgcflow,data/external/G1034_20230801/antismash/7.0.0/NBC_00502/CP107857.region002.gbk,transAT-PKS.NRPS-like.lanthipeptide-class-iv,Others,24111.0,24583.0,24583.0,12413.0,1.0,known_family,tubercidin,cycloheximide
CP108571.region033,NBC_01196,1.33,CP108571,8337202.0,8409256.0,False,72054.0,BGC0000175,cycloheximide,cycloheximide,Polyketide:Trans-AT type I polyketide,0.6666666666666666,bgcflow,data/external/G1034_20230801/antismash/7.0.0/NBC_01196/CP108571.region033.gbk,transAT-PKS.NRPS-like.lanthipeptide-class-iv,Others,24111.0,24583.0,24583.0,12413.0,1.0,known_family,tubercidin,cycloheximide
CP108640.region003,NBC_01134,1.3,CP108640,396235.0,589405.0,False,193170.0,BGC0000368,griseobactin,cycloheximide,NRP,1.0,bgcflow,data/external/G1034_20230801/antismash/7.0.0/NBC_01134/CP108640.region003.gbk,transAT-PKS.NRPS-like.NRP-metallophore.NRPS,Others,16229.0,24611.0,24611.0,16229.0,1.0,known_family,tubercidin,cycloheximide
CP108651.region004,NBC_01106,1.4,CP108651,203890.0,396906.0,False,193016.0,BGC0000368,griseobactin,cycloheximide,NRP,1.0,bgcflow,data/external/G1034_20230801/antismash/7.0.0/NBC_01106/CP108651.region004.gbk,transAT-PKS.NRPS-like.NRP-metallophore.NRPS,Others,16229.0,24611.0,24611.0,16229.0,1.0,known_family,tubercidin,cycloheximide
CP108670.region033,NBC_01069,1.33,CP108670,8465323.0,8659070.0,False,193747.0,BGC0000368,griseobactin,cycloheximide,NRP,1.0,bgcflow,data/external/G1034_20230801/antismash/7.0.0/NBC_01069/CP108670.region033.gbk,transAT-PKS.NRPS-like.NRP-metallophore.NRPS,Others,16229.0,24583.0,24583.0,16229.0,1.0,known_family,tubercidin,cycloheximide
CP108726.region003,NBC_00990,1.3,CP108726,316238.0,509334.0,False,193096.0,BGC0000368,griseobactin,cycloheximide,NRP,1.0,bgcflow,data/external/G1034_20230801/antismash/7.0.0/NBC_00990/CP108726.region003.gbk,transAT-PKS.NRPS-like.NRP-metallophore.NRPS,Others,16229.0,31394.0,31394.0,16229.0,1.0,known_family,tubercidin,cycloheximide
CP109125.region032,NBC_01759,1.32,CP109125,8385799.0,8457571.0,False,71772.0,BGC0000175,cycloheximide,cycloheximide,Polyketide:Trans-AT type I polyketide,0.6666666666666666,bgcflow,data/external/G1034_20230801/antismash/7.0.0/NBC_01759/CP109125.region032.gbk,transAT-PKS.NRPS-like.lanthipeptide-class-iv,Others,24111.0,24583.0,24583.0,12413.0,1.0,known_family,tubercidin,cycloheximide
CP109252.region002,NBC_01654,1.2,CP109252,325696.0,397327.0,False,71631.0,BGC0000175,cycloheximide,cycloheximide,Polyketide:Trans-AT type I polyketide,0.6666666666666666,bgcflow,data/external/G1034_20230801/antismash/7.0.0/NBC_01654/CP109252.region002.gbk,transAT-PKS.NRPS-like.lanthipeptide-class-iv,Others,24111.0,24583.0,24583.0,12413.0,1.0,known_family,tubercidin,cycloheximide
CP109256.region032,NBC_01651,1.32,CP109256,8400774.0,8472806.0,False,72032.0,BGC0000175,cycloheximide,cycloheximide,Polyketide:Trans-AT type I polyketide,0.6666666666666666,bgcflow,data/external/G1034_20230801/antismash/7.0.0/NBC_01651/CP109256.region032.gbk,transAT-PKS.NRPS-like.lanthipeptide-class-iv,Others,24111.0,24583.0,24583.0,12413.0,1.0,known_family,tubercidin,cycloheximide
