bgc_id;genome_id;region;accession;start_pos;end_pos;contig_edge;region_length;most_similar_known_cluster_id;most_similar_known_cluster_description;manual_assessment;most_similar_known_cluster_type;similarity;source;gbk_path;product;bigscape_class;gcf_0.30;gcf_0.40;gcf_0.50;Clan Number;fam_id_0.30;fam_type_0.30;fam_known_compounds_0.30
NBC_00365_5.region001;NBC_00365;2.1;NBC_00365_5;341316;405828;FALSE;64512;BGC0000171;9-methylstreptimidone;9-methylstreptimidone;Polyketide:Modular type I polyketide;0.1290322580645161;bgcflow;data/interim/antismash/7.0.0/NBC_00365/NBC_00365_5.region001.gbk;transAT-PKS;PKSother;12218;12218;12218;14565.0;874;unknown_family;u_PKSother_874
NBC_01728_4.region034;NBC_01728;1.34;NBC_01728_4;10886611;10951156;FALSE;64545;BGC0000171;9-methylstreptimidone;9-methylstreptimidone;Polyketide:Modular type I polyketide;0.1290322580645161;bgcflow;data/interim/antismash/7.0.0/NBC_01728/NBC_01728_4.region034.gbk;transAT-PKS;PKSother;12218;12218;12218;14565.0;874;unknown_family;u_PKSother_874
NBC_01719_4.region029;NBC_01719;1.29;NBC_01719_4;9575120;9639665;FALSE;64545;BGC0000171;9-methylstreptimidone;9-methylstreptimidone;Polyketide:Modular type I polyketide;0.1290322580645161;bgcflow;data/interim/antismash/7.0.0/NBC_01719/NBC_01719_4.region029.gbk;transAT-PKS;PKSother;12218;12218;12218;14565.0;874;unknown_family;u_PKSother_874
CP108365.region001;NBC_01340;1.1;CP108365;205802;269129;FALSE;63327;BGC0000171;9-methylstreptimidone;9-methylstreptimidone;Polyketide:Modular type I polyketide;0.1290322580645161;bgcflow;data/interim/antismash/7.0.0/NBC_01340/CP108365.region001.gbk;transAT-PKS;PKSother;12218;12218;12218;14565.0;874;unknown_family;u_PKSother_874
CP108365.region031;NBC_01340;1.31;CP108365;10038510;10103055;FALSE;64545;BGC0000171;9-methylstreptimidone;9-methylstreptimidone;Polyketide:Modular type I polyketide;0.1290322580645161;bgcflow;data/interim/antismash/7.0.0/NBC_01340/CP108365.region031.gbk;transAT-PKS;PKSother;12218;12218;12218;14565.0;874;unknown_family;u_PKSother_874
CP109475.region026;NBC_01455;1.26;CP109475;8638537;8703886;FALSE;65349;BGC0000171;9-methylstreptimidone;9-methylstreptimidone;Polyketide:Modular type I polyketide;0.1290322580645161;bgcflow;data/interim/antismash/7.0.0/NBC_01455/CP109475.region026.gbk;transAT-PKS;PKSother;26074;26074;26074;14565.0;4735;unknown_family;u_PKSother_4735
CP108513.region027;NBC_01235;1.27;CP108513;10514259;10577599;FALSE;63340;BGC0000171;9-methylstreptimidone;9-methylstreptimidone;Polyketide:Modular type I polyketide;0.1290322580645161;bgcflow;data/interim/antismash/7.0.0/NBC_01235/CP108513.region027.gbk;transAT-PKS;PKSother;14224;12218;12218;14565.0;4949;unknown_family;u_PKSother_4949
CP108826.region010;NBC_00859;1.1;CP108826;1601276;1689282;FALSE;88006;BGC0000171;9-methylstreptimidone;9-methylstreptimidone;Polyketide:Modular type I polyketide;0.1290322580645161;bgcflow;data/interim/antismash/7.0.0/NBC_00859/CP108826.region010.gbk;transAT-PKS.NRPS-like.NRPS;PKS-NRP_Hybrids;18005;18005;18005;10239.0;4260;unknown_family;u_PKS-NRP_Hybrids_4260
CP109481.region007;NBC_01450;2.7;CP109481;2047280;2151186;FALSE;103906;BGC0000171;9-methylstreptimidone;9-methylstreptimidone;Polyketide:Modular type I polyketide;0.1612903225806451;bgcflow;data/interim/antismash/7.0.0/NBC_01450/CP109481.region007.gbk;transAT-PKS.terpene.NRPS-like;Others;26170;26170;30827;12413.0;3428;unknown_family;u_Others_3428
NBC_01645_3.region008;NBC_01645;1.8;NBC_01645_3;1740889;1834409;FALSE;93520;BGC0000175;cycloheximide;cycloheximide;Polyketide:Trans-AT type I polyketide;0.6111111111111112;bgcflow;data/interim/antismash/7.0.0/NBC_01645/NBC_01645_3.region008.gbk;transAT-PKS.NRPS-like.T1PKS;PKS-NRP_Hybrids;31420;16121;22905;10239.0;218;unknown_family;u_PKS-NRP_Hybrids_218
NBC_01623_2.region006;NBC_01623;2.6;NBC_01623_2;756122;850737;FALSE;94615;BGC0000175;cycloheximide;cycloheximide;Polyketide:Trans-AT type I polyketide;0.5555555555555556;bgcflow;data/interim/antismash/7.0.0/NBC_01623/NBC_01623_2.region006.gbk;T1PKS.NRPS-like.transAT-PKS;PKS-NRP_Hybrids;31420;16121;22905;10239.0;218;unknown_family;u_PKS-NRP_Hybrids_218
NBC_00893_5.region023;NBC_00893;1.23;NBC_00893_5;7211924;7278968;FALSE;67044;BGC0000175;cycloheximide;cycloheximide;Polyketide:Trans-AT type I polyketide;0.6111111111111112;bgcflow;data/interim/antismash/7.0.0/NBC_00893/NBC_00893_5.region023.gbk;transAT-PKS.NRPS-like;PKS-NRP_Hybrids;23806;23806;23806;10239.0;82;unknown_family;u_PKS-NRP_Hybrids_82
NBC_00264_5.region003;NBC_00264;1.3;NBC_00264_5;765462;835344;FALSE;69882;BGC0000175;cycloheximide;cycloheximide;Polyketide:Trans-AT type I polyketide;0.6666666666666666;bgcflow;data/interim/antismash/7.0.0/NBC_00264/NBC_00264_5.region003.gbk;transAT-PKS.NRPS-like;PKS-NRP_Hybrids;23806;23806;23806;10239.0;82;unknown_family;u_PKS-NRP_Hybrids_82
NBC_00305_3.region003;NBC_00305;1.3;NBC_00305_3;736297;806179;FALSE;69882;BGC0000175;cycloheximide;cycloheximide;Polyketide:Trans-AT type I polyketide;0.6666666666666666;bgcflow;data/interim/antismash/7.0.0/NBC_00305/NBC_00305_3.region003.gbk;transAT-PKS.NRPS-like;PKS-NRP_Hybrids;23806;23806;23806;10239.0;82;unknown_family;u_PKS-NRP_Hybrids_82
NBC_00062_1.region022;NBC_00062;1.22;NBC_00062_1;8573815;8643393;FALSE;69578;BGC0000175;cycloheximide;cycloheximide;Polyketide:Trans-AT type I polyketide;0.6666666666666666;bgcflow;data/interim/antismash/7.0.0/NBC_00062/NBC_00062_1.region022.gbk;transAT-PKS.NRPS-like;PKS-NRP_Hybrids;23806;23806;23806;10239.0;82;unknown_family;u_PKS-NRP_Hybrids_82
NBC_00654_6.region013;NBC_00654;1.13;NBC_00654_6;4010525;4177314;FALSE;166789;BGC0000175;cycloheximide;cycloheximide;Polyketide:Trans-AT type I polyketide;0.6111111111111112;bgcflow;data/interim/antismash/7.0.0/NBC_00654/NBC_00654_6.region013.gbk;transAT-PKS.T1PKS.NRP-metallophore.NRPS-like.T3PKS.NRPS;Others;24111;30170;30170;12413.0;1;known_family;tubercidin
NBC_01634_2.region029;NBC_01634;1.29;NBC_01634_2;7962503;8055812;FALSE;93309;BGC0000175;cycloheximide;cycloheximide;Polyketide:Trans-AT type I polyketide;0.5555555555555556;bgcflow;data/interim/antismash/7.0.0/NBC_01634/NBC_01634_2.region029.gbk;transAT-PKS.NRPS-like.T1PKS;PKS-NRP_Hybrids;31420;16121;22905;10239.0;218;unknown_family;u_PKS-NRP_Hybrids_218
