seq_id,seq_id2,locus_tag,locus_tag2,identity,similarity,start,end,start2,end2
BGC0002455.0_ref,BGC0002455.BGC0002455,SKB24610.1,SKB24610.1,1.0,1.00,790.0,2482.0,790.0,2482.0
BGC0002455.0_ref,BGC0002455.BGC0002455,SKB24611.1,SKB24611.1,1.0,1.00,2606.0,4136.0,2606.0,4136.0
BGC0002455.0_ref,BGC0002455.BGC0002455,SKB24612.1,SKB24612.1,1.0,1.00,4176.0,5079.0,4176.0,5079.0
BGC0002455.0_ref,BGC0002455.BGC0002455,SKB24613.1,SKB24613.1,1.0,1.00,5075.0,5870.0,5075.0,5870.0
BGC0002455.0_ref,BGC0002455.BGC0002455,SKB24614.1,SKB24614.1,1.0,1.00,5890.0,7075.0,5890.0,7075.0
BGC0002455.0_ref,BGC0002455.BGC0002455,SKB24615.1,SKB24615.1,1.0,1.00,7335.0,7200.0,7335.0,7200.0
BGC0002455.0_ref,BGC0002455.BGC0002455,SKB24616.1,SKB24616.1,1.0,1.00,7609.0,8965.0,7609.0,8965.0
BGC0002455.0_ref,BGC0002455.BGC0002455,SKB24617.1,SKB24617.1,1.0,1.00,9036.0,10014.0,9036.0,10014.0
BGC0002455.0_ref,BGC0002455.BGC0002455,SKB24618.1,SKB24618.1,1.0,1.00,10044.0,10902.0,10044.0,10902.0
BGC0002455.0_ref,BGC0002455.BGC0002455,SKB24619.1,SKB24619.1,1.0,1.00,12032.0,10868.0,12032.0,10868.0
BGC0002455.0_ref,BGC0002455.BGC0002455,SKB24620.1,SKB24620.1,1.0,1.00,13554.0,12150.0,13554.0,12150.0
BGC0002455.0_ref,BGC0002455.BGC0002455,SKB24621.1,SKB24621.1,1.0,1.00,13929.0,13566.0,13929.0,13566.0
BGC0002455.0_ref,BGC0002455.BGC0002455,SKB24622.1,SKB24622.1,1.0,1.00,17165.0,13928.0,17165.0,13928.0
BGC0002455.0_ref,BGC0002455.BGC0002455,SKB24623.1,SKB24623.1,1.0,1.00,17931.0,17181.0,17931.0,17181.0
BGC0002455.0_ref,BGC0002455.BGC0002455,SKB24624.1,SKB24624.1,1.0,1.00,18722.0,17930.0,18722.0,17930.0
BGC0002455.0_ref,BGC0002455.BGC0002455,SKB24625.1,SKB24625.1,1.0,1.00,19981.0,18718.0,19981.0,18718.0
BGC0002455.0_ref,BGC0002455.BGC0002455,SKB24626.1,SKB24626.1,1.0,1.00,21215.0,20000.0,21215.0,20000.0
BGC0002455.0_ref,BGC0002455.BGC0002455,SKB24627.1,SKB24627.1,1.0,1.00,21456.0,21207.0,21456.0,21207.0
BGC0002455.0_ref,BGC0002455.BGC0002455,SKB24628.1,SKB24628.1,1.0,1.00,22856.0,21458.0,22856.0,21458.0
BGC0002455.0_ref,BGC0002455.BGC0002455,SKB24629.1,SKB24629.1,1.0,1.00,23264.0,23402.0,23264.0,23402.0
BGC0002455.0_ref,BGC0002455.BGC0002455,SKB24630.1,SKB24630.1,1.0,1.00,23686.0,23953.0,23686.0,23953.0
BGC0002455.0_ref,BGC0002455.BGC0002455,SKB24631.1,SKB24631.1,1.0,1.00,24015.0,24846.0,24015.0,24846.0
BGC0002455.0_ref,BGC0002455.BGC0002455,SKB24632.1,SKB24632.1,1.0,1.00,24941.0,26912.0,24941.0,26912.0
BGC0002455.0_ref,BGC0002455.BGC0002455,SKB24633.1,SKB24633.1,1.0,1.00,26908.0,43330.0,26908.0,43330.0
BGC0002455.0_ref,BGC0002455.BGC0002455,SKB24634.1,SKB24634.1,1.0,1.00,43326.0,54720.0,43326.0,54720.0
BGC0002455.0_ref,BGC0002455.BGC0002455,SKB24635.1,SKB24635.1,1.0,1.00,54707.0,65546.0,54707.0,65546.0
BGC0002455.0_ref,BGC0002455.BGC0002455,SKB24636.1,SKB24636.1,1.0,1.00,65559.0,80493.0,65559.0,80493.0
BGC0002455.0_ref,BGC0002455.BGC0002455,SKB24637.1,SKB24637.1,1.0,1.00,80518.0,91396.0,80518.0,91396.0
BGC0002455.0_ref,BGC0002455.BGC0002455,SKB24638.1,SKB24638.1,1.0,1.00,91534.0,109213.0,91534.0,109213.0
BGC0002455.0_ref,BGC0002455.BGC0002455,SKB24639.1,SKB24639.1,1.0,1.00,109654.0,109852.0,109654.0,109852.0
BGC0002455.0_ref,BGC0002455.BGC0002455,SKB24640.1,SKB24640.1,1.0,1.00,110004.0,110493.0,110004.0,110493.0
BGC0002455.0_ref,BGC0002455.BGC0002455,SKB24641.1,SKB24641.1,1.0,1.00,110528.0,111455.0,110528.0,111455.0
BGC0002455.0_ref,BGC0002455.BGC0002455,SKB24642.1,SKB24642.1,1.0,1.00,111545.0,112307.0,111545.0,112307.0
BGC0002455.0_ref,BGC0002455.BGC0002455,SKB24643.1,SKB24643.1,1.0,1.00,113333.0,112376.0,113333.0,112376.0
BGC0002455.0_ref,BGC0002455.BGC0002455,SKB24644.1,SKB24644.1,1.0,1.00,113614.0,115741.0,113614.0,115741.0
BGC0002455.0_ref,BGC0002455.BGC0002455,SKB24645.1,SKB24645.1,1.0,1.00,115737.0,116598.0,115737.0,116598.0
BGC0002455.0_ref,BGC0002455.BGC0002455,SKB24646.1,SKB24646.1,1.0,1.00,116662.0,117838.0,116662.0,117838.0
BGC0002455.0_ref,BGC0002455.BGC0002455,SKB24647.1,SKB24647.1,1.0,1.00,118700.0,119606.0,118700.0,119606.0
BGC0002455.0_ref,BGC0002455.BGC0002455,SKB24648.1,SKB24648.1,1.0,1.00,119715.0,119973.0,119715.0,119973.0
BGC0002455.0_ref,BGC0002455.BGC0002455,SKB24649.1,SKB24649.1,1.0,1.00,120218.0,120968.0,120218.0,120968.0
BGC0002455.0_ref,BGC0002455.BGC0002455,SKB24650.1,SKB24650.1,1.0,1.00,122729.0,121199.0,122729.0,121199.0
BGC0002455.0_ref,BGC0002455.BGC0002455,SKB24651.1,SKB24651.1,1.0,1.00,124109.0,122819.0,124109.0,122819.0
BGC0002455.0_ref,BGC0002455.BGC0002455,SKB24652.1,SKB24652.1,1.0,1.00,124266.0,125196.0,124266.0,125196.0
BGC0002455.0_ref,BGC0002455.BGC0002455,SKB24653.1,SKB24653.1,1.0,1.00,125341.0,127093.0,125341.0,127093.0
BGC0002455.0_ref,BGC0002455.BGC0002455,SKB24654.1,SKB24654.1,1.0,1.00,128096.0,127127.0,128096.0,127127.0
BGC0002455.0_ref,BGC0002455.BGC0002455,SKB24655.1,SKB24655.1,1.0,1.00,129200.0,128288.0,129200.0,128288.0
