BGC0001853.0_reference vs CP107919.region010
--------------------------------------------
Query    Target                   Identity  Similarity
ctg3_1   PRJNA747871_OHR86_21285  0.53      0.71      
ctg3_5   PRJNA747871_OHR86_21155  0.42      0.59      
ctg3_6   PRJNA747871_OHR86_21145  0.33      0.46      
ctg3_7   PRJNA747871_OHR86_21185  0.60      0.73      
ctg3_8   PRJNA747871_OHR86_21155  0.37      0.55      
ctg3_9   PRJNA747871_OHR86_21190  0.51      0.70      
ctg3_10  PRJNA747871_OHR86_21195  0.60      0.71      
ctg3_10  PRJNA747871_OHR86_21215  0.34      0.48      
ctg3_11  PRJNA747871_OHR86_21200  0.70      0.80      
ctg3_11  PRJNA747871_OHR86_21255  0.48      0.65      
ctg3_12  PRJNA747871_OHR86_21205  0.59      0.74      
ctg3_13  PRJNA747871_OHR86_21210  0.59      0.70      
ctg3_14  PRJNA747871_OHR86_21195  0.38      0.56      
ctg3_14  PRJNA747871_OHR86_21215  0.73      0.84      
ctg3_15  PRJNA747871_OHR86_21220  0.60      0.73      
ctg3_16  PRJNA747871_OHR86_21225  0.77      0.84      
ctg3_17  PRJNA747871_OHR86_21230  0.56      0.66      
ctg3_18  PRJNA747871_OHR86_21235  0.55      0.67      
ctg3_19  PRJNA747871_OHR86_21240  0.49      0.61      
ctg3_20  PRJNA747871_OHR86_21245  0.56      0.68      
ctg3_21  PRJNA747871_OHR86_21250  0.55      0.71      
ctg3_22  PRJNA747871_OHR86_21200  0.48      0.65      
ctg3_22  PRJNA747871_OHR86_21255  0.68      0.77      
ctg3_23  PRJNA747871_OHR86_21135  0.34      0.51      
ctg3_24  PRJNA747871_OHR86_21140  0.39      0.57      
ctg3_25  PRJNA747871_OHR86_21260  0.55      0.66      
ctg3_27  PRJNA747871_OHR86_21130  0.40      0.54      
ctg3_27  PRJNA747871_OHR86_21265  0.48      0.62      
ctg3_28  PRJNA747871_OHR86_21270  0.53      0.69      
ctg3_31  PRJNA747871_OHR86_21275  0.68      0.77      
ctg3_33  PRJNA747871_OHR86_21280  0.57      0.71      
ctg3_34  PRJNA747871_OHR86_21270  0.51      0.69      
ctg3_35  PRJNA747871_OHR86_21185  0.34      0.47      

BGC0001853.0_reference vs CP108121.region007
--------------------------------------------
Query    Target                   Identity  Similarity
ctg3_1   PRJNA747871_OG867_09920  0.53      0.71      
ctg3_5   PRJNA747871_OG867_10050  0.43      0.59      
ctg3_6   PRJNA747871_OG867_10060  0.34      0.46      
ctg3_7   PRJNA747871_OG867_10020  0.60      0.73      
ctg3_8   PRJNA747871_OG867_10050  0.36      0.55      
ctg3_9   PRJNA747871_OG867_10015  0.51      0.70      
ctg3_10  PRJNA747871_OG867_09990  0.34      0.48      
ctg3_10  PRJNA747871_OG867_10010  0.60      0.71      
ctg3_11  PRJNA747871_OG867_09950  0.48      0.65      
ctg3_11  PRJNA747871_OG867_10005  0.70      0.80      
ctg3_12  PRJNA747871_OG867_10000  0.59      0.74      
ctg3_13  PRJNA747871_OG867_09995  0.59      0.70      
ctg3_14  PRJNA747871_OG867_09990  0.73      0.84      
ctg3_14  PRJNA747871_OG867_10010  0.38      0.56      
ctg3_15  PRJNA747871_OG867_09985  0.61      0.73      
ctg3_16  PRJNA747871_OG867_09980  0.77      0.84      
ctg3_17  PRJNA747871_OG867_09975  0.56      0.66      
ctg3_18  PRJNA747871_OG867_09970  0.54      0.67      
ctg3_19  PRJNA747871_OG867_09965  0.49      0.61      
ctg3_20  PRJNA747871_OG867_09960  0.56      0.68      
ctg3_21  PRJNA747871_OG867_09955  0.55      0.71      
ctg3_22  PRJNA747871_OG867_09950  0.68      0.77      
ctg3_22  PRJNA747871_OG867_10005  0.48      0.65      
ctg3_23  PRJNA747871_OG867_10070  0.35      0.51      
ctg3_24  PRJNA747871_OG867_10065  0.40      0.57      
ctg3_25  PRJNA747871_OG867_09945  0.55      0.66      
ctg3_27  PRJNA747871_OG867_09940  0.48      0.62      
ctg3_27  PRJNA747871_OG867_10075  0.40      0.54      
ctg3_28  PRJNA747871_OG867_09935  0.53      0.69      
ctg3_31  PRJNA747871_OG867_09930  0.67      0.77      
ctg3_33  PRJNA747871_OG867_09925  0.57      0.71      
ctg3_34  PRJNA747871_OG867_09935  0.51      0.69      
ctg3_35  PRJNA747871_OG867_10020  0.34      0.47      

BGC0001853.0_reference vs CP109090.region020
--------------------------------------------
Query    Target                   Identity  Similarity
ctg3_1   PRJNA747871_OIE49_32565  0.89      0.92      
ctg3_2   PRJNA747871_OIE49_32570  0.92      0.93      
ctg3_2   PRJNA747871_OIE49_32730  0.56      0.66      
ctg3_3   PRJNA747871_OIE49_32580  0.70      0.72      
ctg3_4   PRJNA747871_OIE49_32590  0.89      0.91      
ctg3_5   PRJNA747871_OIE49_32600  0.96      0.97      
ctg3_5   PRJNA747871_OIE49_32615  0.36      0.52      
ctg3_6   PRJNA747871_OIE49_32605  0.84      0.86      
ctg3_7   PRJNA747871_OIE49_32610  0.97      0.98      
ctg3_7   PRJNA747871_OIE49_32750  0.31      0.48      
ctg3_8   PRJNA747871_OIE49_32600  0.36      0.51      
ctg3_8   PRJNA747871_OIE49_32615  0.90      0.94      
ctg3_9   PRJNA747871_OIE49_32620  0.95      0.97      
ctg3_10  PRJNA747871_OIE49_32625  0.92      0.94      
ctg3_10  PRJNA747871_OIE49_32645  0.35      0.52      
ctg3_11  PRJNA747871_OIE49_32630  0.97      0.98      
ctg3_11  PRJNA747871_OIE49_32685  0.48      0.65      
ctg3_12  PRJNA747871_OIE49_32635  0.98      0.98      
ctg3_13  PRJNA747871_OIE49_32640  0.91      0.94      
ctg3_14  PRJNA747871_OIE49_32625  0.34      0.53      
ctg3_14  PRJNA747871_OIE49_32645  0.97      0.98      
ctg3_15  PRJNA747871_OIE49_32650  0.95      0.96      
ctg3_16  PRJNA747871_OIE49_32655  0.95      0.97      
ctg3_17  PRJNA747871_OIE49_32660  0.94      0.96      
ctg3_18  PRJNA747871_OIE49_32665  0.91      0.93      
ctg3_19  PRJNA747871_OIE49_32670  0.89      0.91      
ctg3_20  PRJNA747871_OIE49_32675  0.93      0.96      
ctg3_21  PRJNA747871_OIE49_32680  0.93      0.97      
ctg3_22  PRJNA747871_OIE49_32630  0.49      0.65      
ctg3_22  PRJNA747871_OIE49_32685  0.94      0.96      
ctg3_23  PRJNA747871_OIE49_32690  0.93      0.97      
ctg3_24  PRJNA747871_OIE49_32695  0.95      0.97      
ctg3_25  PRJNA747871_OIE49_32700  0.90      0.94      
ctg3_26  PRJNA747871_OIE49_32705  0.94      0.96      
ctg3_27  PRJNA747871_OIE49_32710  0.95      0.97      
ctg3_28  PRJNA747871_OIE49_32715  0.93      0.96      
ctg3_28  PRJNA747871_OIE49_32745  0.52      0.69      
ctg3_30  PRJNA747871_OIE49_32570  0.60      0.75      
ctg3_30  PRJNA747871_OIE49_32730  0.75      0.78      
ctg3_31  PRJNA747871_OIE49_32735  0.94      0.97      
ctg3_33  PRJNA747871_OIE49_32585  0.32      0.38      
ctg3_33  PRJNA747871_OIE49_32740  0.93      0.96      
ctg3_34  PRJNA747871_OIE49_32715  0.51      0.68      
ctg3_34  PRJNA747871_OIE49_32745  0.95      0.97      
ctg3_35  PRJNA747871_OIE49_32610  0.30      0.46      
ctg3_35  PRJNA747871_OIE49_32750  0.96      0.98      

BGC0001853.0_reference vs CP109435.region001
--------------------------------------------
Query    Target                   Identity  Similarity
ctg3_1   PRJNA747871_OG352_00335  0.58      0.77      
ctg3_2   PRJNA747871_OG352_00330  0.67      0.78      
ctg3_3   PRJNA747871_OG352_00320  0.57      0.61      
ctg3_5   PRJNA747871_OG352_00440  0.38      0.52      
ctg3_5   PRJNA747871_OG352_00450  0.62      0.74      
ctg3_7   PRJNA747871_OG352_00305  0.32      0.46      
ctg3_7   PRJNA747871_OG352_00445  0.34      0.42      
ctg3_8   PRJNA747871_OG352_00440  0.60      0.71      
ctg3_8   PRJNA747871_OG352_00450  0.35      0.52      
ctg3_9   PRJNA747871_OG352_00435  0.67      0.80      
ctg3_10  PRJNA747871_OG352_00410  0.34      0.51      
ctg3_10  PRJNA747871_OG352_00430  0.75      0.82      
ctg3_11  PRJNA747871_OG352_00370  0.49      0.64      
ctg3_11  PRJNA747871_OG352_00425  0.79      0.88      
ctg3_12  PRJNA747871_OG352_00420  0.75      0.83      
ctg3_13  PRJNA747871_OG352_00415  0.70      0.79      
ctg3_14  PRJNA747871_OG352_00410  0.80      0.87      
ctg3_14  PRJNA747871_OG352_00430  0.36      0.51      
ctg3_15  PRJNA747871_OG352_00405  0.70      0.79      
ctg3_16  PRJNA747871_OG352_00400  0.87      0.92      
ctg3_17  PRJNA747871_OG352_00395  0.72      0.80      
ctg3_18  PRJNA747871_OG352_00390  0.67      0.76      
ctg3_19  PRJNA747871_OG352_00385  0.64      0.73      
ctg3_20  PRJNA747871_OG352_00380  0.74      0.81      
ctg3_21  PRJNA747871_OG352_00375  0.69      0.78      
ctg3_22  PRJNA747871_OG352_00370  0.80      0.87      
ctg3_22  PRJNA747871_OG352_00425  0.45      0.63      
ctg3_23  PRJNA747871_OG352_00365  0.82      0.89      
ctg3_23  PRJNA747871_OG352_00375  0.31      0.48      
ctg3_24  PRJNA747871_OG352_00360  0.70      0.81      
ctg3_25  PRJNA747871_OG352_00355  0.65      0.74      
ctg3_26  PRJNA747871_OG352_00350  0.84      0.90      
ctg3_27  PRJNA747871_OG352_00345  0.86      0.93      
ctg3_28  PRJNA747871_OG352_00310  0.52      0.69      
ctg3_28  PRJNA747871_OG352_00340  0.70      0.80      
ctg3_30  PRJNA747871_OG352_00330  0.77      0.86      
ctg3_31  PRJNA747871_OG352_00325  0.79      0.86      
ctg3_33  PRJNA747871_OG352_00315  0.80      0.89      
ctg3_34  PRJNA747871_OG352_00310  0.78      0.85      
ctg3_34  PRJNA747871_OG352_00340  0.49      0.64      
ctg3_35  PRJNA747871_OG352_00305  0.76      0.82      

CP107919.region010 vs CP108121.region007
----------------------------------------
Query                    Target                   Identity  Similarity
PRJNA747871_OHR86_21110  PRJNA747871_OG867_10095  0.96      0.97      
PRJNA747871_OHR86_21115  PRJNA747871_OG867_10090  0.99      1.00      
PRJNA747871_OHR86_21120  PRJNA747871_OG867_10085  1.00      1.00      
PRJNA747871_OHR86_21125  PRJNA747871_OG867_10080  0.99      0.99      
PRJNA747871_OHR86_21130  PRJNA747871_OG867_09940  0.39      0.51      
PRJNA747871_OHR86_21130  PRJNA747871_OG867_10075  1.00      1.00      
PRJNA747871_OHR86_21135  PRJNA747871_OG867_10070  0.99      1.00      
PRJNA747871_OHR86_21140  PRJNA747871_OG867_10065  0.99      0.99      
PRJNA747871_OHR86_21145  PRJNA747871_OG867_10060  0.99      1.00      
PRJNA747871_OHR86_21150  PRJNA747871_OG867_10055  0.99      0.99      
PRJNA747871_OHR86_21155  PRJNA747871_OG867_10050  1.00      1.00      
PRJNA747871_OHR86_21160  PRJNA747871_OG867_10045  1.00      1.00      
PRJNA747871_OHR86_21165  PRJNA747871_OG867_10040  1.00      1.00      
PRJNA747871_OHR86_21170  PRJNA747871_OG867_10035  1.00      1.00      
PRJNA747871_OHR86_21175  PRJNA747871_OG867_10030  1.00      1.00      
PRJNA747871_OHR86_21180  PRJNA747871_OG867_10025  1.00      1.00      
PRJNA747871_OHR86_21185  PRJNA747871_OG867_10020  1.00      1.00      
PRJNA747871_OHR86_21190  PRJNA747871_OG867_10015  1.00      1.00      
PRJNA747871_OHR86_21195  PRJNA747871_OG867_09990  0.35      0.52      
PRJNA747871_OHR86_21195  PRJNA747871_OG867_10010  1.00      1.00      
PRJNA747871_OHR86_21200  PRJNA747871_OG867_09950  0.49      0.66      
PRJNA747871_OHR86_21200  PRJNA747871_OG867_10005  1.00      1.00      
PRJNA747871_OHR86_21205  PRJNA747871_OG867_10000  0.99      0.99      
PRJNA747871_OHR86_21210  PRJNA747871_OG867_09995  1.00      1.00      
PRJNA747871_OHR86_21215  PRJNA747871_OG867_09990  1.00      1.00      
PRJNA747871_OHR86_21215  PRJNA747871_OG867_10010  0.35      0.53      
PRJNA747871_OHR86_21220  PRJNA747871_OG867_09985  0.99      0.99      
PRJNA747871_OHR86_21225  PRJNA747871_OG867_09980  1.00      1.00      
PRJNA747871_OHR86_21230  PRJNA747871_OG867_09975  1.00      1.00      
PRJNA747871_OHR86_21235  PRJNA747871_OG867_09970  0.99      0.99      
PRJNA747871_OHR86_21240  PRJNA747871_OG867_09965  0.99      0.99      
PRJNA747871_OHR86_21245  PRJNA747871_OG867_09960  1.00      1.00      
PRJNA747871_OHR86_21250  PRJNA747871_OG867_09955  1.00      1.00      
PRJNA747871_OHR86_21255  PRJNA747871_OG867_09950  1.00      1.00      
PRJNA747871_OHR86_21255  PRJNA747871_OG867_10005  0.49      0.66      
PRJNA747871_OHR86_21260  PRJNA747871_OG867_09945  1.00      1.00      
PRJNA747871_OHR86_21265  PRJNA747871_OG867_09940  1.00      1.00      
PRJNA747871_OHR86_21265  PRJNA747871_OG867_10075  0.39      0.51      
PRJNA747871_OHR86_21270  PRJNA747871_OG867_09935  1.00      1.00      
PRJNA747871_OHR86_21275  PRJNA747871_OG867_09930  0.99      1.00      
PRJNA747871_OHR86_21280  PRJNA747871_OG867_09925  1.00      1.00      
PRJNA747871_OHR86_21285  PRJNA747871_OG867_09920  0.99      0.99      
PRJNA747871_OHR86_21290  PRJNA747871_OG867_09915  1.00      1.00      
PRJNA747871_OHR86_21295  PRJNA747871_OG867_09910  1.00      1.00      
PRJNA747871_OHR86_21300  PRJNA747871_OG867_09905  0.99      1.00      
PRJNA747871_OHR86_21305  PRJNA747871_OG867_09900  1.00      1.00      
PRJNA747871_OHR86_21310  PRJNA747871_OG867_09895  0.95      0.95      
PRJNA747871_OHR86_21315  PRJNA747871_OG867_09890  1.00      1.00      
PRJNA747871_OHR86_21320  PRJNA747871_OG867_09885  1.00      1.00      
PRJNA747871_OHR86_21325  PRJNA747871_OG867_09880  0.99      0.99      
PRJNA747871_OHR86_21330  PRJNA747871_OG867_09875  1.00      1.00      
PRJNA747871_OHR86_21335  PRJNA747871_OG867_09870  0.99      0.99      
PRJNA747871_OHR86_21340  PRJNA747871_OG867_09865  1.00      1.00      
PRJNA747871_OHR86_21345  PRJNA747871_OG867_09860  0.98      0.99      
PRJNA747871_OHR86_21350  PRJNA747871_OG867_09855  1.00      1.00      
PRJNA747871_OHR86_21355  PRJNA747871_OG867_09850  1.00      1.00      
PRJNA747871_OHR86_21360  PRJNA747871_OG867_09845  1.00      1.00      
PRJNA747871_OHR86_21365  PRJNA747871_OG867_09840  1.00      1.00      

CP107919.region010 vs CP109090.region020
----------------------------------------
Query                    Target                   Identity  Similarity
PRJNA747871_OHR86_21130  PRJNA747871_OIE49_32710  0.38      0.55      
PRJNA747871_OHR86_21135  PRJNA747871_OIE49_32690  0.37      0.51      
PRJNA747871_OHR86_21140  PRJNA747871_OIE49_32695  0.39      0.56      
PRJNA747871_OHR86_21145  PRJNA747871_OIE49_32605  0.30      0.42      
PRJNA747871_OHR86_21155  PRJNA747871_OIE49_32600  0.42      0.57      
PRJNA747871_OHR86_21155  PRJNA747871_OIE49_32615  0.34      0.52      
PRJNA747871_OHR86_21185  PRJNA747871_OIE49_32610  0.60      0.73      
PRJNA747871_OHR86_21185  PRJNA747871_OIE49_32750  0.34      0.46      
PRJNA747871_OHR86_21190  PRJNA747871_OIE49_32620  0.50      0.70      
PRJNA747871_OHR86_21195  PRJNA747871_OIE49_32625  0.58      0.69      
PRJNA747871_OHR86_21195  PRJNA747871_OIE49_32645  0.38      0.55      
PRJNA747871_OHR86_21200  PRJNA747871_OIE49_32630  0.70      0.80      
PRJNA747871_OHR86_21200  PRJNA747871_OIE49_32685  0.49      0.65      
PRJNA747871_OHR86_21205  PRJNA747871_OIE49_32635  0.58      0.74      
PRJNA747871_OHR86_21210  PRJNA747871_OIE49_32640  0.59      0.69      
PRJNA747871_OHR86_21215  PRJNA747871_OIE49_32625  0.34      0.49      
PRJNA747871_OHR86_21215  PRJNA747871_OIE49_32645  0.73      0.83      
PRJNA747871_OHR86_21220  PRJNA747871_OIE49_32650  0.60      0.72      
PRJNA747871_OHR86_21225  PRJNA747871_OIE49_32655  0.76      0.84      
PRJNA747871_OHR86_21230  PRJNA747871_OIE49_32660  0.56      0.66      
PRJNA747871_OHR86_21235  PRJNA747871_OIE49_32665  0.54      0.66      
PRJNA747871_OHR86_21240  PRJNA747871_OIE49_32670  0.50      0.62      
PRJNA747871_OHR86_21245  PRJNA747871_OIE49_32675  0.56      0.68      
PRJNA747871_OHR86_21250  PRJNA747871_OIE49_32680  0.54      0.71      
PRJNA747871_OHR86_21255  PRJNA747871_OIE49_32630  0.48      0.64      
PRJNA747871_OHR86_21255  PRJNA747871_OIE49_32685  0.68      0.77      
PRJNA747871_OHR86_21260  PRJNA747871_OIE49_32700  0.55      0.66      
PRJNA747871_OHR86_21265  PRJNA747871_OIE49_32710  0.46      0.63      
PRJNA747871_OHR86_21270  PRJNA747871_OIE49_32715  0.53      0.69      
PRJNA747871_OHR86_21270  PRJNA747871_OIE49_32745  0.52      0.70      
PRJNA747871_OHR86_21275  PRJNA747871_OIE49_32735  0.66      0.76      
PRJNA747871_OHR86_21280  PRJNA747871_OIE49_32740  0.61      0.71      
PRJNA747871_OHR86_21285  PRJNA747871_OIE49_32565  0.52      0.70      

CP107919.region010 vs CP109435.region001
----------------------------------------
Query                    Target                   Identity  Similarity
PRJNA747871_OHR86_21130  PRJNA747871_OG352_00345  0.39      0.54      
PRJNA747871_OHR86_21135  PRJNA747871_OG352_00365  0.37      0.52      
PRJNA747871_OHR86_21140  PRJNA747871_OG352_00360  0.41      0.56      
PRJNA747871_OHR86_21155  PRJNA747871_OG352_00440  0.34      0.53      
PRJNA747871_OHR86_21155  PRJNA747871_OG352_00450  0.41      0.56      
PRJNA747871_OHR86_21185  PRJNA747871_OG352_00305  0.36      0.49      
PRJNA747871_OHR86_21185  PRJNA747871_OG352_00445  0.31      0.41      
PRJNA747871_OHR86_21190  PRJNA747871_OG352_00435  0.50      0.67      
PRJNA747871_OHR86_21195  PRJNA747871_OG352_00410  0.34      0.53      
PRJNA747871_OHR86_21195  PRJNA747871_OG352_00430  0.58      0.67      
PRJNA747871_OHR86_21200  PRJNA747871_OG352_00370  0.47      0.64      
PRJNA747871_OHR86_21200  PRJNA747871_OG352_00425  0.70      0.81      
PRJNA747871_OHR86_21205  PRJNA747871_OG352_00420  0.61      0.75      
PRJNA747871_OHR86_21210  PRJNA747871_OG352_00415  0.59      0.71      
PRJNA747871_OHR86_21215  PRJNA747871_OG352_00410  0.73      0.81      
PRJNA747871_OHR86_21215  PRJNA747871_OG352_00430  0.34      0.47      
PRJNA747871_OHR86_21220  PRJNA747871_OG352_00405  0.58      0.71      
PRJNA747871_OHR86_21225  PRJNA747871_OG352_00400  0.75      0.83      
PRJNA747871_OHR86_21230  PRJNA747871_OG352_00395  0.56      0.69      
PRJNA747871_OHR86_21235  PRJNA747871_OG352_00390  0.54      0.65      
PRJNA747871_OHR86_21240  PRJNA747871_OG352_00385  0.50      0.61      
PRJNA747871_OHR86_21245  PRJNA747871_OG352_00380  0.53      0.69      
PRJNA747871_OHR86_21250  PRJNA747871_OG352_00375  0.48      0.72      
PRJNA747871_OHR86_21255  PRJNA747871_OG352_00370  0.69      0.79      
PRJNA747871_OHR86_21255  PRJNA747871_OG352_00425  0.50      0.66      
PRJNA747871_OHR86_21260  PRJNA747871_OG352_00355  0.57      0.66      
PRJNA747871_OHR86_21265  PRJNA747871_OG352_00345  0.45      0.64      
PRJNA747871_OHR86_21270  PRJNA747871_OG352_00310  0.51      0.68      
PRJNA747871_OHR86_21270  PRJNA747871_OG352_00340  0.49      0.63      
PRJNA747871_OHR86_21275  PRJNA747871_OG352_00325  0.67      0.77      
PRJNA747871_OHR86_21280  PRJNA747871_OG352_00315  0.61      0.75      
PRJNA747871_OHR86_21285  PRJNA747871_OG352_00335  0.57      0.75      
PRJNA747871_OHR86_21295  PRJNA747871_OG352_00475  0.32      0.52      

CP108121.region007 vs CP109090.region020
----------------------------------------
Query                    Target                   Identity  Similarity
PRJNA747871_OG867_09920  PRJNA747871_OIE49_32565  0.53      0.71      
PRJNA747871_OG867_09925  PRJNA747871_OIE49_32740  0.61      0.71      
PRJNA747871_OG867_09930  PRJNA747871_OIE49_32735  0.66      0.76      
PRJNA747871_OG867_09935  PRJNA747871_OIE49_32715  0.53      0.70      
PRJNA747871_OG867_09935  PRJNA747871_OIE49_32745  0.52      0.70      
PRJNA747871_OG867_09940  PRJNA747871_OIE49_32710  0.46      0.63      
PRJNA747871_OG867_09945  PRJNA747871_OIE49_32700  0.55      0.66      
PRJNA747871_OG867_09950  PRJNA747871_OIE49_32630  0.48      0.64      
PRJNA747871_OG867_09950  PRJNA747871_OIE49_32685  0.68      0.77      
PRJNA747871_OG867_09955  PRJNA747871_OIE49_32680  0.54      0.71      
PRJNA747871_OG867_09960  PRJNA747871_OIE49_32675  0.56      0.68      
PRJNA747871_OG867_09965  PRJNA747871_OIE49_32670  0.50      0.62      
PRJNA747871_OG867_09970  PRJNA747871_OIE49_32665  0.54      0.66      
PRJNA747871_OG867_09975  PRJNA747871_OIE49_32660  0.56      0.66      
PRJNA747871_OG867_09980  PRJNA747871_OIE49_32655  0.76      0.84      
PRJNA747871_OG867_09985  PRJNA747871_OIE49_32650  0.60      0.73      
PRJNA747871_OG867_09990  PRJNA747871_OIE49_32625  0.34      0.49      
PRJNA747871_OG867_09990  PRJNA747871_OIE49_32645  0.73      0.83      
PRJNA747871_OG867_09995  PRJNA747871_OIE49_32640  0.59      0.69      
PRJNA747871_OG867_10000  PRJNA747871_OIE49_32635  0.58      0.74      
PRJNA747871_OG867_10005  PRJNA747871_OIE49_32630  0.70      0.80      
PRJNA747871_OG867_10005  PRJNA747871_OIE49_32685  0.49      0.65      
PRJNA747871_OG867_10010  PRJNA747871_OIE49_32625  0.58      0.69      
PRJNA747871_OG867_10010  PRJNA747871_OIE49_32645  0.38      0.55      
PRJNA747871_OG867_10015  PRJNA747871_OIE49_32620  0.50      0.70      
PRJNA747871_OG867_10020  PRJNA747871_OIE49_32610  0.60      0.73      
PRJNA747871_OG867_10020  PRJNA747871_OIE49_32750  0.34      0.46      
PRJNA747871_OG867_10050  PRJNA747871_OIE49_32600  0.42      0.58      
PRJNA747871_OG867_10050  PRJNA747871_OIE49_32615  0.34      0.51      
PRJNA747871_OG867_10060  PRJNA747871_OIE49_32605  0.31      0.42      
PRJNA747871_OG867_10065  PRJNA747871_OIE49_32695  0.39      0.57      
PRJNA747871_OG867_10070  PRJNA747871_OIE49_32690  0.35      0.51      
PRJNA747871_OG867_10075  PRJNA747871_OIE49_32710  0.38      0.55      

CP108121.region007 vs CP109435.region001
----------------------------------------
Query                    Target                   Identity  Similarity
PRJNA747871_OG867_09910  PRJNA747871_OG352_00475  0.32      0.52      
PRJNA747871_OG867_09920  PRJNA747871_OG352_00335  0.57      0.75      
PRJNA747871_OG867_09925  PRJNA747871_OG352_00315  0.61      0.75      
PRJNA747871_OG867_09930  PRJNA747871_OG352_00325  0.66      0.77      
PRJNA747871_OG867_09935  PRJNA747871_OG352_00310  0.51      0.68      
PRJNA747871_OG867_09935  PRJNA747871_OG352_00340  0.49      0.64      
PRJNA747871_OG867_09940  PRJNA747871_OG352_00345  0.45      0.64      
PRJNA747871_OG867_09945  PRJNA747871_OG352_00355  0.57      0.66      
PRJNA747871_OG867_09950  PRJNA747871_OG352_00370  0.69      0.79      
PRJNA747871_OG867_09950  PRJNA747871_OG352_00425  0.50      0.66      
PRJNA747871_OG867_09955  PRJNA747871_OG352_00375  0.48      0.72      
PRJNA747871_OG867_09960  PRJNA747871_OG352_00380  0.53      0.69      
PRJNA747871_OG867_09965  PRJNA747871_OG352_00385  0.50      0.61      
PRJNA747871_OG867_09970  PRJNA747871_OG352_00390  0.54      0.65      
PRJNA747871_OG867_09975  PRJNA747871_OG352_00395  0.56      0.69      
PRJNA747871_OG867_09980  PRJNA747871_OG352_00400  0.75      0.83      
PRJNA747871_OG867_09985  PRJNA747871_OG352_00405  0.59      0.71      
PRJNA747871_OG867_09990  PRJNA747871_OG352_00410  0.73      0.81      
PRJNA747871_OG867_09990  PRJNA747871_OG352_00430  0.34      0.47      
PRJNA747871_OG867_09995  PRJNA747871_OG352_00415  0.59      0.71      
PRJNA747871_OG867_10000  PRJNA747871_OG352_00420  0.61      0.74      
PRJNA747871_OG867_10005  PRJNA747871_OG352_00370  0.47      0.64      
PRJNA747871_OG867_10005  PRJNA747871_OG352_00425  0.70      0.81      
PRJNA747871_OG867_10010  PRJNA747871_OG352_00410  0.34      0.53      
PRJNA747871_OG867_10010  PRJNA747871_OG352_00430  0.58      0.67      
PRJNA747871_OG867_10015  PRJNA747871_OG352_00435  0.50      0.67      
PRJNA747871_OG867_10020  PRJNA747871_OG352_00305  0.36      0.49      
PRJNA747871_OG867_10020  PRJNA747871_OG352_00445  0.31      0.41      
PRJNA747871_OG867_10050  PRJNA747871_OG352_00440  0.34      0.52      
PRJNA747871_OG867_10050  PRJNA747871_OG352_00450  0.42      0.56      
PRJNA747871_OG867_10065  PRJNA747871_OG352_00360  0.41      0.56      
PRJNA747871_OG867_10070  PRJNA747871_OG352_00365  0.38      0.52      
PRJNA747871_OG867_10075  PRJNA747871_OG352_00345  0.39      0.54      

CP109090.region020 vs CP109435.region001
----------------------------------------
Query                    Target                   Identity  Similarity
PRJNA747871_OIE49_32565  PRJNA747871_OG352_00335  0.55      0.73      
PRJNA747871_OIE49_32570  PRJNA747871_OG352_00330  0.66      0.77      
