seq_id,seq_id2,locus_tag,locus_tag2,identity,similarity,start,end
BGC0002451.0,CP108038.region030,QGY73444.1,PRJNA747871_OHT53_40810,0.9,0.92,3321.0,0.0
BGC0002451.0,CP108038.region030,QGY73445.1,PRJNA747871_OHT53_40805,0.87,0.90,21260.0,3317.0
BGC0002451.0,CP108038.region030,QGY73446.1,PRJNA747871_OHT53_40800,0.91,0.95,24277.0,21637.0
BGC0002451.0,CP108038.region030,QGY73447.1,PRJNA747871_OHT53_40795,0.96,0.98,25434.0,24300.0
BGC0002451.0,CP108038.region030,QGY73448.1,PRJNA747871_OHT53_40790,0.9,0.94,28976.0,25499.0
BGC0002451.0,CP108038.region030,QGY73449.1,PRJNA747871_OHT53_40785,0.89,0.92,43645.0,28972.0
BGC0002451.0,CP108038.region030,QGY73450.1,PRJNA747871_OHT53_40780,0.94,0.96,44864.0,43760.0
BGC0002451.0,CP108038.region030,QGY73451.1,PRJNA747871_OHT53_40775,0.9,0.94,45660.0,44919.0
BGC0002451.0,CP108038.region030,QGY73452.1,PRJNA747871_OHT53_40770,0.79,0.79,47312.0,45923.0
BGC0002451.0,CP108038.region030,QGY73453.1,PRJNA747871_OHT53_40765,0.88,0.92,56626.0,47602.0
BGC0002451.0,CP108038.region030,QGY73454.1,PRJNA747871_OHT53_40760,0.82,0.86,65389.0,56641.0
BGC0002451.0,CP108039.region010,QGY73444.1,PRJNA747871_OHT51_04685,0.9,0.93,3321.0,0.0
BGC0002451.0,CP108039.region010,QGY73445.1,PRJNA747871_OHT51_04690,0.88,0.91,21260.0,3317.0
BGC0002451.0,CP108039.region010,QGY73446.1,PRJNA747871_OHT51_04695,0.9,0.94,24277.0,21637.0
BGC0002451.0,CP108039.region010,QGY73447.1,PRJNA747871_OHT51_04700,0.97,0.98,25434.0,24300.0
BGC0002451.0,CP108039.region010,QGY73448.1,PRJNA747871_OHT51_04705,0.89,0.94,28976.0,25499.0
BGC0002451.0,CP108039.region010,QGY73449.1,PRJNA747871_OHT51_04710,0.88,0.92,43645.0,28972.0
BGC0002451.0,CP108039.region010,QGY73450.1,PRJNA747871_OHT51_04715,0.96,0.97,44864.0,43760.0
BGC0002451.0,CP108039.region010,QGY73451.1,PRJNA747871_OHT51_04720,0.91,0.96,45660.0,44919.0
BGC0002451.0,CP108039.region010,QGY73452.1,PRJNA747871_OHT51_04725,0.77,0.79,47312.0,45923.0
BGC0002451.0,CP108039.region010,QGY73453.1,PRJNA747871_OHT51_04730,0.89,0.93,56626.0,47602.0
BGC0002451.0,CP108039.region010,QGY73454.1,PRJNA747871_OHT51_04735,0.81,0.87,65389.0,56641.0
BGC0002451.0,NBC_00465_1.region004,QGY73444.1,PRJNA747871_OHB45_29920,1.0,1.00,3321.0,0.0
BGC0002451.0,NBC_00465_1.region004,QGY73445.1,PRJNA747871_OHB45_29915,0.98,0.98,21260.0,3317.0
BGC0002451.0,NBC_00465_1.region004,QGY73446.1,PRJNA747871_OHB45_29910,1.0,1.00,24277.0,21637.0
BGC0002451.0,NBC_00465_1.region004,QGY73447.1,PRJNA747871_OHB45_29905,1.0,1.00,25434.0,24300.0
BGC0002451.0,NBC_00465_1.region004,QGY73448.1,PRJNA747871_OHB45_29900,1.0,1.00,28976.0,25499.0
BGC0002451.0,NBC_00465_1.region004,QGY73449.1,PRJNA747871_OHB45_29895,1.0,1.00,43645.0,28972.0
BGC0002451.0,NBC_00465_1.region004,QGY73450.1,PRJNA747871_OHB45_29890,1.0,1.00,44864.0,43760.0
BGC0002451.0,NBC_00465_1.region004,QGY73451.1,PRJNA747871_OHB45_29885,1.0,1.00,45660.0,44919.0
BGC0002451.0,NBC_00465_1.region004,QGY73452.1,PRJNA747871_OHB45_29880,0.82,0.82,47312.0,45923.0
BGC0002451.0,NBC_00465_1.region004,QGY73453.1,PRJNA747871_OHB45_29875,1.0,1.00,56626.0,47602.0
BGC0002451.0,NBC_00465_1.region004,QGY73454.1,PRJNA747871_OHB45_29870,1.0,1.00,65389.0,56641.0
CP108038.region030,CP108039.region010,PRJNA747871_OHT53_40760,PRJNA747871_OHT51_04735,0.83,0.88,,
CP108038.region030,CP108039.region010,PRJNA747871_OHT53_40765,PRJNA747871_OHT51_04730,0.9,0.94,,
CP108038.region030,CP108039.region010,PRJNA747871_OHT53_40770,PRJNA747871_OHT51_04725,0.93,0.94,,
CP108038.region030,CP108039.region010,PRJNA747871_OHT53_40775,PRJNA747871_OHT51_04720,0.94,0.97,,
