seq_id,seq_id2,locus_tag,locus_tag2,identity,similarity,start,end,start2,end2
CP108849.region024,CP109126.region002,PRJNA747871_OG211_33880,PRJNA747871_OHA57_39155,0.79,0.87,,,,
CP108849.region024,CP109126.region002,PRJNA747871_OG211_33885,PRJNA747871_OHA57_39150,0.81,0.88,,,,
CP108849.region024,CP109126.region002,PRJNA747871_OG211_33895,PRJNA747871_OHA57_39140,0.85,0.93,,,,
CP108849.region024,CP109126.region002,PRJNA747871_OG211_33905,PRJNA747871_OHA57_39130,0.79,0.89,,,,
CP108849.region024,CP109126.region002,PRJNA747871_OG211_33910,PRJNA747871_OHA57_39125,0.74,0.84,,,,
CP108849.region024,CP109126.region002,PRJNA747871_OG211_33915,PRJNA747871_OHA57_39120,0.73,0.83,,,,
CP108849.region024,CP109126.region002,PRJNA747871_OG211_33940,PRJNA747871_OHA57_39095,0.74,0.82,,,,
CP108849.region024,CP109126.region002,PRJNA747871_OG211_33955,PRJNA747871_OHA57_39080,0.74,0.83,,,,
CP108849.region024,CP109126.region002,PRJNA747871_OG211_33960,PRJNA747871_OHA57_39075,0.76,0.84,,,,
CP108849.region024,CP109317.region027,PRJNA747871_OG211_33880,PRJNA747871_OH791_34130,0.8,0.88,,,,
CP108849.region024,CP109317.region027,PRJNA747871_OG211_33885,PRJNA747871_OH791_34135,0.81,0.88,,,,
CP108849.region024,CP109317.region027,PRJNA747871_OG211_33890,PRJNA747871_OH791_34140,0.7,0.88,,,,
CP108849.region024,CP109317.region027,PRJNA747871_OG211_33895,PRJNA747871_OH791_34145,0.85,0.93,,,,
CP108849.region024,CP109317.region027,PRJNA747871_OG211_33905,PRJNA747871_OH791_34155,0.78,0.89,,,,
CP108849.region024,CP109317.region027,PRJNA747871_OG211_33910,PRJNA747871_OH791_34160,0.75,0.85,,,,
CP108849.region024,CP109317.region027,PRJNA747871_OG211_33915,PRJNA747871_OH791_34165,0.73,0.83,,,,
CP108849.region024,CP109317.region027,PRJNA747871_OG211_33940,PRJNA747871_OH791_34190,0.74,0.84,,,,
CP108849.region024,CP109317.region027,PRJNA747871_OG211_33945,PRJNA747871_OH791_34195,0.7,0.80,,,,
CP108849.region024,CP109317.region027,PRJNA747871_OG211_33955,PRJNA747871_OH791_34205,0.75,0.84,,,,
CP108849.region024,CP109317.region027,PRJNA747871_OG211_33960,PRJNA747871_OH791_34210,0.75,0.83,,,,
CP108849.region024,CP109368.region026,PRJNA747871_OG211_33880,PRJNA747871_OH828_33890,0.8,0.88,,,,
