CP108229.region001 vs CP108290.region005
----------------------------------------
Query                    Target                   Identity  Similarity
PRJNA747871_OG535_01170  PRJNA747871_OG286_38725  1.00      1.00      
PRJNA747871_OG535_01175  PRJNA747871_OG286_38720  1.00      1.00      
PRJNA747871_OG535_01180  PRJNA747871_OG286_38560  0.32      0.55      
PRJNA747871_OG535_01180  PRJNA747871_OG286_38715  1.00      1.00      
PRJNA747871_OG535_01185  PRJNA747871_OG286_38710  1.00      1.00      
OG535_01190              OG286_38705              0.95      0.95      
PRJNA747871_OG535_01195  PRJNA747871_OG286_38700  1.00      1.00      
PRJNA747871_OG535_01200  PRJNA747871_OG286_38695  1.00      1.00      
PRJNA747871_OG535_01205  PRJNA747871_OG286_38690  1.00      1.00      
PRJNA747871_OG535_01210  PRJNA747871_OG286_38685  1.00      1.00      
PRJNA747871_OG535_01215  PRJNA747871_OG286_38680  1.00      1.00      
PRJNA747871_OG535_01220  PRJNA747871_OG286_38675  1.00      1.00      
PRJNA747871_OG535_01225  PRJNA747871_OG286_38665  0.42      0.56      
PRJNA747871_OG535_01225  PRJNA747871_OG286_38670  1.00      1.00      
PRJNA747871_OG535_01230  PRJNA747871_OG286_38665  1.00      1.00      
PRJNA747871_OG535_01230  PRJNA747871_OG286_38670  0.42      0.56      
PRJNA747871_OG535_01235  PRJNA747871_OG286_38660  1.00      1.00      
PRJNA747871_OG535_01240  PRJNA747871_OG286_38655  1.00      1.00      
PRJNA747871_OG535_01245  PRJNA747871_OG286_38650  1.00      1.00      
PRJNA747871_OG535_01250  PRJNA747871_OG286_38590  0.49      0.63      
PRJNA747871_OG535_01250  PRJNA747871_OG286_38645  1.00      1.00      
PRJNA747871_OG535_01255  PRJNA747871_OG286_38640  1.00      1.00      
PRJNA747871_OG535_01260  PRJNA747871_OG286_38635  0.99      0.99      
PRJNA747871_OG535_01265  PRJNA747871_OG286_38630  0.99      1.00      
PRJNA747871_OG535_01270  PRJNA747871_OG286_38625  1.00      1.00      
PRJNA747871_OG535_01275  PRJNA747871_OG286_38620  1.00      1.00      
PRJNA747871_OG535_01280  PRJNA747871_OG286_38615  1.00      1.00      
PRJNA747871_OG535_01285  PRJNA747871_OG286_38610  1.00      1.00      
PRJNA747871_OG535_01290  PRJNA747871_OG286_38585  0.39      0.58      
PRJNA747871_OG535_01290  PRJNA747871_OG286_38605  1.00      1.00      
PRJNA747871_OG535_01295  PRJNA747871_OG286_38600  1.00      1.00      
PRJNA747871_OG535_01300  PRJNA747871_OG286_38595  1.00      1.00      
PRJNA747871_OG535_01305  PRJNA747871_OG286_38590  1.00      1.00      
PRJNA747871_OG535_01305  PRJNA747871_OG286_38645  0.49      0.63      
PRJNA747871_OG535_01310  PRJNA747871_OG286_38585  1.00      1.00      
PRJNA747871_OG535_01310  PRJNA747871_OG286_38605  0.39      0.58      
PRJNA747871_OG535_01315  PRJNA747871_OG286_38580  1.00      1.00      
PRJNA747871_OG535_01320  PRJNA747871_OG286_38575  1.00      1.00      
PRJNA747871_OG535_01325  PRJNA747871_OG286_38570  1.00      1.00      
PRJNA747871_OG535_01330  PRJNA747871_OG286_38565  1.00      1.00      
PRJNA747871_OG535_01335  PRJNA747871_OG286_38560  1.00      1.00      
PRJNA747871_OG535_01335  PRJNA747871_OG286_38715  0.33      0.54      
PRJNA747871_OG535_01340  PRJNA747871_OG286_38555  1.00      1.00      
PRJNA747871_OG535_01345  PRJNA747871_OG286_38550  1.00      1.00      
PRJNA747871_OG535_01350  PRJNA747871_OG286_38545  1.00      1.00      
PRJNA747871_OG535_01355  PRJNA747871_OG286_38540  1.00      1.00      
PRJNA747871_OG535_01360  PRJNA747871_OG286_38535  1.00      1.00      
PRJNA747871_OG535_01365  PRJNA747871_OG286_38530  1.00      1.00      
PRJNA747871_OG535_01370  PRJNA747871_OG286_38525  1.00      1.00      
PRJNA747871_OG535_01375  PRJNA747871_OG286_38520  1.00      1.00      
PRJNA747871_OG535_01380  PRJNA747871_OG286_38515  1.00      1.00      
