BGC0002385.0_reference vs CP108229.region028
--------------------------------------------
Query       Target                   Identity  Similarity
QZA73302.1  PRJNA747871_OG535_34380  0.68      0.81      
QZA73305.1  PRJNA747871_OG535_34295  0.68      0.77      
QZA73306.1  PRJNA747871_OG535_34300  0.65      0.75      
QZA73307.1  PRJNA747871_OG535_34315  0.44      0.50      
QZA73308.1  PRJNA747871_OG535_34320  0.64      0.73      
QZA73309.1  PRJNA747871_OG535_34325  0.68      0.78      
QZA73310.1  PRJNA747871_OG535_34330  0.74      0.82      
QZA73311.1  PRJNA747871_OG535_34335  0.72      0.80      
QZA73312.1  PRJNA747871_OG535_34340  0.87      0.92      
QZA73313.1  PRJNA747871_OG535_34345  0.76      0.83      
QZA73314.1  PRJNA747871_OG535_34350  0.79      0.88      
QZA73315.1  PRJNA747871_OG535_34355  0.74      0.81      
QZA73316.1  PRJNA747871_OG535_34360  0.79      0.85      
QZA73317.1  PRJNA747871_OG535_34365  0.74      0.84      
QZA73318.1  PRJNA747871_OG535_34370  0.78      0.86      

BGC0002385.0_reference vs CP108289.region008
--------------------------------------------
Query       Target                   Identity  Similarity
QZA73302.1  PRJNA747871_OG286_06275  0.68      0.81      
QZA73305.1  PRJNA747871_OG286_06350  0.68      0.77      
QZA73306.1  PRJNA747871_OG286_06345  0.65      0.75      
QZA73307.1  PRJNA747871_OG286_06340  0.67      0.76      
QZA73308.1  PRJNA747871_OG286_06335  0.64      0.73      
QZA73309.1  PRJNA747871_OG286_06330  0.68      0.78      
QZA73310.1  PRJNA747871_OG286_06325  0.74      0.82      
QZA73311.1  PRJNA747871_OG286_06320  0.72      0.80      
QZA73312.1  PRJNA747871_OG286_06315  0.87      0.92      
QZA73313.1  PRJNA747871_OG286_06310  0.76      0.83      
QZA73314.1  PRJNA747871_OG286_06305  0.79      0.88      
QZA73315.1  PRJNA747871_OG286_06300  0.74      0.81      
QZA73316.1  PRJNA747871_OG286_06295  0.79      0.85      
QZA73317.1  PRJNA747871_OG286_06290  0.74      0.84      
QZA73318.1  PRJNA747871_OG286_06285  0.78      0.86      

BGC0002385.0_reference vs CP108613.region027
--------------------------------------------
Query       Target                   Identity  Similarity
QZA73302.1  PRJNA747871_OG379_38905  0.80      0.87      
QZA73303.1  PRJNA747871_OG379_38915  0.89      0.93      
QZA73304.1  PRJNA747871_OG379_38920  0.76      0.85      
QZA73305.1  PRJNA747871_OG379_38925  0.82      0.87      
QZA73306.1  PRJNA747871_OG379_38930  0.79      0.86      
QZA73307.1  PRJNA747871_OG379_38935  0.72      0.78      
QZA73308.1  PRJNA747871_OG379_38940  0.79      0.86      
QZA73309.1  PRJNA747871_OG379_38945  0.80      0.86      
QZA73310.1  PRJNA747871_OG379_38950  0.84      0.88      
QZA73311.1  PRJNA747871_OG379_38955  0.82      0.87      
QZA73312.1  PRJNA747871_OG379_38960  0.92      0.96      
QZA73313.1  PRJNA747871_OG379_38965  0.81      0.88      
QZA73314.1  PRJNA747871_OG379_38970  0.93      0.96      
QZA73315.1  PRJNA747871_OG379_38975  0.88      0.94      
QZA73316.1  PRJNA747871_OG379_38980  0.88      0.92      
QZA73317.1  PRJNA747871_OG379_38985  0.78      0.88      
QZA73318.1  PRJNA747871_OG379_38990  0.89      0.93      
QZA73319.1  PRJNA747871_OG379_38995  0.72      0.79      

BGC0002385.0_reference vs NBC_00240_3.region020
-----------------------------------------------
Query       Target                   Identity  Similarity
QZA73302.1  PRJNA747871_OG689_34780  0.65      0.77      
QZA73305.1  PRJNA747871_OG689_34695  0.67      0.75      
QZA73306.1  PRJNA747871_OG689_34700  0.64      0.74      
QZA73307.1  PRJNA747871_OG689_34715  0.43      0.49      
QZA73308.1  PRJNA747871_OG689_34720  0.64      0.73      
QZA73309.1  PRJNA747871_OG689_34725  0.68      0.78      
QZA73310.1  PRJNA747871_OG689_34730  0.74      0.81      
QZA73311.1  PRJNA747871_OG689_34735  0.68      0.77      
QZA73312.1  PRJNA747871_OG689_34740  0.87      0.92      
QZA73313.1  PRJNA747871_OG689_34745  0.77      0.84      
QZA73314.1  PRJNA747871_OG689_34750  0.78      0.86      
QZA73315.1  PRJNA747871_OG689_34755  0.73      0.81      
QZA73316.1  PRJNA747871_OG689_34760  0.79      0.86      
QZA73317.1  PRJNA747871_OG689_34765  0.73      0.84      
QZA73318.1  PRJNA747871_OG689_34770  0.78      0.86      

CP108229.region028 vs CP108289.region008
----------------------------------------
Query                    Target                   Identity  Similarity
PRJNA747871_OG535_34215  PRJNA747871_OG286_06430  1.00      1.00      
PRJNA747871_OG535_34220  PRJNA747871_OG286_06425  1.00      1.00      
PRJNA747871_OG535_34225  PRJNA747871_OG286_06420  1.00      1.00      
PRJNA747871_OG535_34230  PRJNA747871_OG286_06415  1.00      1.00      
PRJNA747871_OG535_34235  PRJNA747871_OG286_06410  1.00      1.00      
PRJNA747871_OG535_34240  PRJNA747871_OG286_06405  1.00      1.00      
PRJNA747871_OG535_34245  PRJNA747871_OG286_06400  1.00      1.00      
PRJNA747871_OG535_34250  PRJNA747871_OG286_06395  1.00      1.00      
PRJNA747871_OG535_34255  PRJNA747871_OG286_06390  1.00      1.00      
PRJNA747871_OG535_34260  PRJNA747871_OG286_06385  1.00      1.00      
PRJNA747871_OG535_34265  PRJNA747871_OG286_06380  1.00      1.00      
PRJNA747871_OG535_34270  PRJNA747871_OG286_06375  1.00      1.00      
PRJNA747871_OG535_34275  PRJNA747871_OG286_06370  1.00      1.00      
PRJNA747871_OG535_34280  PRJNA747871_OG286_06365  1.00      1.00      
PRJNA747871_OG535_34285  PRJNA747871_OG286_06360  1.00      1.00      
PRJNA747871_OG535_34290  PRJNA747871_OG286_06355  1.00      1.00      
PRJNA747871_OG535_34295  PRJNA747871_OG286_06350  1.00      1.00      
PRJNA747871_OG535_34300  PRJNA747871_OG286_06345  1.00      1.00      
PRJNA747871_OG535_34315  PRJNA747871_OG286_06340  0.67      0.67      
PRJNA747871_OG535_34320  PRJNA747871_OG286_06335  1.00      1.00      
PRJNA747871_OG535_34325  PRJNA747871_OG286_06330  1.00      1.00      
PRJNA747871_OG535_34330  PRJNA747871_OG286_06325  1.00      1.00      
PRJNA747871_OG535_34335  PRJNA747871_OG286_06320  1.00      1.00      
PRJNA747871_OG535_34340  PRJNA747871_OG286_06315  1.00      1.00      
PRJNA747871_OG535_34345  PRJNA747871_OG286_06310  1.00      1.00      
PRJNA747871_OG535_34350  PRJNA747871_OG286_06305  1.00      1.00      
PRJNA747871_OG535_34355  PRJNA747871_OG286_06300  1.00      1.00      
PRJNA747871_OG535_34360  PRJNA747871_OG286_06295  1.00      1.00      
PRJNA747871_OG535_34365  PRJNA747871_OG286_06290  1.00      1.00      
PRJNA747871_OG535_34370  PRJNA747871_OG286_06285  1.00      1.00      
PRJNA747871_OG535_34375  PRJNA747871_OG286_06280  1.00      1.00      
PRJNA747871_OG535_34380  PRJNA747871_OG286_06275  1.00      1.00      
PRJNA747871_OG535_34385  PRJNA747871_OG286_06270  1.00      1.00      
PRJNA747871_OG535_34390  PRJNA747871_OG286_06265  1.00      1.00      
PRJNA747871_OG535_34395  PRJNA747871_OG286_06260  1.00      1.00      
PRJNA747871_OG535_34400  PRJNA747871_OG286_06255  1.00      1.00      
PRJNA747871_OG535_34405  PRJNA747871_OG286_06250  0.65      0.65      

CP108229.region028 vs CP108613.region027
----------------------------------------
Query                    Target                   Identity  Similarity
PRJNA747871_OG535_34255  PRJNA747871_OG379_38855  0.31      0.44      
PRJNA747871_OG535_34295  PRJNA747871_OG379_38925  0.69      0.77      
PRJNA747871_OG535_34300  PRJNA747871_OG379_38930  0.65      0.75      
PRJNA747871_OG535_34315  PRJNA747871_OG379_38935  0.41      0.46      
PRJNA747871_OG535_34320  PRJNA747871_OG379_38940  0.63      0.73      
PRJNA747871_OG535_34325  PRJNA747871_OG379_38945  0.68      0.78      
PRJNA747871_OG535_34330  PRJNA747871_OG379_38950  0.77      0.83      
PRJNA747871_OG535_34335  PRJNA747871_OG379_38955  0.71      0.80      
PRJNA747871_OG535_34340  PRJNA747871_OG379_38960  0.87      0.92      
PRJNA747871_OG535_34345  PRJNA747871_OG379_38965  0.72      0.81      
