seq_id,seq_id2,locus_tag,locus_tag2,identity,similarity,start,end,start2,end2
BGC0001070.0_reference,CP108514.region033,CAN89633.1,PRJNA747871_OG332_43820,0.7,0.79,20298.0,24951.0,,
BGC0001070.0_reference,CP108514.region033,CAN89637.1,PRJNA747871_OG332_43725,0.73,0.81,59960.0,60809.0,,
BGC0001070.0_reference,CP108514.region033,CAN89638.1,PRJNA747871_OG332_43730,0.72,0.80,60805.0,63907.0,,
BGC0001070.0_reference,CP108514.region033,CAN89639.1,PRJNA747871_OG332_43740,0.73,0.82,63930.0,67167.0,,
BGC0001070.0_reference,CP108514.region033,CAN89641.1,PRJNA747871_OG332_43755,0.78,0.87,68395.0,68815.0,,
BGC0001070.0_reference,CP108514.region033,CAN89642.1,PRJNA747871_OG332_43760,0.76,0.82,68846.0,69803.0,,
BGC0001070.0_reference,CP108514.region033,CAN89652.1,PRJNA747871_OG332_43795,0.7,0.79,76665.0,77061.0,,
BGC0001070.0_reference,CP108514.region033,CAN89653.1,PRJNA747871_OG332_43790,0.78,0.85,77119.0,78487.0,,
BGC0001070.0_reference,CP109199.region008,CAN89631.1,PRJNA747871_OG792_14835,0.76,0.83,1141.0,7123.0,,
BGC0001070.0_reference,CP109199.region008,CAN89632.1,PRJNA747871_OG792_14840,0.73,0.81,7147.0,20302.0,,
BGC0001070.0_reference,CP109199.region008,CAN89633.1,PRJNA747871_OG792_14845,0.79,0.86,20298.0,24951.0,,
BGC0001070.0_reference,CP109199.region008,CAN89634.1,PRJNA747871_OG792_14850,0.76,0.83,24950.0,44147.0,,
BGC0001070.0_reference,CP109199.region008,CAN89635.1,PRJNA747871_OG792_14855,0.73,0.82,44167.0,51028.0,,
BGC0001070.0_reference,CP109199.region008,CAN89636.1,PRJNA747871_OG792_14860,0.75,0.82,51024.0,59721.0,,
BGC0001070.0_reference,CP109199.region008,CAN89637.1,PRJNA747871_OG792_14865,0.83,0.89,59960.0,60809.0,,
BGC0001070.0_reference,CP109199.region008,CAN89638.1,PRJNA747871_OG792_14870,0.78,0.86,60805.0,63907.0,,
BGC0001070.0_reference,CP109199.region008,CAN89639.1,PRJNA747871_OG792_14880,0.79,0.86,63930.0,67167.0,,
BGC0001070.0_reference,CP109199.region008,CAN89640.1,PRJNA747871_OG792_14885,0.77,0.86,67181.0,68381.0,,
BGC0001070.0_reference,CP109199.region008,CAN89641.1,PRJNA747871_OG792_14890,0.83,0.92,68395.0,68815.0,,
BGC0001070.0_reference,CP109199.region008,CAN89642.1,PRJNA747871_OG792_14895,0.82,0.88,68846.0,69803.0,,
BGC0001070.0_reference,CP109199.region008,CAN89643.1,PRJNA747871_OG792_14900,0.75,0.83,69812.0,71150.0,,
BGC0001070.0_reference,CP109199.region008,CAN89650.1,PRJNA747871_OG792_14925,0.86,0.92,74628.0,75846.0,,
BGC0001070.0_reference,CP109199.region008,CAN89653.1,PRJNA747871_OG792_14930,0.82,0.89,77119.0,78487.0,,
BGC0001070.0_reference,CP109455.region036,CAN89633.1,PRJNA747871_OIU91_39005,0.7,0.78,20298.0,24951.0,,
BGC0001070.0_reference,CP109455.region036,CAN89637.1,PRJNA747871_OIU91_38920,0.75,0.82,59960.0,60809.0,,
BGC0001070.0_reference,CP109455.region036,CAN89638.1,PRJNA747871_OIU91_38925,0.72,0.80,60805.0,63907.0,,
BGC0001070.0_reference,CP109455.region036,CAN89639.1,PRJNA747871_OIU91_38935,0.72,0.81,63930.0,67167.0,,
BGC0001070.0_reference,CP109455.region036,CAN89641.1,PRJNA747871_OIU91_38950,0.78,0.87,68395.0,68815.0,,
BGC0001070.0_reference,CP109455.region036,CAN89642.1,PRJNA747871_OIU91_38955,0.75,0.82,68846.0,69803.0,,
BGC0001070.0_reference,CP109460.region032,CAN89633.1,PRJNA747871_OIU81_34890,0.7,0.78,20298.0,24951.0,,
BGC0001070.0_reference,CP109460.region032,CAN89637.1,PRJNA747871_OIU81_34805,0.75,0.82,59960.0,60809.0,,
BGC0001070.0_reference,CP109460.region032,CAN89638.1,PRJNA747871_OIU81_34810,0.72,0.80,60805.0,63907.0,,
BGC0001070.0_reference,CP109460.region032,CAN89639.1,PRJNA747871_OIU81_34820,0.72,0.81,63930.0,67167.0,,
