seq_id,seq_id2,locus_tag,locus_tag2,identity,similarity,start,end,start2,end2
BGC0002385.0_reference,CP108229.region028,QZA73310.1,PRJNA747871_OG535_34330,0.74,0.82,70261.0,71623.0,,
BGC0002385.0_reference,CP108229.region028,QZA73311.1,PRJNA747871_OG535_34335,0.72,0.80,71713.0,72805.0,,
BGC0002385.0_reference,CP108229.region028,QZA73312.1,PRJNA747871_OG535_34340,0.87,0.92,72846.0,74106.0,,
BGC0002385.0_reference,CP108229.region028,QZA73313.1,PRJNA747871_OG535_34345,0.76,0.83,74093.0,74879.0,,
BGC0002385.0_reference,CP108229.region028,QZA73314.1,PRJNA747871_OG535_34350,0.79,0.88,74881.0,75634.0,,
BGC0002385.0_reference,CP108229.region028,QZA73315.1,PRJNA747871_OG535_34355,0.74,0.81,75638.0,75884.0,,
BGC0002385.0_reference,CP108229.region028,QZA73316.1,PRJNA747871_OG535_34360,0.79,0.85,75864.0,77112.0,,
BGC0002385.0_reference,CP108229.region028,QZA73317.1,PRJNA747871_OG535_34365,0.74,0.84,77161.0,78127.0,,
BGC0002385.0_reference,CP108229.region028,QZA73318.1,PRJNA747871_OG535_34370,0.78,0.86,78161.0,79025.0,,
BGC0002385.0_reference,CP108289.region008,QZA73310.1,PRJNA747871_OG286_06325,0.74,0.82,70261.0,71623.0,,
BGC0002385.0_reference,CP108289.region008,QZA73311.1,PRJNA747871_OG286_06320,0.72,0.80,71713.0,72805.0,,
BGC0002385.0_reference,CP108289.region008,QZA73312.1,PRJNA747871_OG286_06315,0.87,0.92,72846.0,74106.0,,
BGC0002385.0_reference,CP108289.region008,QZA73313.1,PRJNA747871_OG286_06310,0.76,0.83,74093.0,74879.0,,
BGC0002385.0_reference,CP108289.region008,QZA73314.1,PRJNA747871_OG286_06305,0.79,0.88,74881.0,75634.0,,
BGC0002385.0_reference,CP108289.region008,QZA73315.1,PRJNA747871_OG286_06300,0.74,0.81,75638.0,75884.0,,
BGC0002385.0_reference,CP108289.region008,QZA73316.1,PRJNA747871_OG286_06295,0.79,0.85,75864.0,77112.0,,
BGC0002385.0_reference,CP108289.region008,QZA73317.1,PRJNA747871_OG286_06290,0.74,0.84,77161.0,78127.0,,
BGC0002385.0_reference,CP108289.region008,QZA73318.1,PRJNA747871_OG286_06285,0.78,0.86,78161.0,79025.0,,
BGC0002385.0_reference,CP108613.region027,QZA73302.1,PRJNA747871_OG379_38905,0.8,0.87,3359.0,2684.0,,
BGC0002385.0_reference,CP108613.region027,QZA73303.1,PRJNA747871_OG379_38915,0.89,0.93,4946.0,3716.0,,
BGC0002385.0_reference,CP108613.region027,QZA73304.1,PRJNA747871_OG379_38920,0.76,0.85,5655.0,6039.0,,
BGC0002385.0_reference,CP108613.region027,QZA73305.1,PRJNA747871_OG379_38925,0.82,0.87,6581.0,29939.0,,
BGC0002385.0_reference,CP108613.region027,QZA73306.1,PRJNA747871_OG379_38930,0.79,0.86,29941.0,43618.0,,
BGC0002385.0_reference,CP108613.region027,QZA73307.1,PRJNA747871_OG379_38935,0.72,0.78,43614.0,52080.0,,
BGC0002385.0_reference,CP108613.region027,QZA73308.1,PRJNA747871_OG379_38940,0.79,0.86,52072.0,61048.0,,
BGC0002385.0_reference,CP108613.region027,QZA73309.1,PRJNA747871_OG379_38945,0.8,0.86,61049.0,70265.0,,
BGC0002385.0_reference,CP108613.region027,QZA73310.1,PRJNA747871_OG379_38950,0.84,0.88,70261.0,71623.0,,
BGC0002385.0_reference,CP108613.region027,QZA73311.1,PRJNA747871_OG379_38955,0.82,0.87,71713.0,72805.0,,
BGC0002385.0_reference,CP108613.region027,QZA73312.1,PRJNA747871_OG379_38960,0.92,0.96,72846.0,74106.0,,
BGC0002385.0_reference,CP108613.region027,QZA73313.1,PRJNA747871_OG379_38965,0.81,0.88,74093.0,74879.0,,
BGC0002385.0_reference,CP108613.region027,QZA73314.1,PRJNA747871_OG379_38970,0.93,0.96,74881.0,75634.0,,
BGC0002385.0_reference,CP108613.region027,QZA73315.1,PRJNA747871_OG379_38975,0.88,0.94,75638.0,75884.0,,
BGC0002385.0_reference,CP108613.region027,QZA73316.1,PRJNA747871_OG379_38980,0.88,0.92,75864.0,77112.0,,
BGC0002385.0_reference,CP108613.region027,QZA73317.1,PRJNA747871_OG379_38985,0.78,0.88,77161.0,78127.0,,
BGC0002385.0_reference,CP108613.region027,QZA73318.1,PRJNA747871_OG379_38990,0.89,0.93,78161.0,79025.0,,
