seq_id,seq_id2,locus_tag,locus_tag2,identity,similarity,start,end,start2,end2
CP108849.region024,CP109483.region024,PRJNA747871_OG211_33840,PRJNA747871_OG275_33380,1.0,1.00,,,,
CP108849.region024,CP109483.region024,PRJNA747871_OG211_33845,PRJNA747871_OG275_33385,1.0,1.00,,,,
CP108849.region024,CP109483.region024,PRJNA747871_OG211_33850,PRJNA747871_OG275_33390,0.99,0.99,,,,
CP108849.region024,CP109483.region024,PRJNA747871_OG211_33855,PRJNA747871_OG275_33395,1.0,1.00,,,,
CP108849.region024,CP109483.region024,PRJNA747871_OG211_33865,PRJNA747871_OG275_33410,1.0,1.00,,,,
CP108849.region024,CP109483.region024,PRJNA747871_OG211_33870,PRJNA747871_OG275_33415,1.0,1.00,,,,
CP108849.region024,CP109483.region024,PRJNA747871_OG211_33875,PRJNA747871_OG275_33420,1.0,1.00,,,,
CP108849.region024,CP109483.region024,PRJNA747871_OG211_33880,PRJNA747871_OG275_33425,1.0,1.00,,,,
CP108849.region024,CP109483.region024,PRJNA747871_OG211_33885,PRJNA747871_OG275_33430,1.0,1.00,,,,
CP108849.region024,CP109483.region024,PRJNA747871_OG211_33890,PRJNA747871_OG275_33435,1.0,1.00,,,,
CP108849.region024,CP109483.region024,PRJNA747871_OG211_33895,PRJNA747871_OG275_33440,0.94,0.94,,,,
CP108849.region024,CP109483.region024,PRJNA747871_OG211_33900,PRJNA747871_OG275_33445,1.0,1.00,,,,
CP108849.region024,CP109483.region024,PRJNA747871_OG211_33905,PRJNA747871_OG275_33450,1.0,1.00,,,,
CP108849.region024,CP109483.region024,PRJNA747871_OG211_33910,PRJNA747871_OG275_33455,0.99,0.99,,,,
CP108849.region024,CP109483.region024,PRJNA747871_OG211_33915,PRJNA747871_OG275_33460,1.0,1.00,,,,
CP108849.region024,CP109483.region024,PRJNA747871_OG211_33920,PRJNA747871_OG275_33465,1.0,1.00,,,,
CP108849.region024,CP109483.region024,PRJNA747871_OG211_33925,PRJNA747871_OG275_33470,0.99,0.99,,,,
CP108849.region024,CP109483.region024,PRJNA747871_OG211_33930,PRJNA747871_OG275_33475,1.0,1.00,,,,
CP108849.region024,CP109483.region024,PRJNA747871_OG211_33935,PRJNA747871_OG275_33480,0.99,1.00,,,,
CP108849.region024,CP109483.region024,PRJNA747871_OG211_33940,PRJNA747871_OG275_33485,0.99,0.99,,,,
CP108849.region024,CP109483.region024,PRJNA747871_OG211_33945,PRJNA747871_OG275_33490,1.0,1.00,,,,
CP108849.region024,CP109483.region024,PRJNA747871_OG211_33950,PRJNA747871_OG275_33495,1.0,1.00,,,,
CP108849.region024,CP109483.region024,PRJNA747871_OG211_33955,PRJNA747871_OG275_33500,1.0,1.00,,,,
CP108849.region024,CP109483.region024,PRJNA747871_OG211_33960,PRJNA747871_OG275_33505,1.0,1.00,,,,
CP108849.region024,CP109483.region024,PRJNA747871_OG211_33965,PRJNA747871_OG275_33510,1.0,1.00,,,,
CP108849.region024,CP109483.region024,PRJNA747871_OG211_33970,PRJNA747871_OG275_33515,0.99,1.00,,,,
CP108849.region024,CP109483.region024,OG211_33980,OG275_33530,1.0,1.00,68638.0,67813.0,68578.0,67753.0
CP108849.region024,CP109483.region024,PRJNA747871_OG211_33985,PRJNA747871_OG275_33535,0.99,0.99,,,,
CP108849.region024,CP109483.region024,PRJNA747871_OG211_33990,PRJNA747871_OG275_33540,1.0,1.00,,,,
CP108849.region024,CP109483.region024,PRJNA747871_OG211_33995,PRJNA747871_OG275_33545,0.99,0.99,,,,
CP108849.region024,CP109483.region024,PRJNA747871_OG211_34000,PRJNA747871_OG275_33550,1.0,1.00,,,,
CP108849.region024,CP109483.region024,PRJNA747871_OG211_34010,PRJNA747871_OG275_33560,1.0,1.00,,,,
CP108849.region024,CP109483.region024,PRJNA747871_OG211_34015,PRJNA747871_OG275_33565,0.99,1.00,,,,
CP108849.region024,CP109483.region024,PRJNA747871_OG211_34020,PRJNA747871_OG275_33570,0.82,0.82,,,,
CP108849.region024,CP109483.region024,PRJNA747871_OG211_34030,PRJNA747871_OG275_33575,0.99,0.99,,,,
CP108849.region024,CP109483.region024,PRJNA747871_OG211_34035,PRJNA747871_OG275_33580,1.0,1.00,,,,
CP108849.region024,CP109483.region024,PRJNA747871_OG211_34040,PRJNA747871_OG275_33585,0.98,0.98,,,,
CP108849.region024,CP109483.region024,PRJNA747871_OG211_34045,PRJNA747871_OG275_33590,0.98,0.99,,,,
CP108849.region024,CP109483.region024,PRJNA747871_OG211_34050,PRJNA747871_OG275_33595,0.98,0.99,,,,
CP108849.region024,CP109483.region024,PRJNA747871_OG211_34055,PRJNA747871_OG275_33600,0.95,0.95,,,,
