seq_id,seq_id2,locus_tag,locus_tag2,identity,similarity,start,end
BGC0001823.0_reference,CP108057.region022,ATY69607.1,PRJNA747871_OHU17_32035,0.99,0.99,4324.0,5209.0
BGC0001823.0_reference,CP108057.region022,ATY69606.1,PRJNA747871_OHU17_32040,1.0,1.00,6073.0,5413.0
BGC0001823.0_reference,CP108057.region022,ATY69605.1,PRJNA747871_OHU17_32045,0.99,0.99,6800.0,6227.0
BGC0001823.0_reference,CP108057.region022,ATY69604.1,PRJNA747871_OHU17_32050,0.97,0.97,7569.0,6813.0
BGC0001823.0_reference,CP108057.region022,ATY69603.1,PRJNA747871_OHU17_32055,0.97,0.97,7808.0,9005.0
BGC0001823.0_reference,CP108057.region022,ATY69602.1,PRJNA747871_OHU17_32060,0.99,0.99,8995.0,9802.0
BGC0001823.0_reference,CP108057.region022,ATY69601.1,PRJNA747871_OHU17_32065,1.0,1.00,9806.0,10679.0
BGC0001823.0_reference,CP108057.region022,ATY69600.1,PRJNA747871_OHU17_32070,0.97,0.97,10741.0,17185.0
BGC0001823.0_reference,CP108057.region022,ATY69599.1,PRJNA747871_OHU17_32075,1.0,1.00,17464.0,19030.0
BGC0001823.0_reference,CP108057.region022,ATY69598.1,PRJNA747871_OHU17_32080,0.94,0.94,19168.0,19975.0
BGC0001823.0_reference,CP108057.region022,ATY69597.1,PRJNA747871_OHU17_32085,0.99,1.00,19979.0,22301.0
BGC0001823.0_reference,CP108057.region022,ATY69596.1,PRJNA747871_OHU17_32090,1.0,1.00,22405.0,23314.0
BGC0001823.0_reference,CP108057.region022,ATY69595.1,PRJNA747871_OHU17_32095,1.0,1.00,23761.0,23395.0
BGC0001823.0_reference,CP108057.region022,ATY69594.1,PRJNA747871_OHU17_32100,1.0,1.00,23927.0,24638.0
BGC0001823.0_reference,CP108057.region022,ATY69593.1,PRJNA747871_OHU17_32105,1.0,1.00,25447.0,24697.0
