BGC0001101.0_reference vs CP109486.region003
--------------------------------------------
Query       Target                   Identity  Similarity
AAN85481.1  PRJNA747871_OG574_51755  0.98      0.99      
AAN85483.1  PRJNA747871_OG574_51765  0.97      0.98      
AAN85484.1  PRJNA747871_OG574_51770  0.99      0.99      
AAN85485.1  PRJNA747871_OG574_51775  0.98      0.98      
AAN85486.1  PRJNA747871_OG574_51785  0.98      0.99      
AAN85487.1  PRJNA747871_OG574_51790  0.96      0.96      
AAN85487.1  PRJNA747871_OG574_52470  0.37      0.60      
AAN85488.1  PRJNA747871_OG574_51800  0.98      0.98      
AAN85489.1  PRJNA747871_OG574_51805  0.99      1.00      
AAN85490.1  PRJNA747871_OG574_51810  0.99      0.99      
AAN85491.1  PRJNA747871_OG574_51815  0.99      0.99      
AAN85492.1  PRJNA747871_OG574_51820  1.00      1.00      
AAN85492.1  PRJNA747871_OG574_52180  0.48      0.66      
AAN85493.1  PRJNA747871_OG574_51825  0.99      0.99      
AAN85493.1  PRJNA747871_OG574_51885  0.43      0.59      
AAN85494.1  PRJNA747871_OG574_51830  1.00      1.00      
AAN85494.1  PRJNA747871_OG574_51835  0.48      0.61      
AAN85495.1  PRJNA747871_OG574_51830  0.47      0.61      
AAN85495.1  PRJNA747871_OG574_51835  1.00      1.00      
AAN85496.1  PRJNA747871_OG574_51840  0.99      0.99      
AAN85497.1  PRJNA747871_OG574_51845  0.99      1.00      
AAN85498.1  PRJNA747871_OG574_51850  0.98      0.98      
AAN85499.1  PRJNA747871_OG574_51875  0.98      0.99      
AAN85500.1  PRJNA747871_OG574_51880  0.99      0.99      
AAN85501.1  PRJNA747871_OG574_51825  0.43      0.59      
AAN85501.1  PRJNA747871_OG574_51885  0.98      0.99      
AAN85502.1  PRJNA747871_OG574_51890  0.91      0.91      
AAN85503.1  PRJNA747871_OG574_51895  0.97      0.98      
AAN85504.1  PRJNA747871_OG574_51900  0.99      0.99      
AAN85504.1  PRJNA747871_OG574_52025  0.32      0.44      
AAN85504.1  PRJNA747871_OG574_52100  0.32      0.41      
AAN85504.1  PRJNA747871_OG574_52185  0.31      0.49      
AAN85504.1  PRJNA747871_OG574_52290  0.31      0.42      
AAN85505.1  PRJNA747871_OG574_51905  1.00      1.00      
AAN85505.1  PRJNA747871_OG574_52235  0.33      0.48      
AAN85506.1  PRJNA747871_OG574_51910  0.98      0.98      
AAN85507.1  PRJNA747871_OG574_51915  1.00      1.00      
AAN85508.1  PRJNA747871_OG574_51920  1.00      1.00      
AAN85509.1  PRJNA747871_OG574_51925  0.99      0.99      
AAN85510.1  PRJNA747871_OG574_51930  0.99      1.00      
AAN85511.1  PRJNA747871_OG574_51935  0.99      0.99      
AAN85512.1  PRJNA747871_OG574_51940  0.98      0.99      
AAN85513.1  PRJNA747871_OG574_51945  0.98      0.99      
AAN85514.1  PRJNA747871_OG574_51950  1.00      1.00      
AAN85514.1  PRJNA747871_OG574_52085  0.44      0.60      
AAN85514.1  PRJNA747871_OG574_52415  0.33      0.49      
AAN85515.1  PRJNA747871_OG574_51955  0.99      0.99      
AAN85516.1  PRJNA747871_OG574_51960  1.00      1.00      
AAN85517.1  PRJNA747871_OG574_51965  0.98      0.99      
AAN85518.1  PRJNA747871_OG574_51975  1.00      1.00      
AAN85518.1  PRJNA747871_OG574_51990  0.34      0.46      
AAN85519.1  PRJNA747871_OG574_51980  1.00      1.00      
AAN85519.1  PRJNA747871_OG574_52355  0.40      0.57      
AAN85520.1  PRJNA747871_OG574_51985  0.99      0.99      
AAN85521.1  PRJNA747871_OG574_51975  0.34      0.46      
AAN85521.1  PRJNA747871_OG574_51990  1.00      1.00      
AAN85522.1  PRJNA747871_OG574_51995  0.98      0.98      
AAN85523.1  PRJNA747871_OG574_52000  0.98      0.98      
AAN85524.1  PRJNA747871_OG574_52010  0.98      0.99      
AAN85525.1  PRJNA747871_OG574_52015  0.98      0.98      
AAN85526.1  PRJNA747871_OG574_52020  1.00      1.00      
AAN85526.1  PRJNA747871_OG574_52360  0.45      0.61      
AAN85527.1  PRJNA747871_OG574_51900  0.33      0.44      
AAN85527.1  PRJNA747871_OG574_52025  0.98      0.99      
AAN85527.1  PRJNA747871_OG574_52100  0.31      0.44      
AAN85527.1  PRJNA747871_OG574_52185  0.37      0.49      
AAN85527.1  PRJNA747871_OG574_52290  0.32      0.45      
AAN85527.1  PRJNA747871_OG574_52310  0.32      0.45      
AAN85528.1  PRJNA747871_OG574_52030  1.00      1.00      
AAN85529.1  PRJNA747871_OG574_52035  0.99      0.99      
AAN85530.1  PRJNA747871_OG574_52040  1.00      1.00      
AAN85531.1  PRJNA747871_OG574_52045  0.98      0.99      
AAN85532.1  PRJNA747871_OG574_52050  0.96      0.97      
AAN85533.1  PRJNA747871_OG574_52055  0.99      0.99      
AAN85534.1  PRJNA747871_OG574_52060  0.99      1.00      
AAN85535.1  PRJNA747871_OG574_52065  0.98      1.00      
AAN85536.1  PRJNA747871_OG574_52070  0.99      0.99      
AAN85537.1  PRJNA747871_OG574_52075  1.00      1.00      
AAN85538.1  PRJNA747871_OG574_52080  0.99      1.00      
AAN85539.1  PRJNA747871_OG574_51950  0.44      0.60      
AAN85539.1  PRJNA747871_OG574_52085  1.00      1.00      
AAN85540.1  PRJNA747871_OG574_52090  0.99      0.99      
AAN85541.1  PRJNA747871_OG574_52095  0.89      0.89      
AAN85542.1  PRJNA747871_OG574_52025  0.31      0.45      
AAN85542.1  PRJNA747871_OG574_52100  0.90      0.91      
AAN85542.1  PRJNA747871_OG574_52290  0.30      0.43      
AAN85543.1  OG574_52105              0.83      0.83      
AAN85544.1  PRJNA747871_OG574_52110  0.97      0.98      
AAN85545.1  PRJNA747871_OG574_52115  0.98      0.99      
AAN85545.1  PRJNA747871_OG574_52125  0.32      0.46      
AAN85546.1  PRJNA747871_OG574_52120  0.87      0.87      
AAN85547.1  PRJNA747871_OG574_52115  0.32      0.46      
AAN85547.1  PRJNA747871_OG574_52125  1.00      1.00      
AAN85548.1  PRJNA747871_OG574_52130  1.00      1.00      
AAN85549.1  PRJNA747871_OG574_52135  0.99      0.99      

BGC0001101.0_reference vs CP109590.region001
--------------------------------------------
Query       Target                   Identity  Similarity
AAN85487.1  PRJNA747871_OG467_49500  0.37      0.60      
AAN85488.1  PRJNA747871_OG467_50150  0.98      0.99      
AAN85489.1  PRJNA747871_OG467_50120  0.99      0.99      
AAN85490.1  PRJNA747871_OG467_50115  0.99      0.99      
AAN85491.1  PRJNA747871_OG467_50110  0.98      0.99      
AAN85492.1  PRJNA747871_OG467_49765  0.48      0.66      
AAN85492.1  PRJNA747871_OG467_50105  1.00      1.00      
