seq_id,seq_id2,locus_tag,locus_tag2,identity,similarity,start,end,start2,end2
BGC0001116.0_reference,CP107872.region001,BAF50711.1,PRJNA747871_OG624_41530,0.99,0.99,9204.0,1188.0,,
BGC0001116.0_reference,CP107872.region001,BAF50712.1,PRJNA747871_OG624_41535,1.0,1.00,10102.0,9268.0,,
BGC0001116.0_reference,CP107872.region001,BAF50713.1,PRJNA747871_OG624_41545,0.91,0.91,10671.0,11892.0,,
BGC0001116.0_reference,CP107872.region001,BAF50714.1,PRJNA747871_OG624_41550,0.88,0.88,11845.0,13153.0,,
BGC0001116.0_reference,CP107872.region001,BAF50715.1,PRJNA747871_OG624_41555,1.0,1.00,13203.0,14193.0,,
BGC0001116.0_reference,CP107872.region001,BAF50716.2,PRJNA747871_OG624_41560,1.0,1.00,15922.0,14248.0,,
BGC0001116.0_reference,CP107872.region001,BAF50717.1,PRJNA747871_OG624_41565,1.0,1.00,16827.0,15918.0,,
BGC0001116.0_reference,CP107872.region001,BAF50718.1,PRJNA747871_OG624_41570,1.0,1.00,17627.0,16823.0,,
BGC0001116.0_reference,CP107872.region001,BAF50719.1,PRJNA747871_OG624_41575,1.0,1.00,18547.0,17659.0,,
BGC0001116.0_reference,CP107872.region001,BAF50720.1,PRJNA747871_OG624_41580,1.0,1.00,26345.0,18575.0,,
BGC0001116.0_reference,CP107872.region001,BAF50723.1,PRJNA747871_OG624_41590,0.95,0.95,33366.0,32613.0,,
BGC0001116.0_reference,CP107872.region001,BAF50724.1,PRJNA747871_OG624_41595,0.98,0.98,34142.0,33401.0,,
BGC0001116.0_reference,CP107872.region001,BAF50725.1,PRJNA747871_OG624_41600,1.0,1.00,35410.0,34156.0,,
BGC0001116.0_reference,CP107872.region001,BAF50726.1,PRJNA747871_OG624_41605,1.0,1.00,36769.0,35428.0,,
BGC0001116.0_reference,CP108424.region001,BAF50711.1,PRJNA747871_OG534_37675,0.94,0.95,9204.0,1188.0,,
BGC0001116.0_reference,CP108424.region001,BAF50712.1,PRJNA747871_OG534_37680,0.93,0.94,10102.0,9268.0,,
BGC0001116.0_reference,CP108424.region001,BAF50713.1,PRJNA747871_OG534_37690,0.87,0.88,10671.0,11892.0,,
BGC0001116.0_reference,CP108424.region001,BAF50714.1,PRJNA747871_OG534_37695,0.85,0.86,11845.0,13153.0,,
BGC0001116.0_reference,CP108424.region001,BAF50715.1,PRJNA747871_OG534_37700,0.97,0.98,13203.0,14193.0,,
BGC0001116.0_reference,CP108424.region001,BAF50716.2,PRJNA747871_OG534_37705,0.96,0.97,15922.0,14248.0,,
BGC0001116.0_reference,CP108424.region001,BAF50717.1,PRJNA747871_OG534_37710,0.94,0.97,16827.0,15918.0,,
BGC0001116.0_reference,CP108424.region001,BAF50718.1,PRJNA747871_OG534_37715,0.94,0.97,17627.0,16823.0,,
BGC0001116.0_reference,CP108424.region001,BAF50719.1,PRJNA747871_OG534_37720,0.99,1.00,18547.0,17659.0,,
BGC0001116.0_reference,CP108424.region001,BAF50720.1,PRJNA747871_OG534_37725,0.94,0.96,26345.0,18575.0,,
BGC0001116.0_reference,CP108424.region001,BAF50723.1,PRJNA747871_OG534_37735,0.9,0.92,33366.0,32613.0,,
BGC0001116.0_reference,CP108424.region001,BAF50724.1,PRJNA747871_OG534_37740,0.93,0.95,34142.0,33401.0,,
BGC0001116.0_reference,CP108424.region001,BAF50725.1,PRJNA747871_OG534_37745,0.98,0.99,35410.0,34156.0,,
BGC0001116.0_reference,CP108424.region001,BAF50726.1,PRJNA747871_OG534_37750,0.95,0.97,36769.0,35428.0,,
BGC0001116.0_reference,NBC_01458_8.region001,BAF50719.1,PRJNA747871_OG359_35400,0.72,0.79,18547.0,17659.0,,
BGC0001116.0_reference,NBC_01458_8.region001,BAF50723.1,PRJNA747871_OG359_35415,0.7,0.80,33366.0,32613.0,,
BGC0001116.0_reference,NBC_01458_8.region001,BAF50725.1,PRJNA747871_OG359_35425,0.87,0.91,35410.0,34156.0,,
BGC0001116.0_reference,NBC_01458_8.region001,BAF50726.1,PRJNA747871_OG359_35430,0.73,0.78,36769.0,35428.0,,
BGC0001116.0_reference,NBC_01548_4.region001,BAF50719.1,PRJNA747871_OOK48_34010,0.72,0.79,18547.0,17659.0,,
BGC0001116.0_reference,NBC_01548_4.region001,BAF50723.1,PRJNA747871_OOK48_33995,0.7,0.80,33366.0,32613.0,,
BGC0001116.0_reference,NBC_01548_4.region001,BAF50725.1,PRJNA747871_OOK48_33985,0.87,0.91,35410.0,34156.0,,
BGC0001116.0_reference,NBC_01548_4.region001,BAF50726.1,PRJNA747871_OOK48_33980,0.72,0.78,36769.0,35428.0,,
CP107872.region001,CP108424.region001,PRJNA747871_OG624_41445,PRJNA747871_OG534_37590,0.95,0.98,,,,
CP107872.region001,CP108424.region001,PRJNA747871_OG624_41450,PRJNA747871_OG534_37595,0.96,0.99,,,,
CP107872.region001,CP108424.region001,PRJNA747871_OG624_41455,PRJNA747871_OG534_37600,0.92,0.93,,,,
CP107872.region001,CP108424.region001,PRJNA747871_OG624_41460,PRJNA747871_OG534_37605,0.97,0.98,,,,
CP107872.region001,CP108424.region001,PRJNA747871_OG624_41465,PRJNA747871_OG534_37610,0.98,0.98,,,,
CP107872.region001,CP108424.region001,PRJNA747871_OG624_41470,PRJNA747871_OG534_37615,0.98,0.99,,,,
