BGC0001116.0_reference vs CP107872.region001
--------------------------------------------
Query       Target                   Identity  Similarity
BAF50711.1  PRJNA747871_OG624_41530  0.99      0.99      
BAF50712.1  PRJNA747871_OG624_41535  1.00      1.00      
BAF50713.1  PRJNA747871_OG624_41545  0.91      0.91      
BAF50714.1  PRJNA747871_OG624_41550  0.88      0.88      
BAF50715.1  PRJNA747871_OG624_41555  1.00      1.00      
BAF50715.1  PRJNA747871_OG624_41635  0.32      0.45      
BAF50716.2  PRJNA747871_OG624_41560  1.00      1.00      
BAF50716.2  PRJNA747871_OG624_41640  0.32      0.48      
BAF50717.1  PRJNA747871_OG624_41565  1.00      1.00      
BAF50718.1  PRJNA747871_OG624_41505  0.34      0.54      
BAF50718.1  PRJNA747871_OG624_41570  1.00      1.00      
BAF50719.1  PRJNA747871_OG624_41575  1.00      1.00      
BAF50720.1  PRJNA747871_OG624_41580  1.00      1.00      
BAF50721.1  PRJNA747871_OG624_41585  0.59      0.59      
BAF50722.1  PRJNA747871_OG624_41585  0.36      0.36      
BAF50723.1  PRJNA747871_OG624_41590  0.95      0.95      
BAF50724.1  PRJNA747871_OG624_41595  0.98      0.98      
BAF50725.1  PRJNA747871_OG624_41600  1.00      1.00      
BAF50726.1  PRJNA747871_OG624_41605  1.00      1.00      
BAF50727.1  PRJNA747871_OG624_41615  0.34      0.34      
BAF50727.1  PRJNA747871_OG624_41620  0.60      0.60      

BGC0001116.0_reference vs CP108424.region001
--------------------------------------------
Query       Target                   Identity  Similarity
BAF50711.1  PRJNA747871_OG534_37675  0.94      0.95      
BAF50712.1  PRJNA747871_OG534_37680  0.93      0.94      
BAF50713.1  PRJNA747871_OG534_37690  0.87      0.88      
BAF50714.1  PRJNA747871_OG534_37695  0.85      0.86      
BAF50715.1  PRJNA747871_OG534_37700  0.97      0.98      
BAF50715.1  PRJNA747871_OG534_37780  0.32      0.45      
BAF50716.2  PRJNA747871_OG534_37705  0.96      0.97      
BAF50716.2  PRJNA747871_OG534_37785  0.33      0.48      
BAF50717.1  PRJNA747871_OG534_37710  0.94      0.97      
BAF50718.1  PRJNA747871_OG534_37650  0.34      0.52      
BAF50718.1  PRJNA747871_OG534_37715  0.94      0.97      
BAF50719.1  PRJNA747871_OG534_37720  0.99      1.00      
BAF50720.1  PRJNA747871_OG534_37725  0.94      0.96      
BAF50721.1  PRJNA747871_OG534_37730  0.55      0.56      
BAF50722.1  PRJNA747871_OG534_37730  0.35      0.36      
BAF50723.1  PRJNA747871_OG534_37735  0.90      0.92      
BAF50724.1  PRJNA747871_OG534_37740  0.93      0.95      
BAF50725.1  PRJNA747871_OG534_37745  0.98      0.99      
BAF50726.1  PRJNA747871_OG534_37750  0.95      0.97      
BAF50727.1  PRJNA747871_OG534_37760  0.32      0.33      
BAF50727.1  PRJNA747871_OG534_37765  0.56      0.57      

BGC0001116.0_reference vs NBC_01458_8.region001
-----------------------------------------------
Query       Target                   Identity  Similarity
BAF50711.1  PRJNA747871_OG359_34750  0.32      0.45      
BAF50711.1  PRJNA747871_OG359_34755  0.31      0.44      
BAF50711.1  PRJNA747871_OG359_35200  0.65      0.74      
BAF50712.1  PRJNA747871_OG359_35205  0.44      0.55      
BAF50713.1  PRJNA747871_OG359_35370  0.64      0.73      
BAF50714.1  PRJNA747871_OG359_35380  0.59      0.71      
BAF50715.1  PRJNA747871_OG359_34860  0.36      0.52      
BAF50715.1  PRJNA747871_OG359_35360  0.32      0.45      
BAF50715.1  PRJNA747871_OG359_35385  0.64      0.74      
BAF50715.1  PRJNA747871_OG359_35455  0.32      0.47      
BAF50716.2  PRJNA747871_OG359_34820  0.43      0.58      
BAF50716.2  PRJNA747871_OG359_34825  0.41      0.57      
BAF50717.1  PRJNA747871_OG359_35395  0.45      0.55      
BAF50718.1  PRJNA747871_OG359_35375  0.56      0.66      
BAF50719.1  PRJNA747871_OG359_35400  0.72      0.79      
BAF50720.1  PRJNA747871_OG359_35405  0.63      0.73      
BAF50721.1  PRJNA747871_OG359_35410  0.37      0.43      
BAF50723.1  PRJNA747871_OG359_35415  0.70      0.80      
BAF50724.1  PRJNA747871_OG359_35420  0.59      0.72      
BAF50725.1  PRJNA747871_OG359_35425  0.87      0.91      
BAF50726.1  PRJNA747871_OG359_35115  0.31      0.47      
BAF50726.1  PRJNA747871_OG359_35430  0.73      0.78      
BAF50727.1  PRJNA747871_OG359_35445  0.36      0.42      

BGC0001116.0_reference vs NBC_01548_4.region001
-----------------------------------------------
Query       Target                   Identity  Similarity
BAF50711.1  PRJNA747871_OOK48_34210  0.65      0.74      
BAF50711.1  PRJNA747871_OOK48_34630  0.31      0.44      
BAF50711.1  PRJNA747871_OOK48_34635  0.32      0.45      
BAF50712.1  PRJNA747871_OOK48_34205  0.44      0.55      
BAF50713.1  PRJNA747871_OOK48_34040  0.64      0.73      
BAF50714.1  PRJNA747871_OOK48_34030  0.59      0.71      
BAF50715.1  PRJNA747871_OOK48_33955  0.32      0.47      
BAF50715.1  PRJNA747871_OOK48_34025  0.64      0.74      
BAF50715.1  PRJNA747871_OOK48_34050  0.33      0.45      
BAF50715.1  PRJNA747871_OOK48_34520  0.35      0.52      
BAF50716.2  PRJNA747871_OOK48_34555  0.41      0.56      
BAF50716.2  PRJNA747871_OOK48_34560  0.44      0.58      
BAF50717.1  PRJNA747871_OOK48_34015  0.45      0.55      
BAF50718.1  PRJNA747871_OOK48_34035  0.56      0.66      
BAF50719.1  PRJNA747871_OOK48_34010  0.72      0.79      
