seq_id,seq_id2,locus_tag,locus_tag2,identity,similarity,start,end,start2,end2
BGC0000171.0_reference,CP108365.region001,CCC21122.1,PRJNA747871_OG585_01120,0.72,0.81,11169.0,13161.0,,
BGC0000171.0_reference,CP108365.region031,CCC21122.1,PRJNA747871_OG585_45800,0.72,0.81,11169.0,13161.0,,
BGC0000171.0_reference,CP108513.region027,CCC21122.1,PRJNA747871_OG289_47275,0.72,0.82,11169.0,13161.0,,
BGC0000171.0_reference,CP108826.region010,CCC21120.1,PRJNA747871_OG584_06825,0.72,0.82,9982.0,10867.0,,
BGC0000171.0_reference,CP108826.region010,CCC21122.1,PRJNA747871_OG584_06815,0.75,0.84,11169.0,13161.0,,
BGC0000171.0_reference,CP109475.region026,CCC21122.1,PRJNA747871_OG255_37590,0.71,0.80,11169.0,13161.0,,
BGC0000171.0_reference,CP109481.region007,CCC21122.1,PRJNA747871_OG568_58215,0.72,0.82,11169.0,13161.0,,
BGC0000171.0_reference,NBC_00365_5.region001,CCC21122.1,PRJNA747871_OOK36_49410,0.72,0.82,11169.0,13161.0,,
BGC0000171.0_reference,NBC_01719_4.region029,CCC21122.1,PRJNA747871_OOK55_44005,0.72,0.81,11169.0,13161.0,,
BGC0000171.0_reference,NBC_01728_4.region034,CCC21122.1,PRJNA747871_OOK58_50405,0.72,0.81,11169.0,13161.0,,
CP108365.region001,CP108365.region031,PRJNA747871_OG585_01010,PRJNA747871_OG585_45910,1.0,1.00,,,,
CP108365.region001,CP108365.region031,OG585_01015,OG585_45905,1.0,1.00,405.0,354.0,63370.0,63421.0
CP108365.region001,CP108365.region031,PRJNA747871_OG585_01020,PRJNA747871_OG585_45900,1.0,1.00,,,,
CP108365.region001,CP108365.region031,OG585_01025,OG585_45895,1.0,1.00,1552.0,2569.0,62223.0,61206.0
CP108365.region001,CP108365.region031,OG585_01030,OG585_45890,1.0,1.00,3164.0,2999.0,60611.0,60776.0
CP108365.region001,CP108365.region031,OG585_01035,OG585_45885,1.0,1.00,3544.0,3332.0,60231.0,60443.0
CP108365.region001,CP108365.region031,PRJNA747871_OG585_01040,PRJNA747871_OG585_45880,1.0,1.00,,,,
CP108365.region001,CP108365.region031,PRJNA747871_OG585_01045,PRJNA747871_OG585_45875,1.0,1.00,,,,
CP108365.region001,CP108365.region031,PRJNA747871_OG585_01050,PRJNA747871_OG585_45870,1.0,1.00,,,,
CP108365.region001,CP108365.region031,PRJNA747871_OG585_01055,PRJNA747871_OG585_45865,1.0,1.00,,,,
CP108365.region001,CP108365.region031,PRJNA747871_OG585_01060,PRJNA747871_OG585_45860,1.0,1.00,,,,
CP108365.region001,CP108365.region031,PRJNA747871_OG585_01065,PRJNA747871_OG585_45855,1.0,1.00,,,,
CP108365.region001,CP108365.region031,PRJNA747871_OG585_01070,PRJNA747871_OG585_45850,1.0,1.00,,,,
CP108365.region001,CP108365.region031,PRJNA747871_OG585_01075,PRJNA747871_OG585_45845,1.0,1.00,,,,
CP108365.region001,CP108365.region031,PRJNA747871_OG585_01080,PRJNA747871_OG585_45840,1.0,1.00,,,,
CP108365.region001,CP108365.region031,OG585_01085,OG585_45835,1.0,1.00,14257.0,13853.0,49518.0,49922.0
CP108365.region001,CP108365.region031,PRJNA747871_OG585_01090,PRJNA747871_OG585_45830,1.0,1.00,,,,
CP108365.region001,CP108365.region031,PRJNA747871_OG585_01095,PRJNA747871_OG585_45825,1.0,1.00,,,,
CP108365.region001,CP108365.region031,PRJNA747871_OG585_01100,PRJNA747871_OG585_45820,1.0,1.00,,,,
