BGC0001740.0_reference vs CP108404.region040
--------------------------------------------
Query       Target                   Identity  Similarity
BBA21067.1  PRJNA747871_OG294_36320  0.76      0.83      
BBA21068.1  PRJNA747871_OG294_36315  0.78      0.85      
BBA21069.1  PRJNA747871_OG294_36310  0.81      0.88      
BBA21070.1  PRJNA747871_OG294_36305  0.89      0.92      
BBA21071.1  PRJNA747871_OG294_36300  0.76      0.84      
BBA21072.1  PRJNA747871_OG294_36295  0.75      0.83      
BBA21073.1  PRJNA747871_OG294_36240  0.54      0.61      
BBA21074.1  PRJNA747871_OG294_36235  0.67      0.75      
BBA21075.1  PRJNA747871_OG294_36290  0.77      0.89      
BBA21076.1  PRJNA747871_OG294_36285  0.65      0.76      
BBA21077.1  PRJNA747871_OG294_36280  0.82      0.88      
BBA21078.1  PRJNA747871_OG294_36275  0.82      0.87      
BBA21079.1  PRJNA747871_OG294_36270  0.71      0.80      
BBA21080.1  PRJNA747871_OG294_36265  0.84      0.91      
BBA21082.1  PRJNA747871_OG294_36250  0.32      0.51      
BBA21082.1  PRJNA747871_OG294_36260  0.68      0.80      
BBA21083.1  PRJNA747871_OG294_36255  0.81      0.89      
BBA21084.1  PRJNA747871_OG294_36250  0.79      0.86      
BBA21084.1  PRJNA747871_OG294_36260  0.31      0.47      
BBA21085.1  PRJNA747871_OG294_36245  0.78      0.86      

BGC0001740.0_reference vs CP108476.region044
--------------------------------------------
Query       Target                   Identity  Similarity
BBA21067.1  PRJNA747871_OG500_34850  0.76      0.83      
BBA21068.1  PRJNA747871_OG500_34845  0.78      0.85      
BBA21069.1  PRJNA747871_OG500_34840  0.81      0.88      
BBA21070.1  PRJNA747871_OG500_34835  0.89      0.92      
BBA21071.1  PRJNA747871_OG500_34830  0.76      0.84      
BBA21072.1  PRJNA747871_OG500_34825  0.75      0.83      
BBA21073.1  PRJNA747871_OG500_34770  0.54      0.61      
BBA21074.1  PRJNA747871_OG500_34765  0.67      0.75      
BBA21075.1  PRJNA747871_OG500_34820  0.78      0.90      
BBA21076.1  PRJNA747871_OG500_34815  0.66      0.76      
BBA21077.1  PRJNA747871_OG500_34810  0.82      0.88      
BBA21078.1  PRJNA747871_OG500_34805  0.81      0.87      
BBA21079.1  PRJNA747871_OG500_34800  0.71      0.80      
BBA21080.1  PRJNA747871_OG500_34795  0.84      0.91      
BBA21082.1  PRJNA747871_OG500_34780  0.32      0.51      
BBA21082.1  PRJNA747871_OG500_34790  0.68      0.80      
BBA21083.1  PRJNA747871_OG500_34785  0.81      0.89      
BBA21084.1  PRJNA747871_OG500_34780  0.79      0.87      
BBA21084.1  PRJNA747871_OG500_34790  0.31      0.47      
BBA21085.1  PRJNA747871_OG500_34775  0.78      0.86      

CP108404.region040 vs CP108476.region044
----------------------------------------
Query                    Target                   Identity  Similarity
PRJNA747871_OG294_36190  PRJNA747871_OG500_34735  1.00      1.00      
PRJNA747871_OG294_36195  PRJNA747871_OG500_34740  0.96      0.96      
PRJNA747871_OG294_36200  PRJNA747871_OG500_34745  0.99      0.99      
PRJNA747871_OG294_36205  PRJNA747871_OG500_34730  0.35      0.50      
PRJNA747871_OG294_36205  PRJNA747871_OG500_34750  0.93      0.93      
PRJNA747871_OG294_36210  PRJNA747871_OG500_34755  0.99      0.99      
PRJNA747871_OG294_36215  PRJNA747871_OG500_34760  1.00      1.00      
PRJNA747871_OG294_36235  PRJNA747871_OG500_34765  0.98      0.99      
PRJNA747871_OG294_36240  PRJNA747871_OG500_34770  1.00      1.00      
PRJNA747871_OG294_36245  PRJNA747871_OG500_34775  1.00      1.00      
PRJNA747871_OG294_36250  PRJNA747871_OG500_34780  0.99      0.99      
PRJNA747871_OG294_36250  PRJNA747871_OG500_34790  0.31      0.48      
PRJNA747871_OG294_36255  PRJNA747871_OG500_34785  1.00      1.00      
PRJNA747871_OG294_36260  PRJNA747871_OG500_34780  0.31      0.47      
PRJNA747871_OG294_36260  PRJNA747871_OG500_34790  1.00      1.00      
PRJNA747871_OG294_36265  PRJNA747871_OG500_34795  1.00      1.00      
PRJNA747871_OG294_36270  PRJNA747871_OG500_34800  1.00      1.00      
PRJNA747871_OG294_36275  PRJNA747871_OG500_34805  0.99      0.99      
PRJNA747871_OG294_36280  PRJNA747871_OG500_34810  1.00      1.00      
PRJNA747871_OG294_36285  PRJNA747871_OG500_34815  1.00      1.00      
PRJNA747871_OG294_36290  PRJNA747871_OG500_34820  0.99      0.99      
PRJNA747871_OG294_36295  PRJNA747871_OG500_34825  0.99      0.99      
PRJNA747871_OG294_36300  PRJNA747871_OG500_34830  1.00      1.00      
PRJNA747871_OG294_36305  PRJNA747871_OG500_34835  1.00      1.00      
PRJNA747871_OG294_36310  PRJNA747871_OG500_34840  1.00      1.00      
PRJNA747871_OG294_36315  PRJNA747871_OG500_34845  0.99      0.99      
PRJNA747871_OG294_36320  PRJNA747871_OG500_34850  1.00      1.00      
PRJNA747871_OG294_36325  PRJNA747871_OG500_34855  1.00      1.00      
PRJNA747871_OG294_36355  PRJNA747871_OG500_34860  0.99      1.00      
PRJNA747871_OG294_36360  OG500_34865              0.48      0.48      
PRJNA747871_OG294_36365  PRJNA747871_OG500_34870  0.97      0.97      
PRJNA747871_OG294_36370  PRJNA747871_OG500_34875  0.99      0.99      
PRJNA747871_OG294_36375  PRJNA747871_OG500_34880  1.00      1.00      
PRJNA747871_OG294_36380  PRJNA747871_OG500_34885  0.90      0.91      
PRJNA747871_OG294_36385  PRJNA747871_OG500_34890  0.99      0.99      
PRJNA747871_OG294_36390  PRJNA747871_OG500_34895  1.00      1.00      
PRJNA747871_OG294_36395  PRJNA747871_OG500_34900  0.99      0.99      
PRJNA747871_OG294_36400  PRJNA747871_OG500_34905  1.00      1.00      
