BGC0000085.0_reference vs CP108530.region001
--------------------------------------------
Query       Target                   Identity  Similarity
BAC76483.1  PRJNA747871_OG609_45265  0.75      0.83      
BAC76483.1  PRJNA747871_OG609_45425  0.46      0.60      
BAC76483.1  PRJNA747871_OG609_45520  0.31      0.42      
BAC76484.1  PRJNA747871_OG609_45270  0.88      0.92      
BAC76484.1  PRJNA747871_OG609_45325  0.47      0.65      
BAC76485.2  PRJNA747871_OG609_45275  0.90      0.94      
BAC76486.1  PRJNA747871_OG609_45280  0.88      0.93      
BAC76487.1  PRJNA747871_OG609_45285  0.87      0.92      
BAC76488.1  PRJNA747871_OG609_45290  0.81      0.88      
BAC76489.1  PRJNA747871_OG609_45295  0.83      0.91      
BAC76489.1  PRJNA747871_OG609_45340  0.44      0.61      
BAC76490.1  PRJNA747871_OG609_45300  0.77      0.84      
BAC76491.1  PRJNA747871_OG609_45305  0.80      0.86      
BAC76491.1  PRJNA747871_OG609_45310  0.39      0.51      
BAC76491.1  PRJNA747871_OG609_45315  0.44      0.54      
BAC76492.1  PRJNA747871_OG609_45305  0.39      0.51      
BAC76492.1  PRJNA747871_OG609_45310  0.83      0.88      
BAC76492.1  PRJNA747871_OG609_45315  0.35      0.46      
BAC76493.1  PRJNA747871_OG609_45305  0.45      0.54      
BAC76493.1  PRJNA747871_OG609_45310  0.35      0.46      
BAC76493.1  PRJNA747871_OG609_45315  0.79      0.86      
BAC76494.2  PRJNA747871_OG609_45320  0.75      0.84      
BAC76495.1  PRJNA747871_OG609_45270  0.49      0.68      
BAC76495.1  PRJNA747871_OG609_45325  0.85      0.91      
BAC76496.1  PRJNA747871_OG609_45330  0.90      0.93      
BAC76497.1  PRJNA747871_OG609_45335  0.80      0.87      
BAC76498.1  PRJNA747871_OG609_45295  0.45      0.61      
BAC76498.1  PRJNA747871_OG609_45340  0.81      0.88      
BAC76499.1  PRJNA747871_OG609_45345  0.79      0.85      
BAC76500.2  PRJNA747871_OG609_45350  0.76      0.83      
BAC76501.1  PRJNA747871_OG609_45355  0.82      0.89      
BAC76502.1  PRJNA747871_OG609_45185  0.33      0.47      
BAC76502.1  PRJNA747871_OG609_45190  0.39      0.54      
BAC76502.1  PRJNA747871_OG609_45360  0.84      0.90      
BAC76503.1  PRJNA747871_OG609_45365  0.80      0.82      
BAC76504.1  PRJNA747871_OG609_45370  0.86      0.91      
BAC76505.1  PRJNA747871_OG609_45375  0.88      0.92      
BAC76506.1  PRJNA747871_OG609_45380  0.90      0.95      
BAC76507.1  PRJNA747871_OG609_45385  0.86      0.91      
