seq_id,seq_id2,locus_tag,locus_tag2,identity,similarity,start,end,start2,end2
BGC0001106.0_reference,CP107782.region017,ABA39082.2,PRJNA747871_OG424_11780,0.76,0.83,15045.0,13944.0,,
BGC0001106.0_reference,CP107782.region017,ABS90466.1,PRJNA747871_OG424_11775,0.85,0.91,16019.0,15041.0,,
BGC0001106.0_reference,CP107782.region017,ABA39084.2,PRJNA747871_OG424_11770,0.84,0.89,17116.0,16015.0,,
BGC0001106.0_reference,CP107782.region017,ABS90467.1,PRJNA747871_OG424_11765,0.74,0.80,17390.0,17108.0,,
BGC0001106.0_reference,CP107782.region017,ABS90468.1,PRJNA747871_OG424_11760,0.81,0.85,18070.0,17404.0,,
BGC0001106.0_reference,CP107782.region017,ABS90469.1,PRJNA747871_OG424_11755,0.8,0.89,18933.0,18069.0,,
BGC0001106.0_reference,CP107782.region017,ABS90470.1,PRJNA747871_OG424_11745,0.7,0.75,20000.0,43214.0,,
BGC0001106.0_reference,CP107782.region017,ABS90471.1,PRJNA747871_OG424_11740,0.78,0.84,43210.0,51991.0,,
BGC0001106.0_reference,CP107782.region017,ABS90472.1,PRJNA747871_OG424_11735,0.82,0.88,52007.0,55616.0,,
BGC0001106.0_reference,CP107782.region017,ABS90473.1,PRJNA747871_OG424_11730,0.84,0.89,55693.0,61675.0,,
BGC0001106.0_reference,CP107782.region017,ABS90474.1,PRJNA747871_OG424_11725,0.78,0.84,61725.0,64845.0,,
BGC0001106.0_reference,CP107782.region017,ABS90475.1,PRJNA747871_OG424_11720,0.75,0.82,64918.0,79834.0,,
BGC0001106.0_reference,CP107782.region017,ABS90476.1,PRJNA747871_OG424_11715,0.75,0.81,79830.0,83421.0,,
BGC0001106.0_reference,CP107782.region017,ABS90477.1,PRJNA747871_OG424_11710,0.88,0.93,83466.0,84615.0,,
BGC0001106.0_reference,CP107782.region017,ABS90478.1,PRJNA747871_OG424_11705,0.73,0.82,84624.0,87153.0,,
BGC0001106.0_reference,CP107963.region022,ABA39082.2,PRJNA747871_OHT02_27295,0.76,0.83,15045.0,13944.0,,
BGC0001106.0_reference,CP107963.region022,ABS90466.1,PRJNA747871_OHT02_27300,0.85,0.91,16019.0,15041.0,,
BGC0001106.0_reference,CP107963.region022,ABA39084.2,PRJNA747871_OHT02_27305,0.84,0.89,17116.0,16015.0,,
BGC0001106.0_reference,CP107963.region022,ABS90467.1,PRJNA747871_OHT02_27310,0.74,0.80,17390.0,17108.0,,
BGC0001106.0_reference,CP107963.region022,ABS90468.1,PRJNA747871_OHT02_27315,0.81,0.85,18070.0,17404.0,,
BGC0001106.0_reference,CP107963.region022,ABS90469.1,PRJNA747871_OHT02_27320,0.8,0.88,18933.0,18069.0,,
BGC0001106.0_reference,CP107963.region022,ABS90470.1,PRJNA747871_OHT02_27330,0.7,0.75,20000.0,43214.0,,
BGC0001106.0_reference,CP107963.region022,ABS90471.1,PRJNA747871_OHT02_27335,0.78,0.84,43210.0,51991.0,,
BGC0001106.0_reference,CP107963.region022,ABS90472.1,PRJNA747871_OHT02_27340,0.82,0.88,52007.0,55616.0,,
BGC0001106.0_reference,CP107963.region022,ABS90473.1,PRJNA747871_OHT02_27345,0.84,0.89,55693.0,61675.0,,
