BGC0001823.0_reference vs CP108057.region022
--------------------------------------------
Query       Target                   Identity  Similarity
ATY69607.1  PRJNA747871_OHU17_32035  0.99      0.99      
ATY69606.1  PRJNA747871_OHU17_32040  1.00      1.00      
ATY69605.1  PRJNA747871_OHU17_32045  0.99      0.99      
ATY69604.1  PRJNA747871_OHU17_32050  0.97      0.97      
ATY69603.1  PRJNA747871_OHU17_32055  0.97      0.97      
ATY69603.1  PRJNA747871_OHU17_32130  0.45      0.58      
ATY69602.1  PRJNA747871_OHU17_32060  0.99      0.99      
ATY69601.1  PRJNA747871_OHU17_32065  1.00      1.00      
ATY69600.1  PRJNA747871_OHU17_32070  0.97      0.97      
ATY69599.1  PRJNA747871_OHU17_32075  1.00      1.00      
ATY69598.1  PRJNA747871_OHU17_32080  0.94      0.94      
ATY69597.1  PRJNA747871_OHU17_32085  0.99      1.00      
ATY69596.1  PRJNA747871_OHU17_32080  0.31      0.43      
ATY69596.1  PRJNA747871_OHU17_32090  1.00      1.00      
ATY69595.1  PRJNA747871_OHU17_32095  1.00      1.00      
ATY69594.1  PRJNA747871_OHU17_32100  1.00      1.00      
ATY69593.1  PRJNA747871_OHU17_32105  1.00      1.00      
ATY69592.1  PRJNA747871_OHU17_32110  0.95      0.96      
ATY69591.1  PRJNA747871_OHU17_32115  1.00      1.00      
ATY69590.1  PRJNA747871_OHU17_32120  0.98      0.98      
ATY69589.1  PRJNA747871_OHU17_32125  0.96      0.97      
ATY69588.1  PRJNA747871_OHU17_32055  0.46      0.60      
ATY69588.1  PRJNA747871_OHU17_32130  1.00      1.00      
ATY69587.1  PRJNA747871_OHU17_32135  1.00      1.00      
ATY69586.1  PRJNA747871_OHU17_32140  0.99      1.00      
ATY69585.1  PRJNA747871_OHU17_32145  1.00      1.00      
ATY69584.1  PRJNA747871_OHU17_32150  0.99      0.99      
ATY69583.1  PRJNA747871_OHU17_32155  1.00      1.00      
ATY69582.1  PRJNA747871_OHU17_32160  1.00      1.00      
ATY69582.1  PRJNA747871_OHU17_32240  0.35      0.50      
ATY69581.1  PRJNA747871_OHU17_32165  1.00      1.00      
ATY69580.1  PRJNA747871_OHU17_32170  1.00      1.00      
ATY69579.1  PRJNA747871_OHU17_32175  1.00      1.00      
ATY69578.1  PRJNA747871_OHU17_32180  0.99      1.00      
ATY69577.1  PRJNA747871_OHU17_32185  1.00      1.00      

BGC0001823.0_reference vs CP108577.region004
--------------------------------------------
Query       Target                   Identity  Similarity
ATY69607.1  PRJNA747871_OG224_04690  1.00      1.00      
ATY69606.1  PRJNA747871_OG224_04685  1.00      1.00      
ATY69605.1  PRJNA747871_OG224_04680  0.99      0.99      
ATY69604.1  PRJNA747871_OG224_04675  0.97      0.97      
ATY69603.1  PRJNA747871_OG224_04595  0.45      0.58      
ATY69603.1  PRJNA747871_OG224_04670  0.97      0.97      
ATY69602.1  PRJNA747871_OG224_04665  0.99      0.99      
ATY69601.1  PRJNA747871_OG224_04660  0.99      0.99      
ATY69600.1  PRJNA747871_OG224_04655  0.95      0.96      
ATY69599.1  PRJNA747871_OG224_04650  1.00      1.00      
ATY69598.1  PRJNA747871_OG224_04645  0.95      0.95      
ATY69597.1  PRJNA747871_OG224_04640  0.99      1.00      
ATY69596.1  PRJNA747871_OG224_04635  1.00      1.00      
ATY69596.1  PRJNA747871_OG224_04645  0.31      0.43      
ATY69595.1  PRJNA747871_OG224_04630  1.00      1.00      
ATY69594.1  PRJNA747871_OG224_04625  1.00      1.00      
ATY69593.1  PRJNA747871_OG224_04620  1.00      1.00      
ATY69592.1  PRJNA747871_OG224_04615  0.95      0.95      
ATY69591.1  PRJNA747871_OG224_04610  1.00      1.00      
ATY69590.1  PRJNA747871_OG224_04605  0.98      0.99      
ATY69589.1  PRJNA747871_OG224_04600  0.97      0.97      
ATY69588.1  PRJNA747871_OG224_04595  1.00      1.00      
ATY69588.1  PRJNA747871_OG224_04670  0.46      0.59      
ATY69587.1  PRJNA747871_OG224_04590  1.00      1.00      
ATY69586.1  PRJNA747871_OG224_04585  0.99      0.99      
ATY69585.1  PRJNA747871_OG224_04580  1.00      1.00      
ATY69584.1  PRJNA747871_OG224_04575  0.99      0.99      
ATY69583.1  PRJNA747871_OG224_04570  1.00      1.00      
ATY69582.1  PRJNA747871_OG224_04485  0.35      0.50      
ATY69582.1  PRJNA747871_OG224_04565  1.00      1.00      
ATY69581.1  PRJNA747871_OG224_04560  1.00      1.00      
ATY69580.1  PRJNA747871_OG224_04555  1.00      1.00      
ATY69579.1  PRJNA747871_OG224_04550  0.99      1.00      
ATY69578.1  PRJNA747871_OG224_04545  0.99      0.99      
ATY69577.1  PRJNA747871_OG224_04540  1.00      1.00      

BGC0001823.0_reference vs CP108768.region020
--------------------------------------------
Query       Target                   Identity  Similarity
ATY69607.1  PRJNA747871_OG590_31985  0.99      0.99      
