bgc_id,genome_id,region,accession,start_pos,end_pos,contig_edge,region_length,most_similar_known_cluster_id,most_similar_known_cluster_description,manual_assessment,most_similar_known_cluster_type,similarity,source,gbk_path,product,bigscape_class,gcf_0.30,gcf_0.40,gcf_0.50,Clan Number,fam_id_0.30,fam_type_0.30,fam_known_compounds_0.30,project_name
CP107838.region027,NBC_00520,1.27,CP107838,7514418.0,7563814.0,False,49396.0,BGC0000971,cinnabaramide A,excluded from dataset ,NRP+Polyketide:Modular type I polyketide,0.1818181818181818,bgcflow,data/external/G1034_20230801/antismash/7.0.0/NBC_00520/CP107838.region027.gbk,T1PKS.NRPS-like.transAT-PKS-like,PKS-NRP_Hybrids,12473.0,12473.0,24403.0,10239.0,2114.0,unknown_family,u_PKS-NRP_Hybrids_2114,regionGBK_mishits
CP107852.region024,NBC_00508,1.24,CP107852,6661005.0,6777489.0,False,116484.0,BGC0000026,avilamycin A/avilamycin C,excluded from dataset ,Saccharide:Oligosaccharide,0.1,bgcflow,data/external/G1034_20230801/antismash/7.0.0/NBC_00508/CP107852.region024.gbk,transAT-PKS.T1PKS,PKSother,3928.0,3928.0,3928.0,14565.0,4739.0,unknown_family,u_PKSother_4739,regionGBK_mishits
CP107858.region029,NBC_00501,1.29,CP107858,8095631.0,8233049.0,False,137418.0,BGC0000341,enduracidin,excluded from dataset ,NRP,0.1666666666666666,bgcflow,data/external/G1034_20230801/antismash/7.0.0/NBC_00501/CP107858.region029.gbk,transAT-PKS.T1PKS.ectoine.NRPS-like.T3PKS.betalactone.NRPS,Others,31421.0,31421.0,31443.0,12413.0,211.0,unknown_family,u_Others_211,regionGBK_mishits
CP107881.region008,NBC_00482,1.8,CP107881,5410119.0,5479302.0,False,69183.0,BGC0000187,asukamycin,excluded from dataset ,Polyketide:Type II polyketide,0.032258064516129,bgcflow,data/external/G1034_20230801/antismash/7.0.0/NBC_00482/CP107881.region008.gbk,transAT-PKS.T1PKS.NRPS,PKS-NRP_Hybrids,5815.0,17431.0,5815.0,10239.0,496.0,unknown_family,u_PKS-NRP_Hybrids_496,regionGBK_mishits
CP107904.region009,NBC_00458,1.9,CP107904,780602.0,1117870.0,False,337268.0,BGC0002541,notonesomycin A,excluded from dataset ,Other,0.1694915254237288,bgcflow,data/external/G1034_20230801/antismash/7.0.0/NBC_00458/CP107904.region009.gbk,transAT-PKS.T1PKS.NRPS-like.transAT-PKS-like.NRPS,PKS-NRP_Hybrids,4791.0,4791.0,24956.0,10239.0,1415.0,unknown_family,u_PKS-NRP_Hybrids_1415,regionGBK_mishits
CP107916.region006,NBC_00444,1.6,CP107916,1234103.0,1317123.0,False,83020.0,BGC0000238,lactonamycin,excluded from dataset ,Polyketide,0.1228070175438596,bgcflow,data/external/G1034_20230801/antismash/7.0.0/NBC_00444/CP107916.region006.gbk,transAT-PKS.butyrolactone.thioamitides,Others,5016.0,28011.0,28011.0,12413.0,3149.0,unknown_family,u_Others_3149,regionGBK_mishits
CP107918.region001,NBC_00442,1.1,CP107918,160527.0,269701.0,False,109174.0,BGC0000145,salinosporamide A,excluded from dataset ,NRP+Polyketide,0.238095238095238,bgcflow,data/external/G1034_20230801/antismash/7.0.0/NBC_00442/CP107918.region001.gbk,T1PKS.hserlactone.lanthipeptide-class-iii.NRPS-like.transAT-PKS-like.LAP.thiopeptide.terpene,Others,5066.0,5066.0,18718.0,12413.0,3846.0,unknown_family,u_Others_3846,regionGBK_mishits
CP107939.region029,NBC_00403,1.29,CP107939,6038293.0,6114151.0,False,75858.0,BGC0002085,everninomicin D/everninomicin E/everninomicin G/everninomicin F,excluded from dataset ,Saccharide:Oligosaccharide,0.08,bgcflow,data/external/G1034_20230801/antismash/7.0.0/NBC_00403/CP107939.region029.gbk,transAT-PKS.T1PKS,PKSother,5481.0,5481.0,5481.0,14565.0,2190.0,unknown_family,u_PKSother_2190,regionGBK_mishits
CP107940.region006,NBC_00400,1.6,CP107940,583571.0,669478.0,False,85907.0,BGC0000971,cinnabaramide A,excluded from dataset ,NRP+Polyketide:Modular type I polyketide,0.1818181818181818,bgcflow,data/external/G1034_20230801/antismash/7.0.0/NBC_00400/CP107940.region006.gbk,T1PKS.NRPS-like.transAT-PKS-like.NRPS,PKS-NRP_Hybrids,5494.0,14775.0,14775.0,10239.0,4334.0,unknown_family,u_PKS-NRP_Hybrids_4334,regionGBK_mishits
CP107943.region017,NBC_00392,1.17,CP107943,5164728.0,5282805.0,False,118077.0,BGC0002085,everninomicin D/everninomicin E/everninomicin G/everninomicin F,excluded from dataset ,Saccharide:Oligosaccharide,0.1,bgcflow,data/external/G1034_20230801/antismash/7.0.0/NBC_00392/CP107943.region017.gbk,transAT-PKS.T1PKS,PKSother,5573.0,5573.0,5573.0,14565.0,4600.0,unknown_family,u_PKSother_4600,regionGBK_mishits
CP107954.region010,NBC_00382,1.1,CP107954,5386308.0,5455015.0,False,68707.0,BGC0001877,cyphomycin,excluded from dataset ,Polyketide,0.0277777777777777,bgcflow,data/external/G1034_20230801/antismash/7.0.0/NBC_00382/CP107954.region010.gbk,transAT-PKS.T1PKS.NRPS,PKS-NRP_Hybrids,5765.0,17431.0,5815.0,10239.0,4538.0,unknown_family,u_PKS-NRP_Hybrids_4538,regionGBK_mishits
CP107975.region010,NBC_00359,1.1,CP107975,8443857.0,8548323.0,False,104466.0,BGC0000282,alkylresorcinol,excluded from dataset ,Polyketide,1.0,bgcflow,data/external/G1034_20230801/antismash/7.0.0/NBC_00359/CP107975.region010.gbk,transAT-PKS.T3PKS.T1PKS.NRPS,PKS-NRP_Hybrids,17431.0,17431.0,17431.0,10239.0,496.0,unknown_family,u_PKS-NRP_Hybrids_496,regionGBK_mishits
CP108038.region030,NBC_00302,1.3,CP108038,9057350.0,9153722.0,False,96372.0,BGC0002451,inthomycin B,inthomycin B,Polyketide,1.0,bgcflow,data/external/G1034_20230801/antismash/7.0.0/NBC_00302/CP108038.region030.gbk,transAT-PKS.NRPS-like.NRPS,PKS-NRP_Hybrids,2230.0,2230.0,7128.0,10239.0,1073.0,known_family,inthomycin B,regionGBK_mishits
