bgc_id,genome_id,region,accession,start_pos,end_pos,contig_edge,region_length,most_similar_known_cluster_id,node_group,most_similar_known_cluster_description,validated-member-of-dataset,most_similar_known_cluster_type,similarity,source,gbk_path,product,bigscape_class,gcf_0.30,gcf_0.40,gcf_0.50,Clan Number,fam_id_0.30,fam_type_0.30,fam_known_compounds_0.30,project_name
CP108849.region024,NBC_00843,1.24,CP108849,7474648.0,7556184.0,False,81536.0,BGC0001646,unique,Lagriene,yes,NRP+Polyketide,0.0909090909090909,bgcflow,data/external/G1034_20230801/antismash/7.0.0/NBC_00843/CP108849.region024.gbk,transAT-PKS.PKS-like,PKSother,24756.0,24756.0,18218.0,14565.0,720.0,unknown_family,u_PKSother_720,GCF1
CP109126.region002,NBC_01759,2.2,CP109126,125108.0,226502.0,False,101394.0,BGC0001099,unique,Kalimantacin ,yes,NRP+Polyketide:Modular type I polyketide+Polyketide:Trans-AT type I polyketide,0.0689655172413793,bgcflow,data/external/G1034_20230801/antismash/7.0.0/NBC_01759/CP109126.region002.gbk,transAT-PKS.NRPS-like.PKS-like,PKS-NRP_Hybrids,21104.0,21104.0,21104.0,10239.0,4377.0,unknown_family,u_PKS-NRP_Hybrids_4377,GCF1
CP109317.region027,NBC_01598,1.27,CP109317,7592387.0,7673666.0,False,81279.0,BGC0001099,unique,Kalimantacin ,yes,NRP+Polyketide:Modular type I polyketide+Polyketide:Trans-AT type I polyketide,0.0689655172413793,bgcflow,data/external/G1034_20230801/antismash/7.0.0/NBC_01598/CP109317.region027.gbk,transAT-PKS.PKS-like,PKSother,26735.0,26735.0,24366.0,14565.0,1425.0,unknown_family,u_PKSother_1425,GCF1
CP109368.region026,NBC_01556,1.26,CP109368,7600319.0,7681598.0,False,81279.0,BGC0001099,unique,Kalimantacin ,yes,NRP+Polyketide:Modular type I polyketide+Polyketide:Trans-AT type I polyketide,0.0689655172413793,bgcflow,data/external/G1034_20230801/antismash/7.0.0/NBC_01556/CP109368.region026.gbk,transAT-PKS.PKS-like,PKSother,26735.0,26735.0,24366.0,14565.0,1425.0,unknown_family,u_PKSother_1425,GCF1
CP109389.region010,NBC_01542,1.1,CP109389,1010419.0,1091624.0,False,81205.0,BGC0001032,unique,Oocydin,yes,NRP+Polyketide,0.0869565217391304,bgcflow,data/external/G1034_20230801/antismash/7.0.0/NBC_01542/CP109389.region010.gbk,transAT-PKS.PKS-like,PKSother,24756.0,24756.0,18218.0,14565.0,720.0,unknown_family,u_PKSother_720,GCF1
CP109393.region010,NBC_01536,1.1,CP109393,1005251.0,1085557.0,False,80306.0,BGC0001032,unique,Oocydin,yes,NRP+Polyketide,0.0869565217391304,bgcflow,data/external/G1034_20230801/antismash/7.0.0/NBC_01536/CP109393.region010.gbk,transAT-PKS.PKS-like,PKSother,24756.0,24756.0,18218.0,14565.0,720.0,unknown_family,u_PKSother_720,GCF1
CP109421.region009,NBC_01507,1.9,CP109421,1002221.0,1083409.0,False,81188.0,BGC0001032,unique,Oocydin,yes,NRP+Polyketide,0.0869565217391304,bgcflow,data/external/G1034_20230801/antismash/7.0.0/NBC_01507/CP109421.region009.gbk,transAT-PKS.PKS-like,PKSother,24756.0,24756.0,18218.0,14565.0,720.0,unknown_family,u_PKSother_720,GCF1
CP109483.region024,NBC_01447,1.24,CP109483,7424130.0,7505606.0,False,81476.0,BGC0001646,unique,Lagriene,yes,NRP+Polyketide,0.0909090909090909,bgcflow,data/external/G1034_20230801/antismash/7.0.0/NBC_01447/CP109483.region024.gbk,transAT-PKS.PKS-like,PKSother,24756.0,24756.0,18218.0,14565.0,720.0,unknown_family,u_PKSother_720,GCF1
CP109495.region010,NBC_01432,1.1,CP109495,983006.0,1064132.0,False,81126.0,BGC0001032,unique,Oocydin,yes,NRP+Polyketide,0.0869565217391304,bgcflow,data/external/G1034_20230801/antismash/7.0.0/NBC_01432/CP109495.region010.gbk,transAT-PKS.PKS-like,PKSother,24756.0,24756.0,18218.0,14565.0,720.0,unknown_family,u_PKSother_720,GCF1
CP109522.region026,NBC_01414,1.26,CP109522,7547291.0,7628570.0,False,81279.0,BGC0001099,unique,Kalimantacin ,yes,NRP+Polyketide:Modular type I polyketide+Polyketide:Trans-AT type I polyketide,0.0689655172413793,bgcflow,data/external/G1034_20230801/antismash/7.0.0/NBC_01414/CP109522.region026.gbk,transAT-PKS.PKS-like,PKSother,26735.0,26735.0,24366.0,14565.0,1425.0,unknown_family,u_PKSother_1425,GCF1
