OG501_04570	OG501_04570
OG275_33570	OG275_33570
OG275_33570	OG211_34020
OG275_33570	OG501_04520
OG275_33570	OHA80_04300
OG275_33570	OG442_04470
OG275_33570	OG443_04270
OHA57_38900	OHA57_38900
OHA57_39060	OHA57_39060
OG275_33575	OG275_33575
OG275_33575	OG501_04515
OG275_33575	OG211_34030
OG275_33575	OHA80_04295
OG275_33575	OG442_04465
OG275_33575	OG443_04265
OHA57_38905	OHA57_38905
OHA57_39065	OHA57_39065
OG211_33925	OG211_33925
OG211_33925	OHA80_04400
OG211_33925	OG443_04340
OG211_33925	OG442_04575
OG211_33925	OG501_04620
OG211_33925	OG275_33470
OG211_33925	OHA57_39110
OG211_33925	OH791_34175
OG211_33925	OH828_33935
OG211_33925	OIF37_33960
OHA57_38910	OHA57_38910
OG211_33930	OG211_33930
OG211_33930	OHA80_04395
OG211_33930	OG443_04335
OG211_33930	OG442_04570
OG211_33930	OG501_04615
OG211_33930	OG275_33475
OG211_33930	OH828_33940
OG211_33930	OIF37_33965
OG211_33930	OHA57_39105
OG211_33930	OH791_34180
OHA57_38915	OHA57_38915
OH791_34120	OH791_34120
OH791_34120	OIF37_33905
OHA57_38920	OHA57_38920
OH791_34285	OH791_34285
OH791_34285	OH828_34045
OH791_34285	OIF37_34070
OG211_33940	OG211_33940
OG211_33940	OHA80_04385
OG211_33940	OG443_04325
OG211_33940	OG442_04560
OG211_33940	OH828_33950
OG211_33940	OIF37_33975
OG211_33940	OG501_04605
OG211_33940	OHA57_39095
OG211_33940	OG275_33485
OG211_33940	OH791_34190
OHA57_38925	OHA57_38925
OG443_04215	OG443_04215
OHA57_38930	OHA57_38930
OIF37_33910	OIF37_33910
OIF37_33910	OH828_33885
OIF37_33910	OHA57_39160
OIF37_33910	OH791_34125
OHA57_39025	OHA57_39025
OHA57_39185	OHA57_39185
OH791_34230	OH791_34230
OH791_34230	OH828_33990
OH791_34230	OIF37_34015
OH828_34075	OH828_34075
OH828_34075	OIF37_34100
OH828_34075	OH791_34315
OHA80_04420	OHA80_04420
OHA80_04420	OH828_33915
OHA80_04420	OG211_33905
OHA80_04420	OIF37_33940
OHA80_04420	OG443_04360
OHA80_04420	OG442_04595
OHA80_04420	OG275_33450
OHA80_04420	OH791_34155
OHA80_04420	OG501_04640
OHA80_04420	OHA57_39130
OHA80_04420	OHA80_04415
OHA80_04420	OH828_33920
OHA80_04420	OG211_33910
OHA80_04420	OIF37_33945
OHA80_04420	OG443_04355
OHA80_04420	OG442_04590
OHA80_04420	OG275_33455
OHA80_04420	OH791_34160
OHA80_04420	OG501_04635
OHA80_04420	OHA57_39125
OG501_04540	OG501_04540
OG501_04540	OG275_33550
OG501_04540	OHA80_04320
OG501_04540	OG211_34000
OG501_04540	OG442_04495
OG211_34045	OG211_34045
OG211_34045	OHA80_04280
OG211_34045	OG275_33590
OG211_34045	OG442_04450
OG211_34045	OG443_04250
OG211_34045	OG501_04500
OHA57_39030	OHA57_39030
OHA57_39190	OHA57_39190
OH828_34080	OH828_34080
OH828_34080	OIF37_34105
OH828_34080	OH791_34320
OG211_34050	OG211_34050
OG211_34050	OHA80_04275
OG211_34050	OG275_33595
OG211_34050	OG442_04445
OG211_34050	OG443_04245
OG211_34050	OG501_04495
OHA57_39035	OHA57_39035
OHA57_39195	OHA57_39195
OH791_34240	OH791_34240
OH791_34240	OH828_34000
OH791_34240	OIF37_34025
OH791_34240	OH791_34235
OH791_34240	OH828_33995
OH791_34240	OIF37_34020
OH828_33925	OH828_33925
OH828_33925	OHA80_04410
OH828_33925	OG211_33915
OH828_33925	OG443_04350
OH828_33925	OIF37_33950
OH828_33925	OG442_04585
OH828_33925	OG275_33460
OH828_33925	OG501_04630
OH828_33925	OHA57_39120
OH828_33925	OH791_34165
OHA80_04270	OHA80_04270
OHA80_04270	OG211_34055
OHA80_04270	OG275_33600
OHA80_04270	OG442_04440
OHA80_04270	OG501_04490
OHA57_39040	OHA57_39040
OHA57_39200	OHA57_39200
OHA57_38885	OHA57_38885
OHA57_39045	OHA57_39045
OHA57_39205	OHA57_39205
OH791_34250	OH791_34250
OH791_34250	OH828_34010
OH791_34250	OIF37_34035
OHA57_38890	OHA57_38890
OHA57_38890	OG442_04515
OHA57_39050	OHA57_39050
OHA57_38895	OHA57_38895
OHA57_39055	OHA57_39055
OHA57_38970	OHA57_38970
OG442_04640	OG442_04640
OHA57_38975	OHA57_38975
OH828_34025	OH828_34025
OH828_34025	OIF37_34050
OH828_34025	OH791_34265
OG442_04485	OG442_04485
OG211_33995	OG211_33995
OG211_33995	OG275_33545
OG211_33995	OG442_04500
OG211_33995	OG501_04545
OG211_33995	OHA80_04325
OHA57_38980	OHA57_38980
OH791_34185	OH791_34185
OH791_34185	OH828_33945
OH791_34185	OIF37_33970
OH791_34185	OHA57_39100
OH791_34185	OG275_33480
OH791_34185	OHA80_04390
OH791_34185	OG443_04330
OH791_34185	OG442_04565
OH791_34185	OG211_33935
OH791_34185	OG501_04610
OG442_04490	OG442_04490
OHA57_38985	OHA57_38985
OH828_33875	OH828_33875
OH828_34035	OH828_34035
OH828_34035	OH791_34275
OG443_04220	OG443_04220
OHA57_38935	OHA57_38935
OG443_04225	OG443_04225
OHA57_38940	OHA57_38940
OG443_04230	OG443_04230
OHA57_38945	OHA57_38945
OHA80_04340	OHA80_04340
OHA80_04340	OG501_04560
OG443_04235	OG443_04235
OHA57_38950	OHA57_38950
OG443_04240	OG443_04240
OHA57_38955	OHA57_38955
OHA80_04350	OHA80_04350
OHA80_04350	OG443_04290
OHA80_04350	OG275_33520
OG443_04405	OG443_04405
OG443_04405	OG275_33405
OG442_04625	OG442_04625
OG211_33975	OG211_33975
OHA57_38960	OHA57_38960
OG211_33980	OG211_33980
OG211_33980	OG275_33530
OHA57_38965	OHA57_38965
OG211_33840	OG211_33840
OG211_33840	OG501_04705
OG211_33840	OG275_33380
OG211_34005	OG211_34005
OHA57_38990	OHA57_38990
OHA57_39150	OHA57_39150
OHA57_39150	OH828_33895
OHA57_39150	OG211_33885
OHA57_39150	OIF37_33920
OHA57_39150	OHA80_04440
OHA57_39150	OG275_33430
OHA57_39150	OH791_34135
OHA57_39150	OG443_04380
OHA57_39150	OG442_04615
OHA57_39150	OG501_04660
OHA57_39150	OH791_34245
OHA57_39150	OH828_34005
OHA57_39150	OIF37_34030
OH791_34195	OH791_34195
OH791_34195	OH828_33955
OH791_34195	OHA57_39090
OH791_34195	OIF37_33980
OH791_34195	OG443_04320
OH791_34195	OG442_04555
OH791_34195	OG501_04600
OH791_34195	OG211_33945
OH791_34195	OG275_33490
OH791_34195	OHA80_04380
OH828_33880	OH828_33880
OH828_34040	OH828_34040
OH828_34040	OIF37_34065
OH828_34040	OH791_34280
OG443_04280	OG443_04280
OG443_04280	OG211_34010
OG443_04280	OG501_04530
OG443_04280	OG275_33560
OG443_04280	OHA80_04310
OG443_04280	OG442_04480
OG501_04505	OG501_04505
OG501_04505	OG211_34040
OG501_04505	OHA80_04285
OG501_04505	OG275_33585
OG501_04505	OG442_04455
OG501_04505	OG443_04255
OG275_33505	OG275_33505
OG275_33505	OH791_34210
OG275_33505	OG443_04305
OG275_33505	OG442_04540
OG275_33505	OG501_04585
OG275_33505	OHA57_39075
OG275_33505	OH828_33970
OG275_33505	OG211_33960
OG275_33505	OIF37_33995
OG275_33505	OHA80_04365
OIF37_33880	OIF37_33880
OIF37_33880	OH791_34095
OIF37_33880	OH828_33850
OIF37_34040	OIF37_34040
OIF37_34040	OH791_34255
OIF37_34040	OH828_34015
OG211_33845	OG211_33845
OG211_33845	OG501_04700
OG211_33845	OG275_33385
OG211_33845	OHA80_04480
OG211_33845	OG443_04425
OG211_33845	OG442_04660
OHA57_38995	OHA57_38995
OH791_34200	OH791_34200
OH791_34200	OG443_04315
OH791_34200	OG442_04550
OH791_34200	OH828_33960
OH791_34200	OG501_04595
OH791_34200	OHA57_39085
OH791_34200	OG211_33950
OH791_34200	OIF37_33985
OH791_34200	OHA80_04375
OH791_34200	OG275_33495
OG443_04285	OG443_04285
OG501_04510	OG501_04510
OG501_04510	OG211_34035
OG501_04510	OHA80_04290
OG501_04510	OG275_33580
OG501_04510	OG442_04460
OG501_04510	OG443_04260
OG501_04670	OG501_04670
OG501_04670	OG211_33875
OG501_04670	OHA80_04450
OG501_04670	OG275_33420
OG501_04670	OG443_04390
OG275_33510	OG275_33510
OG275_33510	OG443_04300
OG275_33510	OG442_04535
OG275_33510	OG501_04580
OG275_33510	OG211_33965
OG275_33510	OHA80_04360
OG442_04505	OG442_04505
OG442_04505	OG275_33540
OG442_04505	OG501_04550
OG442_04505	OHA80_04330
OG442_04505	OG211_33990
OIF37_33885	OIF37_33885
OIF37_33885	OH791_34100
OIF37_33885	OH828_33855
OIF37_34045	OIF37_34045
OIF37_34045	OH791_34260
OIF37_34045	OH828_34020
OHA57_39000	OHA57_39000
OH791_34205	OH791_34205
OH791_34205	OG443_04310
OH791_34205	OG442_04545
OH791_34205	OH828_33965
OH791_34205	OG501_04590
OH791_34205	OHA57_39080
OH791_34205	OG211_33955
OH791_34205	OIF37_33990
OH791_34205	OHA80_04370
OH791_34205	OG275_33500
OH828_33890	OH828_33890
OH828_33890	OG501_04665
OH828_33890	OHA57_39155
OH828_33890	OG211_33880
OH828_33890	OIF37_33915
OH828_33890	OHA80_04445
OH828_33890	OG275_33425
OH828_33890	OH791_34130
OH828_33890	OG443_04385
OH828_33890	OG442_04620
OH828_34050	OH828_34050
OH828_34050	OIF37_34075
OH828_34050	OH791_34290
OG275_33515	OG275_33515
OG275_33515	OG443_04295
OG275_33515	OG442_04530
OG275_33515	OG501_04575
OG275_33515	OG211_33970
OG275_33515	OHA80_04355
OG442_04510	OG442_04510
