seq_id,seq_id2,locus_tag,locus_tag2,identity,similarity,start,end,start2,end2
BGC0001101.0_reference,CP109486.region003,AAN85481.1,PRJNA747871_OG574_51755,0.98,0.99,7430.0,11144.0,,
BGC0001101.0_reference,CP109486.region003,AAN85483.1,PRJNA747871_OG574_51765,0.97,0.98,11808.0,13014.0,,
BGC0001101.0_reference,CP109486.region003,AAN85484.1,PRJNA747871_OG574_51770,0.99,0.99,13010.0,13931.0,,
BGC0001101.0_reference,CP109486.region003,AAN85485.1,PRJNA747871_OG574_51775,0.98,0.98,14270.0,15254.0,,
BGC0001101.0_reference,CP109486.region003,AAN85486.1,PRJNA747871_OG574_51785,0.98,0.99,16277.0,15680.0,,
BGC0001101.0_reference,CP109486.region003,AAN85487.1,PRJNA747871_OG574_51790,0.96,0.96,16466.0,18083.0,,
BGC0001101.0_reference,CP109486.region003,AAN85488.1,PRJNA747871_OG574_51800,0.98,0.98,18479.0,19382.0,,
BGC0001101.0_reference,CP109486.region003,AAN85489.1,PRJNA747871_OG574_51805,0.99,1.00,20377.0,19783.0,,
BGC0001101.0_reference,CP109486.region003,AAN85490.1,PRJNA747871_OG574_51810,0.99,0.99,20661.0,21723.0,,
BGC0001101.0_reference,CP109486.region003,AAN85491.1,PRJNA747871_OG574_51815,0.99,0.99,21993.0,24318.0,,
BGC0001101.0_reference,CP109486.region003,AAN85492.1,PRJNA747871_OG574_51820,1.0,1.00,24523.0,24742.0,,
BGC0001101.0_reference,CP109486.region003,AAN85493.1,PRJNA747871_OG574_51825,0.99,0.99,24777.0,28095.0,,
BGC0001101.0_reference,CP109486.region003,AAN85494.1,PRJNA747871_OG574_51830,1.0,1.00,28127.0,29120.0,,
BGC0001101.0_reference,CP109486.region003,AAN85495.1,PRJNA747871_OG574_51835,1.0,1.00,29116.0,30124.0,,
BGC0001101.0_reference,CP109486.region003,AAN85496.1,PRJNA747871_OG574_51840,0.99,0.99,30171.0,31113.0,,
BGC0001101.0_reference,CP109486.region003,AAN85497.1,PRJNA747871_OG574_51845,0.99,1.00,31139.0,32165.0,,
BGC0001101.0_reference,CP109486.region003,AAN85498.1,PRJNA747871_OG574_51850,0.98,0.98,32198.0,33500.0,,
BGC0001101.0_reference,CP109486.region003,AAN85499.1,PRJNA747871_OG574_51875,0.98,0.99,35984.0,33599.0,,
BGC0001101.0_reference,CP109486.region003,AAN85500.1,PRJNA747871_OG574_51880,0.99,0.99,37313.0,36014.0,,
BGC0001101.0_reference,CP109486.region003,AAN85501.1,PRJNA747871_OG574_51885,0.98,0.99,40721.0,37316.0,,
BGC0001101.0_reference,CP109486.region003,AAN85502.1,PRJNA747871_OG574_51890,0.91,0.91,41548.0,40717.0,,
BGC0001101.0_reference,CP109486.region003,AAN85503.1,PRJNA747871_OG574_51895,0.97,0.98,41708.0,43358.0,,
BGC0001101.0_reference,CP109486.region003,AAN85504.1,PRJNA747871_OG574_51900,0.99,0.99,43411.0,44119.0,,
BGC0001101.0_reference,CP109486.region003,AAN85505.1,PRJNA747871_OG574_51905,1.0,1.00,44115.0,44946.0,,
BGC0001101.0_reference,CP109486.region003,AAN85506.1,PRJNA747871_OG574_51910,0.98,0.98,44969.0,47732.0,,
BGC0001101.0_reference,CP109486.region003,AAN85507.1,PRJNA747871_OG574_51915,1.0,1.00,47819.0,48407.0,,
BGC0001101.0_reference,CP109486.region003,AAN85508.1,PRJNA747871_OG574_51920,1.0,1.00,48544.0,49576.0,,
BGC0001101.0_reference,CP109486.region003,AAN85509.1,PRJNA747871_OG574_51925,0.99,0.99,49598.0,51974.0,,
BGC0001101.0_reference,CP109486.region003,AAN85510.1,PRJNA747871_OG574_51930,0.99,1.00,52005.0,53349.0,,
BGC0001101.0_reference,CP109486.region003,AAN85511.1,PRJNA747871_OG574_51935,0.99,0.99,53345.0,54062.0,,
BGC0001101.0_reference,CP109486.region003,AAN85512.1,PRJNA747871_OG574_51940,0.98,0.99,54156.0,59394.0,,
BGC0001101.0_reference,CP109486.region003,AAN85513.1,PRJNA747871_OG574_51945,0.98,0.99,59419.0,60808.0,,
BGC0001101.0_reference,CP109486.region003,AAN85514.1,PRJNA747871_OG574_51950,1.0,1.00,60947.0,62147.0,,
BGC0001101.0_reference,CP109486.region003,AAN85515.1,PRJNA747871_OG574_51955,0.99,0.99,62158.0,62395.0,,
BGC0001101.0_reference,CP109486.region003,AAN85516.1,PRJNA747871_OG574_51960,1.0,1.00,62681.0,63029.0,,
BGC0001101.0_reference,CP109486.region003,AAN85517.1,PRJNA747871_OG574_51965,0.98,0.99,63115.0,64432.0,,
BGC0001101.0_reference,CP109486.region003,AAN85518.1,PRJNA747871_OG574_51975,1.0,1.00,64499.0,65423.0,,
BGC0001101.0_reference,CP109486.region003,AAN85519.1,PRJNA747871_OG574_51980,1.0,1.00,65440.0,66238.0,,
BGC0001101.0_reference,CP109486.region003,AAN85520.1,PRJNA747871_OG574_51985,0.99,0.99,66267.0,68655.0,,
BGC0001101.0_reference,CP109486.region003,AAN85521.1,PRJNA747871_OG574_51990,1.0,1.00,68724.0,69549.0,,
BGC0001101.0_reference,CP109486.region003,AAN85522.1,PRJNA747871_OG574_51995,0.98,0.98,69680.0,82994.0,,
BGC0001101.0_reference,CP109486.region003,AAN85523.1,PRJNA747871_OG574_52000,0.98,0.98,82990.0,105040.0,,
BGC0001101.0_reference,CP109486.region003,AAN85524.1,PRJNA747871_OG574_52010,0.98,0.99,105036.0,105996.0,,
BGC0001101.0_reference,CP109486.region003,AAN85525.1,PRJNA747871_OG574_52015,0.98,0.98,105992.0,106253.0,,
BGC0001101.0_reference,CP109486.region003,AAN85526.1,PRJNA747871_OG574_52020,1.0,1.00,106249.0,107500.0,,
BGC0001101.0_reference,CP109486.region003,AAN85527.1,PRJNA747871_OG574_52025,0.98,0.99,107556.0,108360.0,,
BGC0001101.0_reference,CP109486.region003,AAN85528.1,PRJNA747871_OG574_52030,1.0,1.00,108394.0,109078.0,,
BGC0001101.0_reference,CP109486.region003,AAN85529.1,PRJNA747871_OG574_52035,0.99,0.99,109121.0,109370.0,,
BGC0001101.0_reference,CP109486.region003,AAN85530.1,PRJNA747871_OG574_52040,1.0,1.00,109366.0,110917.0,,
BGC0001101.0_reference,CP109486.region003,AAN85531.1,PRJNA747871_OG574_52045,0.98,0.99,112700.0,110972.0,,
BGC0001101.0_reference,CP109486.region003,AAN85532.1,PRJNA747871_OG574_52050,0.96,0.97,113560.0,112696.0,,
BGC0001101.0_reference,CP109486.region003,AAN85533.1,PRJNA747871_OG574_52055,0.99,0.99,114522.0,113556.0,,
BGC0001101.0_reference,CP109486.region003,AAN85534.1,PRJNA747871_OG574_52060,0.99,1.00,116060.0,114518.0,,
BGC0001101.0_reference,CP109486.region003,AAN85535.1,PRJNA747871_OG574_52065,0.98,1.00,116494.0,116131.0,,
BGC0001101.0_reference,CP109486.region003,AAN85536.1,PRJNA747871_OG574_52070,0.99,0.99,118041.0,116490.0,,
BGC0001101.0_reference,CP109486.region003,AAN85537.1,PRJNA747871_OG574_52075,1.0,1.00,118780.0,118048.0,,
BGC0001101.0_reference,CP109486.region003,AAN85538.1,PRJNA747871_OG574_52080,0.99,1.00,120239.0,118814.0,,
BGC0001101.0_reference,CP109486.region003,AAN85539.1,PRJNA747871_OG574_52085,1.0,1.00,121638.0,120435.0,,
BGC0001101.0_reference,CP109486.region003,AAN85540.1,PRJNA747871_OG574_52090,0.99,0.99,121756.0,122161.0,,
BGC0001101.0_reference,CP109486.region003,AAN85541.1,PRJNA747871_OG574_52095,0.89,0.89,122832.0,122181.0,,
BGC0001101.0_reference,CP109486.region003,AAN85542.1,PRJNA747871_OG574_52100,0.9,0.91,123664.0,122845.0,,
BGC0001101.0_reference,CP109486.region003,AAN85543.1,OG574_52105,0.83,0.83,123897.0,124935.0,124434.0,125301.0
BGC0001101.0_reference,CP109486.region003,AAN85544.1,PRJNA747871_OG574_52110,0.97,0.98,125516.0,124805.0,,
BGC0001101.0_reference,CP109486.region003,AAN85545.1,PRJNA747871_OG574_52115,0.98,0.99,125636.0,127256.0,,
BGC0001101.0_reference,CP109486.region003,AAN85546.1,PRJNA747871_OG574_52120,0.87,0.87,127230.0,128199.0,,
BGC0001101.0_reference,CP109486.region003,AAN85547.1,PRJNA747871_OG574_52125,1.0,1.00,129971.0,128315.0,,
BGC0001101.0_reference,CP109486.region003,AAN85548.1,PRJNA747871_OG574_52130,1.0,1.00,131727.0,130317.0,,
BGC0001101.0_reference,CP109486.region003,AAN85549.1,PRJNA747871_OG574_52135,0.99,0.99,132616.0,131704.0,,
BGC0001101.0_reference,CP109590.region001,AAN85488.1,PRJNA747871_OG467_50150,0.98,0.99,18479.0,19382.0,,
BGC0001101.0_reference,CP109590.region001,AAN85489.1,PRJNA747871_OG467_50120,0.99,0.99,20377.0,19783.0,,
BGC0001101.0_reference,CP109590.region001,AAN85490.1,PRJNA747871_OG467_50115,0.99,0.99,20661.0,21723.0,,
BGC0001101.0_reference,CP109590.region001,AAN85491.1,PRJNA747871_OG467_50110,0.98,0.99,21993.0,24318.0,,
