seq_id,seq_id2,locus_tag,locus_tag2,identity,similarity,start,end
BGC0001853.0_reference,CP107919.region010,ctg3_11,PRJNA747871_OHR86_21200,0.7,0.80,11828.0,13061.0
BGC0001853.0_reference,CP107919.region010,ctg3_14,PRJNA747871_OHR86_21215,0.73,0.84,16352.0,17303.0
BGC0001853.0_reference,CP107919.region010,ctg3_16,PRJNA747871_OHR86_21225,0.77,0.84,19184.0,20129.0
BGC0001853.0_reference,CP108121.region007,ctg3_11,PRJNA747871_OG867_10005,0.7,0.80,11828.0,13061.0
BGC0001853.0_reference,CP108121.region007,ctg3_14,PRJNA747871_OG867_09990,0.73,0.84,16352.0,17303.0
BGC0001853.0_reference,CP108121.region007,ctg3_16,PRJNA747871_OG867_09980,0.77,0.84,19184.0,20129.0
BGC0001853.0_reference,CP109090.region020,ctg3_1,PRJNA747871_OIE49_32565,0.89,0.92,1530.0,0.0
BGC0001853.0_reference,CP109090.region020,ctg3_2,PRJNA747871_OIE49_32570,0.92,0.93,1686.0,2304.0
BGC0001853.0_reference,CP109090.region020,ctg3_3,PRJNA747871_OIE49_32580,0.7,0.72,2928.0,2505.0
BGC0001853.0_reference,CP109090.region020,ctg3_4,PRJNA747871_OIE49_32590,0.89,0.91,3552.0,4911.0
BGC0001853.0_reference,CP109090.region020,ctg3_5,PRJNA747871_OIE49_32600,0.96,0.97,5670.0,6339.0
BGC0001853.0_reference,CP109090.region020,ctg3_6,PRJNA747871_OIE49_32605,0.84,0.86,7073.0,6320.0
BGC0001853.0_reference,CP109090.region020,ctg3_7,PRJNA747871_OIE49_32610,0.97,0.98,8385.0,7083.0
BGC0001853.0_reference,CP109090.region020,ctg3_8,PRJNA747871_OIE49_32615,0.9,0.94,8714.0,9473.0
BGC0001853.0_reference,CP109090.region020,ctg3_9,PRJNA747871_OIE49_32620,0.95,0.97,9543.0,10857.0
BGC0001853.0_reference,CP109090.region020,ctg3_10,PRJNA747871_OIE49_32625,0.92,0.94,10927.0,11845.0
BGC0001853.0_reference,CP109090.region020,ctg3_11,PRJNA747871_OIE49_32630,0.97,0.98,11828.0,13061.0
BGC0001853.0_reference,CP109090.region020,ctg3_12,PRJNA747871_OIE49_32635,0.98,0.98,13065.0,13857.0
BGC0001853.0_reference,CP109090.region020,ctg3_13,PRJNA747871_OIE49_32640,0.91,0.94,13853.0,16250.0
BGC0001853.0_reference,CP109090.region020,ctg3_14,PRJNA747871_OIE49_32645,0.97,0.98,16352.0,17303.0
BGC0001853.0_reference,CP109090.region020,ctg3_15,PRJNA747871_OIE49_32650,0.95,0.96,17364.0,19164.0
BGC0001853.0_reference,CP109090.region020,ctg3_16,PRJNA747871_OIE49_32655,0.95,0.97,19184.0,20129.0
BGC0001853.0_reference,CP109090.region020,ctg3_17,PRJNA747871_OIE49_32660,0.94,0.96,20164.0,21340.0
BGC0001853.0_reference,CP109090.region020,ctg3_18,PRJNA747871_OIE49_32665,0.91,0.93,21352.0,34219.0
BGC0001853.0_reference,CP109090.region020,ctg3_19,PRJNA747871_OIE49_32670,0.89,0.91,34215.0,56238.0
BGC0001853.0_reference,CP109090.region020,ctg3_20,PRJNA747871_OIE49_32675,0.93,0.96,56237.0,57227.0
BGC0001853.0_reference,CP109090.region020,ctg3_21,PRJNA747871_OIE49_32680,0.93,0.97,57210.0,57474.0
BGC0001853.0_reference,CP109090.region020,ctg3_22,PRJNA747871_OIE49_32685,0.94,0.96,57470.0,58709.0
BGC0001853.0_reference,CP109090.region020,ctg3_23,PRJNA747871_OIE49_32690,0.93,0.97,58721.0,58964.0
BGC0001853.0_reference,CP109090.region020,ctg3_24,PRJNA747871_OIE49_32695,0.95,0.97,58960.0,60232.0
BGC0001853.0_reference,CP109090.region020,ctg3_25,PRJNA747871_OIE49_32700,0.9,0.94,60233.0,60995.0
BGC0001853.0_reference,CP109090.region020,ctg3_26,PRJNA747871_OIE49_32705,0.94,0.96,60991.0,61711.0
